date,away_nick,home_nick,p_away,p_home,captured
2020-07-24,Giants,Dodgers,0.375,0.625,live
2020-07-25,Mariners,Astros,0.26899999999999996,0.731,live
2020-07-25,Angels,Athletics,0.32799999999999996,0.672,live
2020-07-25,Rockies,Rangers,0.442,0.5579999999999999,live
2020-07-25,Giants,Dodgers,0.299,0.701,live
2020-07-25,Mariners,Astros,0.275,0.725,live
2020-07-25,Angels,Athletics,0.304,0.696,live
2020-07-25,Giants,Dodgers,0.268,0.732,live
2020-07-26,Angels,Athletics,0.371,0.629,live
2020-07-26,Rockies,Rangers,0.48,0.52,live
2020-07-26,Mariners,Astros,0.27399999999999997,0.726,live
2020-07-26,Brewers,Cubs,0.43700000000000006,0.563,live
2020-07-27,Giants,Dodgers,0.278,0.722,live
2020-07-27,Angels,Athletics,0.38,0.62,live
2020-07-27,Mariners,Astros,0.324,0.6759999999999999,live
2020-07-28,Atlanta,Tampa Bay,0.42700000000000005,0.573,20200920082537
2020-07-29,Tampa Bay,Atlanta,0.485,0.515,20200920073641
2020-07-29,Mariners,Angels,0.466,0.534,live
2020-07-29,Padres,Giants,0.45899999999999996,0.541,live
2020-07-29,Diamondbacks,Rangers,0.483,0.517,live
2020-07-29,Rockies,Athletics,0.391,0.609,live
2020-07-29,Yankees,Orioles,0.7290000000000001,0.271,live
2020-07-29,Rockies,Athletics,0.355,0.645,live
2020-07-29,Diamondbacks,Rangers,0.485,0.515,live
2020-07-30,Tampa Bay,Atlanta,0.48200000000000004,0.518,20200920081948
2020-07-30,Padres,Giants,0.526,0.474,live
2020-07-30,Yankees,Orioles,0.684,0.316,live
2020-07-30,Mariners,Angels,0.419,0.581,live
2020-07-31,Mariners,Angels,0.433,0.5670000000000001,live
2020-07-31,Padres,Giants,0.518,0.48200000000000004,live
2020-08-01,NY Mets,Atlanta,0.44799999999999995,0.552,20200805213914
2020-08-01,Texas,San Francisco,0.49200000000000005,0.508,20200805214053
2020-08-01,Houston,LA Angels,0.609,0.391,20200805214458
2020-08-01,Boston,NY Yankees,0.294,0.706,20200805214837
2020-08-01,Tampa Bay,Baltimore,0.647,0.353,20200805215442
2020-08-01,Tampa Bay,Baltimore,0.639,0.361,20200805215757
2020-08-01,LA Dodgers,Arizona,0.6559999999999999,0.344,20200805222256
2020-08-01,Oakland,Seattle,0.5920000000000001,0.408,20200805223536
2020-08-01,San Diego,Colorado,0.447,0.5529999999999999,20200805224402
2020-08-01,Cleveland,Minnesota,0.406,0.594,20200805225249
2020-08-01,Houston,LA Angels,0.6459999999999999,0.354,20200812090134
2020-08-01,White Sox,Royals,0.598,0.402,live
2020-08-02,Cincinnati,Detroit,0.51,0.49,20200805035901
2020-08-02,Tampa Bay,Baltimore,0.585,0.415,20200805040315
2020-08-02,NY Mets,Atlanta,0.424,0.5760000000000001,20200805041420
2020-08-02,LA Dodgers,Arizona,0.6,0.4,20200805212743
2020-08-02,Pittsburgh,Chicago Cubs,0.349,0.6509999999999999,20200805215221
2020-08-02,San Diego,Colorado,0.517,0.483,20200805220412
2020-08-02,Astros,Angels,0.555,0.445,live
2020-08-02,Rangers,Giants,0.408,0.5920000000000001,live
2020-08-02,Rangers,Giants,0.46,0.54,live
2020-08-02,Padres,Rockies,0.506,0.494,live
2020-08-02,Athletics,Mariners,0.537,0.46299999999999997,live
2020-08-02,Athletics,Mariners,0.578,0.42200000000000004,live
2020-08-04,Giants,Rockies,0.43,0.57,live
2020-08-04,Athletics,Mariners,0.621,0.379,live
2020-08-04,Dodgers,Padres,0.601,0.39899999999999997,live
2020-08-05,Rangers,Athletics,0.43,0.57,live
2020-08-05,Giants,Rockies,0.373,0.627,live
2020-08-06,Rangers,Athletics,0.33899999999999997,0.6609999999999999,live
2020-08-06,Giants,Rockies,0.365,0.635,live
2020-08-06,Giants,Rockies,0.364,0.636,live
2020-08-06,Angels,Mariners,0.561,0.439,live
2020-08-06,Rangers,Athletics,0.402,0.598,live
2020-08-08,Angels,Rangers,0.502,0.498,live
2020-08-08,Astros,Athletics,0.517,0.483,live
2020-08-08,Astros,Athletics,0.40700000000000003,0.593,live
2020-08-08,Angels,Rangers,0.51,0.49,live
2020-08-08,Giants,Dodgers,0.29100000000000004,0.7090000000000001,live
2020-08-09,Rockies,Mariners,0.574,0.426,live
2020-08-09,Angels,Rangers,0.47,0.53,live
2020-08-09,Rockies,Mariners,0.643,0.35700000000000004,live
2020-08-09,Astros,Athletics,0.44299999999999995,0.557,live
2020-08-09,Giants,Dodgers,0.251,0.7490000000000001,live
2020-08-09,Giants,Dodgers,0.289,0.711,live
2020-08-11,Mariners,Rangers,0.428,0.5720000000000001,live
2020-08-11,Giants,Astros,0.408,0.5920000000000001,live
2020-08-11,Diamondbacks,Rockies,0.41,0.59,live
2020-08-11,Athletics,Angels,0.601,0.39899999999999997,live
2020-08-12,Padres,Dodgers,0.392,0.608,live
2020-08-12,Athletics,Angels,0.537,0.46299999999999997,live
2020-08-12,Rays,Red Sox,0.5710000000000001,0.429,live
2020-08-12,Diamondbacks,Rockies,0.457,0.5429999999999999,live
2020-08-12,Diamondbacks,Rockies,0.46299999999999997,0.537,live
