season,season_type,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_status,practice_primary_injury,practice_status
2026,REG,REG,NE,1,00-0036981,DT,Christian Barmore,Christian,Barmore,,Knee,Did Not Participate In Practice
2026,REG,REG,NE,1,00-0037413,C,Ben Brown,Timothy,Brown,,Knee,Did Not Participate In Practice
2026,REG,REG,NE,1,00-0040734,RB,TreVeyon Henderson,TreVeyon,Henderson,,Ankle,Did Not Participate In Practice
2026,REG,REG,SEA,1,00-0036363,T,Josh Jones,Josh,Jones,,Knee,Limited Participation in Practice
2026,REG,REG,SEA,1,00-0038765,S,Ty Okada,Tyler,Okada,,Hamstring,Did Not Participate In Practice
2026,REG,REG,SEA,1,00-0038797,RB,Emanuel Wilson,Emanuel,Wilson,,Hamstring,Full Participation in Practice
2026,REG,REG,SEA,1,00-0039020,G,Anthony Bradford,Anthony,Bradford,,Knee,Limited Participation in Practice
2026,REG,REG,SEA,1,00-0039793,TE,AJ Barner,AJ,Barner,,Oblique,Full Participation in Practice
2026,REG,REG,SEA,1,00-0040648,WR,Tory Horton,Tory,Horton,,Hamstring,Limited Participation in Practice
2026,REG,REG,SEA,1,00-0040733,S,Nick Emmanwori,Nicholas,Emmanwori,,Ankle,Limited Participation in Practice
2026,REG,REG,SEA,1,00-0040873,CB,Julian Neal,Julian,Neal,,Quadricep,Full Participation in Practice
