date,league,category,text,gt,apt,sheet_id
2024-02-18,NHL,book_needs,NY ISLANDERS,15:00:00,1040AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,NHL,book_needs,LA KINGS +105,18:00:00,1040AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,book_needs,OHIO STATE +8.5,12:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,book_needs,WICHITA STATE +6.5,12:00:00,1040AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,book_needs,UTAH +2.5,14:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,book_needs,MEMPHIS +4.5,12:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,book_needs,RUTGERS +4.5,13:00:00,12:00:00,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,book_needs,SIENA +3.5,14:00:00,12:00:00,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,book_needs,VIRGINIA +3.5,14:00:00,12:00:00,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,mega_sharps,PITTSBURGH UNDER 6,18:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,NHL,sharp,NY ISLANDERS +128,15:00:00,1040AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,NHL,sharp,ARIZONA +230,18:00:00,1040AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,NHL,sharp,PITTSBURGH UNDER 6,18:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,NHL,sharp,ARIZONA OVER 6.5,18:00:00,12:00:00,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,CHARLOTTE -6,12:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,LOYOLA CHICAGO -4,12:00:00,1040AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,EAST CAROLINA -1.5,14:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,USF UNDER 148,12:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,PURDUE OVER 146.5,13:00:00,12:00:00,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,NIAGARA OVER 151,14:00:00,12:00:00,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,NORTHWESTERN OVER 137.5,14:00:00,12:00:00,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,MURRAY STATE OVER 140,14:00:00,1040AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,UAB UNDER 131.5,15:00:00,1040AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,MEMPHIS OVER 154,16:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,SETON HALL OVER 144.5,17:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,TULANE OVER 150,14:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,CANISIUS OVER 137.5,14:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,sharp,UCLA -2.5,19:00:00,1040AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,NHL,squares,NY RANGERS -146,15:00:00,1040AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,NBA,squares,WESTERN CONF -2.5,,,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,squares,PURDUE -8.5,12:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,squares,CHARLOTTE -6.5,12:00:00,1040AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,squares,UCLA -2.5,14:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,squares,LOYOLA CHICAGO -4.5,12:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,squares,DRAKE -9.5,13:00:00,12:00:00,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,squares,CANISIUS -3.5,14:00:00,12:00:00,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,squares,MINNESOTA -5.5,14:00:00,12:00:00,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,whale,UCLA -2 35U,18:00:00,745AM,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,whale,QUINNIPIAC -6 45U,,,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2024-02-18,CBB,whale,FURMAN -2 50U,,,1cLKNvOlTGGYKIgsBvTcB42ivZg1LZ0cOxfdR6doEiMg
2025-02-28,NBA,book_needs,LA CLIPPERS +4.5,20:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NBA,book_needs,UTAH +2.5,22:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NBA,book_needs,DETROIT +1,19:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NHL,book_needs,NY RANGERS -102,21:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NHL,book_needs,LA KINGS +111,21:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,book_needs,UNLV +2.5,20:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,book_needs,TEXAS STATE -1.5,20:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,book_needs,DAVIDSON +14.5,18:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,book_needs,PENNYLVANIA +8.5,19:00:00,530PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,book_needs,SACRED HEART -1.5,730PM,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,book_needs,MLB PRESESON,GT,APT,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,book_needs,MINNESOTA -160,105PM,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,book_needs,TEXAS -179,105PM,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,mega_sharps,COLORADO -295,21:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,mega_sharps,TEXAS -128,305PM,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NBA,sharp,MEMPHIS -3.5,20:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NBA,sharp,LA CLIPPERS -2.5,22:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NBA,sharp,DETROIT UNDER 237.5,19:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NBA,sharp,PHOENIX UNDER 233.5,21:00:00,530PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NBA,sharp,LA LAKERS UNDER 221.5,22:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NHL,sharp,COLORADO -295,21:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NHL,sharp,MINNESOTA OVER 6,21:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NHL,sharp,TORONTO -122,19:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NHL,sharp,LA KINGS +125,20:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,sharp,PURDUE -4.5,20:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,sharp,SOUTH ALABAMA -12,20:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,sharp,EMU UNDER 147.5,18:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,sharp,CANISIUS UNDER 149,19:00:00,530PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,sharp,ARKANSAS STATE OVER 149.5,730PM,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,sharp,MLB PRESESON,GT,APT,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,sharp,m,GT,APT,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,sharp,MINNESOTA -155,105PM,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,sharp,PHILADELPHIA -137,105PM,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,sharp,HOUSTON -119,105PM,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,sharp,TEXAS -128,305PM,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NBA,squares,LA LAKERS +4.5,20:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NBA,squares,MINNESOTA -2.5,22:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NBA,squares,NEW ORLEANS +9,19:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NHL,squares,TORONTO -110,21:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,NHL,squares,DALLAS -125,21:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,squares,JAMES MADISON +1.5,20:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,squares,IOWA +4.5,20:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,squares,NEVADA -2.5,18:00:00,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,squares,MARIST +1.5,19:00:00,530PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,squares,VCU -14.5,730PM,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,squares,PRINCETON -4.5,,,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,squares,MLB PRESESON,GT,APT,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-02-28,CBB,squares,HOUSTON -143,105PM,1230PM,1cw3TfLDTurlLg6qqvWrduwD89AZz2rSBbZbUYZT5u6w
2025-03-01,NBA,book_needs,PHILADELPHIA +8.5,830PM,440PM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
2025-03-01,NBA,book_needs,DALLAS +3.5,20:00:00,440PM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
2025-03-01,NHL,book_needs,WASHINGTON -108,1230PM,1115AM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
2025-03-01,NHL,book_needs,EDMONTON -145,15:00:00,1115AM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
2025-03-01,NHL,book_needs,DETROIT +102,19:00:00,1115AM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
2025-03-01,NHL,book_needs,MONTREAL +125,20:00:00,1115AM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
2025-03-01,CBB,book_needs,SOUTH CAROLINA -1.5,14:00:00,1115AM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
2025-03-01,CBB,book_needs,BUTLER +7.5,15:00:00,1115AM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
2025-03-01,CBB,book_needs,HOUSTON -13.5,16:00:00,1115AM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
2025-03-01,CBB,book_needs,MISSISSIPPI -7.5,18:00:00,1115AM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
2025-03-01,CBB,book_needs,WASHINGTON +1.5,18:00:00,1115AM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
2025-03-01,CBB,book_needs,ST JOHNS -20.5,12:00:00,1115AM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
2025-03-01,CBB,book_needs,SAN FRANCISCO +9,16:00:00,1115AM,1Dfrxnx3zs8AjrTEeA4iOwZbBSIfqRjors_2EMVxP0pA
