game_id,penalty_team,n,yds
1999_01_ARI_PHI,ARI,8,40.0
1999_01_ARI_PHI,PHI,7,54.0
1999_01_BUF_IND,BUF,13,100.0
1999_01_BUF_IND,IND,7,65.0
1999_01_CAR_NO,CAR,6,40.0
1999_01_CAR_NO,NO,4,26.0
1999_01_CIN_TEN,CIN,9,79.0
1999_01_CIN_TEN,TEN,8,61.0
1999_01_DAL_WAS,DAL,9,99.0
1999_01_DAL_WAS,WAS,8,45.0
1999_01_DET_SEA,DET,11,123.0
1999_01_DET_SEA,SEA,5,34.0
1999_01_KC_CHI,CHI,6,44.0
1999_01_KC_CHI,KC,7,40.0
1999_01_MIA_DEN,DEN,4,30.0
1999_01_MIA_DEN,MIA,8,60.0
1999_01_MIN_ATL,ATL,4,84.0
1999_01_MIN_ATL,MIN,9,81.0
1999_01_NE_NYJ,NE,7,43.0
1999_01_NE_NYJ,NYJ,6,40.0
1999_01_NYG_TB,NYG,9,58.0
1999_01_NYG_TB,TB,3,20.0
1999_01_OAK_GB,GB,7,47.0
1999_01_OAK_GB,LV,6,55.0
1999_01_PIT_CLE,CLE,4,23.0
1999_01_PIT_CLE,PIT,4,26.0
1999_01_SF_JAX,JAX,6,57.0
1999_01_SF_JAX,SF,2,10.0
1999_02_ARI_MIA,ARI,2,15.0
1999_02_ARI_MIA,MIA,9,82.0
1999_02_ATL_DAL,ATL,11,82.0
1999_02_ATL_DAL,DAL,9,69.0
1999_02_CLE_TEN,CLE,2,7.0
1999_02_CLE_TEN,TEN,7,70.0
1999_02_DEN_KC,DEN,8,50.0
1999_02_DEN_KC,KC,10,84.0
1999_02_GB_DET,DET,6,52.0
1999_02_GB_DET,GB,5,25.0
1999_02_IND_NE,IND,7,59.0
1999_02_IND_NE,NE,15,135.0
1999_02_JAX_CAR,CAR,5,37.0
1999_02_JAX_CAR,JAX,5,35.0
1999_02_NO_SF,NO,8,79.0
1999_02_NO_SF,SF,3,28.0
1999_02_NYJ_BUF,BUF,8,50.0
1999_02_NYJ_BUF,NYJ,9,67.0
1999_02_OAK_MIN,LV,9,78.0
1999_02_OAK_MIN,MIN,7,42.0
1999_02_PIT_BAL,BAL,9,67.0
1999_02_PIT_BAL,PIT,7,37.0
1999_02_SD_CIN,CIN,6,40.0
1999_02_SD_CIN,LAC,6,47.0
1999_02_SEA_CHI,CHI,13,84.0
1999_02_SEA_CHI,SEA,8,70.0
1999_02_TB_PHI,PHI,3,45.0
1999_02_TB_PHI,TB,6,55.0
1999_02_WAS_NYG,NYG,8,106.0
1999_02_WAS_NYG,WAS,4,25.0
1999_03_ATL_STL,ATL,3,25.0
1999_03_ATL_STL,LA,3,26.0
1999_03_CHI_OAK,CHI,17,121.0
1999_03_CHI_OAK,LV,9,85.0
1999_03_CIN_CAR,CAR,3,20.0
1999_03_CIN_CAR,CIN,8,50.0
1999_03_CLE_BAL,BAL,8,65.0
1999_03_CLE_BAL,CLE,2,20.0
1999_03_DEN_TB,DEN,8,62.0
1999_03_DEN_TB,TB,2,14.0
1999_03_DET_KC,DET,7,52.0
1999_03_DET_KC,KC,6,70.0
1999_03_IND_SD,IND,8,60.0
1999_03_IND_SD,LAC,5,45.0
1999_03_MIN_GB,GB,5,47.0
1999_03_MIN_GB,MIN,5,30.0
1999_03_NYG_NE,NE,3,25.0
1999_03_NYG_NE,NYG,2,10.0
1999_03_PHI_BUF,BUF,4,20.0
1999_03_PHI_BUF,PHI,7,50.0
1999_03_SEA_PIT,PIT,5,43.0
1999_03_SEA_PIT,SEA,7,50.0
1999_03_SF_ARI,ARI,3,25.0
1999_03_SF_ARI,SF,9,88.0
1999_03_TEN_JAX,JAX,9,79.0
1999_03_TEN_JAX,TEN,9,82.0
1999_03_WAS_NYJ,NYJ,8,86.0
1999_03_WAS_NYJ,WAS,5,35.0
1999_04_ARI_DAL,ARI,6,50.0
1999_04_ARI_DAL,DAL,10,87.0
1999_04_BAL_ATL,ATL,6,40.0
1999_04_BAL_ATL,BAL,5,38.0
1999_04_BUF_MIA,BUF,8,74.0
1999_04_BUF_MIA,MIA,7,50.0
1999_04_CAR_WAS,CAR,6,80.0
1999_04_CAR_WAS,WAS,8,60.0
1999_04_JAX_PIT,JAX,5,32.0
1999_04_JAX_PIT,PIT,7,65.0
1999_04_KC_SD,KC,13,113.0
1999_04_KC_SD,LAC,6,54.0
1999_04_NE_CLE,CLE,5,45.0
1999_04_NE_CLE,NE,7,59.0
1999_04_NO_CHI,CHI,5,35.0
1999_04_NO_CHI,NO,6,41.0
1999_04_NYJ_DEN,DEN,7,82.0
1999_04_NYJ_DEN,NYJ,4,43.0
1999_04_OAK_SEA,LV,9,88.0
1999_04_OAK_SEA,SEA,5,40.0
1999_04_PHI_NYG,NYG,5,51.0
1999_04_PHI_NYG,PHI,6,35.0
1999_04_STL_CIN,CIN,5,25.0
1999_04_STL_CIN,LA,5,34.0
1999_04_TB_MIN,MIN,5,50.0
1999_04_TB_MIN,TB,10,74.0
1999_04_TEN_SF,SF,8,67.0
1999_04_TEN_SF,TEN,4,30.0
1999_05_ATL_NO,ATL,9,68.0
1999_05_ATL_NO,NO,7,64.0
1999_05_BAL_TEN,BAL,9,82.0
1999_05_BAL_TEN,TEN,15,212.0
1999_05_CHI_MIN,CHI,3,23.0
1999_05_CHI_MIN,MIN,5,40.0
1999_05_CIN_CLE,CIN,4,70.0
1999_05_CIN_CLE,CLE,8,82.0
1999_05_DAL_PHI,DAL,6,65.0
1999_05_DAL_PHI,PHI,7,82.0
1999_05_DEN_OAK,DEN,3,17.0
1999_05_DEN_OAK,LV,3,30.0
1999_05_JAX_NYJ,JAX,7,67.0
1999_05_JAX_NYJ,NYJ,2,15.0
1999_05_MIA_IND,IND,4,30.0
1999_05_MIA_IND,MIA,6,62.0
1999_05_NE_KC,KC,4,24.0
1999_05_NE_KC,NE,7,35.0
1999_05_NYG_ARI,ARI,3,14.0
1999_05_NYG_ARI,NYG,8,52.0
1999_05_PIT_BUF,BUF,4,40.0
1999_05_PIT_BUF,PIT,2,20.0
1999_05_SD_DET,DET,1,5.0
1999_05_SD_DET,LAC,4,20.0
1999_05_SF_STL,LA,11,73.0
1999_05_SF_STL,SF,7,70.0
1999_05_TB_GB,GB,8,83.0
1999_05_TB_GB,TB,3,40.0
1999_06_CAR_SF,CAR,6,57.0
1999_06_CAR_SF,SF,3,25.0
1999_06_CLE_JAX,CLE,6,55.0
1999_06_CLE_JAX,JAX,6,50.0
1999_06_DAL_NYG,DAL,10,59.0
1999_06_DAL_NYG,NYG,9,75.0
1999_06_GB_DEN,DEN,9,64.0
1999_06_GB_DEN,GB,9,51.0
1999_06_IND_NYJ,IND,1,5.0
1999_06_IND_NYJ,NYJ,6,51.0
1999_06_MIA_NE,MIA,13,99.0
1999_06_MIA_NE,NE,6,45.0
1999_06_MIN_DET,DET,7,50.0
1999_06_MIN_DET,MIN,3,61.0
1999_06_OAK_BUF,BUF,6,46.0
1999_06_OAK_BUF,LV,9,60.0
1999_06_PHI_CHI,CHI,9,85.0
1999_06_PHI_CHI,PHI,6,53.0
1999_06_PIT_CIN,CIN,8,60.0
1999_06_PIT_CIN,PIT,7,41.0
1999_06_SEA_SD,LAC,10,56.0
1999_06_SEA_SD,SEA,6,49.0
1999_06_STL_ATL,ATL,10,83.0
1999_06_STL_ATL,LA,8,45.0
1999_06_TEN_NO,NO,13,103.0
1999_06_TEN_NO,TEN,8,75.0
1999_06_WAS_ARI,ARI,4,30.0
1999_06_WAS_ARI,WAS,8,54.0
1999_07_ATL_PIT,ATL,3,15.0
1999_07_ATL_PIT,PIT,9,91.0
1999_07_BUF_SEA,BUF,6,35.0
1999_07_BUF_SEA,SEA,6,40.0
1999_07_CHI_TB,CHI,6,55.0
1999_07_CHI_TB,TB,4,30.0
1999_07_CIN_IND,CIN,10,99.0
1999_07_CIN_IND,IND,6,45.0
1999_07_CLE_STL,CLE,6,30.0
1999_07_CLE_STL,LA,4,30.0
1999_07_DEN_NE,DEN,10,70.0
1999_07_DEN_NE,NE,5,34.0
1999_07_DET_CAR,CAR,9,55.0
1999_07_DET_CAR,DET,3,21.0
1999_07_GB_SD,GB,5,45.0
1999_07_GB_SD,LAC,6,73.0
1999_07_KC_BAL,BAL,9,81.0
1999_07_KC_BAL,KC,9,113.0
1999_07_NO_NYG,NO,5,40.0
1999_07_NO_NYG,NYG,7,49.0
1999_07_NYJ_OAK,LV,2,20.0
1999_07_NYJ_OAK,NYJ,7,70.0
1999_07_PHI_MIA,MIA,7,54.0
1999_07_PHI_MIA,PHI,3,19.0
1999_07_SF_MIN,MIN,4,30.0
1999_07_SF_MIN,SF,15,104.0
1999_07_WAS_DAL,DAL,9,98.0
1999_07_WAS_DAL,WAS,8,70.0
1999_08_BUF_BAL,BAL,10,113.0
1999_08_BUF_BAL,BUF,7,50.0
1999_08_CAR_ATL,ATL,9,75.0
1999_08_CAR_ATL,CAR,9,48.0
1999_08_CHI_WAS,CHI,9,85.0
1999_08_CHI_WAS,WAS,3,15.0
1999_08_CLE_NO,CLE,8,64.0
1999_08_CLE_NO,NO,6,38.0
1999_08_DAL_IND,DAL,6,35.0
1999_08_DAL_IND,IND,6,40.0
1999_08_JAX_CIN,CIN,4,24.0
1999_08_JAX_CIN,JAX,2,16.0
1999_08_MIA_OAK,LV,2,25.0
1999_08_MIA_OAK,MIA,7,48.0
1999_08_MIN_DEN,DEN,7,39.0
1999_08_MIN_DEN,MIN,9,78.0
1999_08_NE_ARI,ARI,5,30.0
1999_08_NE_ARI,NE,4,36.0
1999_08_NYG_PHI,NYG,5,41.0
1999_08_NYG_PHI,PHI,3,15.0
1999_08_SD_KC,KC,3,15.0
1999_08_SD_KC,LAC,12,74.0
1999_08_SEA_GB,GB,9,88.0
1999_08_SEA_GB,SEA,6,67.0
1999_08_STL_TEN,LA,15,102.0
1999_08_STL_TEN,TEN,8,85.0
1999_08_TB_DET,DET,5,43.0
1999_08_TB_DET,TB,6,32.0
1999_09_ARI_NYJ,ARI,4,25.0
1999_09_ARI_NYJ,NYJ,3,25.0
1999_09_BAL_CLE,BAL,4,29.0
1999_09_BAL_CLE,CLE,4,19.0
1999_09_BUF_WAS,BUF,6,79.0
1999_09_BUF_WAS,WAS,2,15.0
1999_09_CHI_GB,CHI,3,24.0
1999_09_CHI_GB,GB,4,30.0
1999_09_CIN_SEA,CIN,16,107.0
1999_09_CIN_SEA,SEA,8,71.0
1999_09_DAL_MIN,DAL,8,55.0
1999_09_DAL_MIN,MIN,12,95.0
1999_09_DEN_SD,DEN,8,61.0
1999_09_DEN_SD,LAC,6,55.0
