game_id,play_id,passer_player_id,rusher_player_id,receiver_player_id
2016_01_BUF_BAL,58,,00-0026373,
2016_01_BUF_BAL,85,00-0026158,,00-0026373
2016_01_BUF_BAL,109,,00-0026373,
2016_01_BUF_BAL,130,00-0026158,,00-0029892
2016_01_BUF_BAL,154,,00-0031375,
2016_01_BUF_BAL,216,00-0028118,,00-0027029
2016_01_BUF_BAL,240,,00-0027029,
2016_01_BUF_BAL,261,00-0028118,,00-0030433
2016_01_BUF_BAL,310,00-0026158,,00-0020337
2016_01_BUF_BAL,334,00-0026158,,00-0020337
2016_01_BUF_BAL,404,00-0026158,,00-0026901
2016_01_BUF_BAL,428,00-0026158,,
2016_01_BUF_BAL,450,,00-0026158,
2016_01_BUF_BAL,476,00-0028118,,00-0027029
2016_01_BUF_BAL,500,,00-0027029,
2016_01_BUF_BAL,521,00-0028118,,00-0028112
2016_01_BUF_BAL,588,,00-0031375,
2016_01_BUF_BAL,609,00-0026158,,00-0032054
2016_01_BUF_BAL,633,00-0026158,,00-0030992
2016_01_BUF_BAL,657,,00-0031375,
2016_01_BUF_BAL,678,00-0026158,,00-0028497
2016_01_BUF_BAL,702,,00-0031375,
2016_01_BUF_BAL,755,00-0026158,,00-0032054
2016_01_BUF_BAL,777,,00-0029892,
2016_01_BUF_BAL,836,00-0028118,,00-0027029
2016_01_BUF_BAL,860,,00-0027029,
2016_01_BUF_BAL,897,00-0028118,,00-0031325
2016_01_BUF_BAL,921,00-0028118,,00-0028050
2016_01_BUF_BAL,943,00-0028118,,00-0027029
2016_01_BUF_BAL,967,00-0028118,,
2016_01_BUF_BAL,1004,00-0026158,,00-0029892
2016_01_BUF_BAL,1026,,00-0026373,
2016_01_BUF_BAL,1047,,00-0026373,
2016_01_BUF_BAL,1108,,00-0031375,
2016_01_BUF_BAL,1129,00-0026158,,00-0020337
2016_01_BUF_BAL,1153,00-0026158,,00-0026901
2016_01_BUF_BAL,1216,,00-0027029,
2016_01_BUF_BAL,1242,,00-0027029,
2016_01_BUF_BAL,1296,00-0028118,,00-0031325
2016_01_BUF_BAL,1320,00-0028118,,00-0030431
2016_01_BUF_BAL,1344,,00-0027029,
2016_01_BUF_BAL,1365,00-0028118,,00-0024217
2016_01_BUF_BAL,1391,,00-0024217,
2016_01_BUF_BAL,1412,00-0028118,,00-0028112
2016_01_BUF_BAL,1436,,00-0027029,
2016_01_BUF_BAL,1457,,00-0027029,
2016_01_BUF_BAL,1478,,00-0028118,
2016_01_BUF_BAL,1526,,00-0027029,
2016_01_BUF_BAL,1589,00-0026158,,00-0026901
2016_01_BUF_BAL,1611,,00-0026373,
2016_01_BUF_BAL,1632,00-0026158,,00-0026373
2016_01_BUF_BAL,1673,00-0026158,,00-0020337
2016_01_BUF_BAL,1697,,00-0026373,
2016_01_BUF_BAL,1718,00-0026158,,00-0027714
2016_01_BUF_BAL,1759,00-0026158,,00-0027714
2016_01_BUF_BAL,1781,00-0026158,,00-0026901
2016_01_BUF_BAL,1803,00-0026158,,
2016_01_BUF_BAL,1857,,00-0027029,
2016_01_BUF_BAL,1882,,00-0027029,
2016_01_BUF_BAL,1903,00-0028118,,00-0031325
2016_01_BUF_BAL,1927,00-0028118,,00-0030431
2016_01_BUF_BAL,1956,,00-0024217,
2016_01_BUF_BAL,1977,,00-0027029,
2016_01_BUF_BAL,1998,,00-0028118,
2016_01_BUF_BAL,2035,00-0028118,,00-0030431
2016_01_BUF_BAL,2057,,00-0024217,
2016_01_BUF_BAL,2095,00-0028118,,00-0030431
2016_01_BUF_BAL,2139,00-0026158,,00-0020337
2016_01_BUF_BAL,2161,,00-0026373,
2016_01_BUF_BAL,2182,00-0026158,,00-0032398
2016_01_BUF_BAL,2229,,00-0027029,
2016_01_BUF_BAL,2250,00-0028118,,00-0031325
2016_01_BUF_BAL,2274,,00-0027029,
2016_01_BUF_BAL,2295,,00-0028118,
2016_01_BUF_BAL,2316,,00-0028118,
2016_01_BUF_BAL,2356,,00-0026373,
2016_01_BUF_BAL,2412,00-0026158,,00-0029892
2016_01_BUF_BAL,2469,00-0026158,,00-0031375
2016_01_BUF_BAL,2493,00-0026158,,00-0028497
2016_01_BUF_BAL,2517,00-0026158,,00-0027714
2016_01_BUF_BAL,2541,00-0026158,,00-0031375
2016_01_BUF_BAL,2571,00-0028118,,00-0032117
2016_01_BUF_BAL,2593,,00-0027029,
2016_01_BUF_BAL,2630,00-0028118,,00-0028112
2016_01_BUF_BAL,2682,00-0026158,,00-0020337
2016_01_BUF_BAL,2705,,00-0031375,
2016_01_BUF_BAL,2726,00-0026158,,
2016_01_BUF_BAL,2764,,00-0027029,
2016_01_BUF_BAL,2785,00-0028118,,00-0031325
2016_01_BUF_BAL,2824,,00-0028118,
2016_01_BUF_BAL,2890,00-0026158,,00-0020337
2016_01_BUF_BAL,2912,00-0026158,,00-0032398
2016_01_BUF_BAL,2936,,00-0026373,
2016_01_BUF_BAL,2957,00-0026158,,00-0026901
2016_01_BUF_BAL,2981,,00-0031375,
2016_01_BUF_BAL,3002,00-0026158,,00-0027714
2016_01_BUF_BAL,3026,,00-0031375,
2016_01_BUF_BAL,3047,00-0026158,,00-0026901
2016_01_BUF_BAL,3069,00-0026158,,
2016_01_BUF_BAL,3148,00-0026158,,00-0020337
2016_01_BUF_BAL,3173,,00-0031375,
2016_01_BUF_BAL,3195,00-0026158,,
2016_01_BUF_BAL,3260,00-0028118,,00-0031325
2016_01_BUF_BAL,3313,00-0028118,,00-0030431
2016_01_BUF_BAL,3337,00-0028118,,
2016_01_BUF_BAL,3392,,00-0031375,
2016_01_BUF_BAL,3414,,00-0026901,
2016_01_BUF_BAL,3456,,00-0031375,
2016_01_BUF_BAL,3477,,00-0026373,
