player,gsis_id,pos,z,conservative_z,n_duels
Jordan Love,00-0036264,QB,1.373,0.504,429
Josh Allen,00-0034857,QB,1.34,0.49,455
Matthew Stafford,00-0026498,QB,1.218,0.37,458
Jared Goff,00-0033106,QB,0.967,0.111,446
Brock Purdy,00-0037834,QB,0.987,0.102,408
Patrick Mahomes,00-0033873,QB,0.912,0.055,446
Drake Maye,00-0039851,QB,0.852,-0.011,437
Dak Prescott,00-0033077,QB,0.804,-0.056,442
Joe Burrow,00-0036442,QB,0.803,-0.091,397
Lamar Jackson,00-0034796,QB,0.762,-0.117,417
Bo Nix,00-0039732,QB,0.724,-0.131,448
Trevor Lawrence,00-0036971,QB,0.644,-0.212,447
Caleb Williams,00-0039918,QB,0.618,-0.237,449
Sam Darnold,00-0034869,QB,0.619,-0.241,441
George Kittle,00-0033288,TE,0.253,-0.252,193
Jalen Hurts,00-0036389,QB,0.568,-0.288,447
Baker Mayfield,00-0034855,QB,0.493,-0.363,448
Daniel Jones,00-0035710,QB,0.497,-0.387,410
Mac Jones,00-0036972,QB,0.512,-0.397,379
Puka Nacua,00-0039075,WR,-0.002,-0.401,272
Jayden Daniels,00-0039910,QB,0.416,-0.502,369
Tucker Kraft,00-0038996,TE,0.069,-0.512,108
Kyler Murray,00-0035228,QB,0.386,-0.53,371
Alec Pierce,00-0037664,WR,-0.113,-0.583,153
Malik Willis,00-0038128,QB,0.67,-0.589,126
George Pickens,00-0037247,WR,-0.163,-0.589,217
Tua Tagovailoa,00-0036212,QB,0.287,-0.595,412
Sam LaPorta,00-0039065,TE,-0.063,-0.605,147
Derrick Henry,00-0032764,RB,0.551,-0.633,383
Amon-Ra St. Brown,00-0036963,WR,-0.239,-0.634,278
Justin Herbert,00-0036355,QB,0.218,-0.634,452
DeVonta Smith,00-0036912,WR,-0.217,-0.638,229
Jaxson Dart,00-0040691,QB,0.348,-0.64,298
C.J. Stroud,00-0039163,QB,0.219,-0.643,438
Dallas Goedert,00-0034351,TE,-0.137,-0.646,187
Stefon Diggs,00-0031588,WR,-0.25,-0.664,240
Travis Kelce,00-0030506,TE,-0.207,-0.671,255
Jaxon Smith-Njigba,00-0038543,WR,-0.261,-0.674,242
Dalton Kincaid,00-0038933,TE,-0.129,-0.679,139
Trey McBride,00-0037744,TE,-0.205,-0.679,238
