gsis_id,player,bucket,mu,sigma,snaps,cons,rating_0_100,active_2025,tier
00-0040740,Ozzy Trapilo,OL,34.836,1.83,542,29.346,91.7,1,S
00-0037271,D'Marco Jackson,LB,36.484,2.032,428,30.388,89.5,1,S
00-0040183,Elijah Roberts,DL,34.842,2.264,477,28.049,85.7,1,S
00-0038552,Riley Moss,DB,32.761,1.303,2033,28.853,83.4,1,S
00-0040148,Xavier Watts,DB,33.609,1.597,1038,28.819,83.3,1,S
00-0040189,Oronde Gadsden II,TE,34.327,2.0,619,28.326,82.8,1,S
00-0040259,Gage Larvadain,WR,39.113,3.795,179,27.727,81.7,1,S
00-0039108,Will Anderson Jr.,DL,31.976,1.608,2000,27.152,81.2,1,S
00-0035227,P.J. Locke,DB,32.954,1.592,1949,28.177,80.2,1,S
00-0037137,Josh Jobe,DB,32.978,1.604,1537,28.166,80.2,1,S
00-0039808,Isaiah Adams,OL,32.53,1.747,1149,27.29,80.1,1,S
00-0039872,Cole Bishop,DB,32.461,1.443,1422,28.131,80.0,1,S
00-0039774,Omar Speights,LB,32.807,1.522,1268,28.24,80.0,1,S
00-0039343,Kamari Lassiter,DB,32.474,1.459,1875,28.097,79.8,1,S
00-0031933,Leonard Williams,DL,31.335,1.513,7901,26.798,79.5,1,S
00-0039142,Will McDonald IV,DL,31.838,1.71,1480,26.708,79.0,1,S
00-0037112,Jake Tonges,TE,33.119,1.98,466,27.179,78.0,1,S
00-0031588,Stefon Diggs,WR,31.479,1.546,8319,26.841,77.8,1,S
00-0038839,Mitchell Tinsley,WR,35.196,2.786,273,26.838,77.7,1,S
00-0037840,Kyren Williams,RB,30.53,1.399,2620,26.335,76.7,1,S
00-0036204,LaCale London,DL,33.832,2.539,445,26.216,76.6,1,S
00-0033526,Samaje Perine,RB,32.038,1.97,2337,26.128,75.8,1,S
00-0038548,O'Cyrus Torrence,OL,30.329,1.28,3571,26.49,75.5,1,S
00-0039233,Roger Rosengarten,OL,30.79,1.445,1959,26.456,75.4,1,S
00-0036339,Kevin Dotson,OL,30.44,1.329,4895,26.454,75.3,1,S
00-0040784,Quinshon Judkins,RB,32.915,2.314,435,25.973,75.2,1,S
00-0040141,Kevin Winston Jr.,DB,35.796,2.91,295,27.068,75.0,1,S
00-0037816,Romeo Doubs,WR,30.599,1.464,2831,26.207,74.9,1,S
00-0037602,Sam Okuayinonu,DL,31.082,1.736,1134,25.875,74.9,1,S
00-0036564,Talanoa Hufanga,DB,30.895,1.301,3529,26.99,74.6,1,S
00-0040069,Teddye Buchanan,LB,33.449,2.142,624,27.022,74.6,1,S
00-0039813,Evan Williams,DB,31.556,1.532,1427,26.962,74.4,1,S
00-0039167,Joey Porter Jr.,DB,31.334,1.467,2619,26.932,74.3,1,S
00-0040152,Upton Stout,DB,32.982,2.019,627,26.927,74.3,1,S
00-0039838,Calen Bullock,DB,31.29,1.459,2077,26.914,74.2,1,S
00-0037249,Nik Bonitto,LB,31.401,1.498,2277,26.906,74.1,1,S
00-0039020,Anthony Bradford,OL,30.388,1.388,2311,26.225,74.1,1,S
00-0040719,Bhayshul Tuten,RB,34.837,3.038,218,25.723,74.1,1,S
00-0034778,Carlton Davis III,DB,31.062,1.428,6802,26.778,73.6,1,S
00-0039852,Jared Verse,DL,29.913,1.429,1852,25.627,73.6,1,S
00-0040579,Carson Schwesinger,LB,31.785,1.678,905,26.751,73.4,1,S
00-0031381,Davante Adams,WR,30.101,1.414,8584,25.859,73.3,1,S
00-0030035,Adam Thielen,WR,31.006,1.779,7741,25.668,72.5,1,S
00-0034114,Coleman Shelton,OL,29.625,1.227,4351,25.943,72.5,1,S
00-0038120,Breece Hall,RB,30.406,1.687,2154,25.345,72.5,1,S
00-0039075,Puka Nacua,WR,29.651,1.328,2435,25.666,72.5,1,S
00-0039147,Christian Gonzalez,DB,30.876,1.443,2092,26.546,72.5,1,S
00-0034960,Jakobi Meyers,WR,30.077,1.477,5205,25.645,72.4,1,S
00-0038135,Jaquan Brisker,DB,30.468,1.311,3204,26.536,72.4,1,S
00-0038127,Logan Hall,DL,30.579,1.731,2079,25.387,72.4,1,S
00-0032164,Arik Armstead,DL,30.356,1.662,5912,25.37,72.3,1,S
00-0033156,Joey Bosa,DL,30.127,1.586,5438,25.37,72.3,1,S
00-0035166,Azeez Al-Shaair,LB,30.921,1.473,4265,26.501,72.3,1,S
00-0038922,Drake Thomas,LB,32.055,1.849,870,26.507,72.3,1,S
00-0035689,Dawson Knox,TE,30.296,1.504,4990,25.785,72.2,1,S
00-0035944,Jonah Williams,DL,31.918,2.191,1406,25.345,72.2,1,S
00-0038553,Daiyan Henley,LB,30.916,1.493,1989,26.437,72.0,1,S
00-0034673,Tremaine Edmunds,LB,30.405,1.334,7509,26.402,71.9,1,S
00-0036410,Tee Higgins,WR,30.188,1.55,4447,25.538,71.9,1,S
00-0036220,Derrick Brown,DL,29.677,1.492,3885,25.201,71.5,1,S
00-0036900,Ja'Marr Chase,WR,29.801,1.451,4866,25.449,71.5,1,S
00-0036290,Cole Kmet,TE,29.907,1.43,5026,25.616,71.4,1,S
00-0038412,Moro Ojomo,DL,30.061,1.623,1258,25.191,71.4,1,S
00-0031898,Alex Singleton,LB,30.248,1.325,4476,26.274,71.3,1,S
00-0035763,Malcolm Roach,DL,30.202,1.681,1917,25.161,71.3,1,S
00-0034805,John Franklin-Myers,DL,30.04,1.628,3729,25.156,71.2,1,S
00-0039793,AJ Barner,TE,30.0,1.478,1409,25.565,71.2,1,S
