game_id,team,st_epa_for,n_for,st_epa_against,n_against,fx_epa_for,fx_n_for,fx_epa_against,fx_n_against
1999_01_ARI_PHI,ARI,1.486721,9,1.996653,13,1.422178,5,0.303250,4
1999_01_ARI_PHI,PHI,1.996653,13,1.486721,9,0.303250,4,1.422178,5
1999_01_BUF_IND,BUF,2.014658,11,-0.254111,7,0.712248,2,-3.270549,6
1999_01_BUF_IND,IND,-0.254111,7,2.014658,11,-3.270549,6,0.712248,2
1999_01_CAR_NO,CAR,-2.592855,13,-1.196339,13,-0.063887,3,0.716771,4
1999_01_CAR_NO,NO,-1.196339,13,-2.592855,13,0.716771,4,-0.063887,3
1999_01_CIN_TEN,CIN,1.881361,11,4.987611,10,1.309009,3,2.745015,6
1999_01_CIN_TEN,TEN,4.987611,10,1.881361,11,2.745015,6,1.309009,3
1999_01_DAL_WAS,DAL,2.363159,11,-0.171106,12,0.153197,5,1.568597,5
1999_01_DAL_WAS,WAS,-0.171106,12,2.363159,11,1.568597,5,0.153197,5
1999_01_DET_SEA,DET,6.353133,12,1.248529,12,2.872401,5,-2.938783,3
1999_01_DET_SEA,SEA,1.248529,12,6.353133,12,-2.938783,3,2.872401,5
1999_01_KC_CHI,CHI,-2.752614,9,0.977914,9,0.343186,4,-3.007592,4
1999_01_KC_CHI,KC,0.977914,9,-2.752614,9,-3.007592,4,0.343186,4
1999_01_MIA_DEN,DEN,1.297514,10,1.831435,8,-7.283853,4,0.859744,6
1999_01_MIA_DEN,MIA,1.831435,8,1.297514,10,0.859744,6,-7.283853,4
1999_01_MIN_ATL,ATL,-4.027381,6,1.555836,6,-6.316538,4,-6.612550,5
1999_01_MIN_ATL,MIN,1.555836,6,-4.027381,6,-6.612550,5,-6.316538,4
1999_01_NE_NYJ,NE,0.507411,9,1.754672,11,0.784567,6,0.061279,2
1999_01_NE_NYJ,NYJ,1.754672,11,0.507411,9,0.061279,2,0.784567,6
1999_01_NYG_TB,NYG,4.870656,16,6.196439,12,0.750216,3,0.988484,3
1999_01_NYG_TB,TB,6.196439,12,4.870656,16,0.988484,3,0.750216,3
1999_01_OAK_GB,GB,-0.285872,9,-1.202230,10,0.122558,4,-3.818433,6
1999_01_OAK_GB,LV,-1.202230,10,-0.285872,9,-3.818433,6,0.122558,4
1999_01_PIT_CLE,CLE,-0.561830,15,0.195000,2,0.000000,0,-0.468549,8
1999_01_PIT_CLE,PIT,0.195000,2,-0.561830,15,-0.468549,8,0.000000,0
1999_01_SF_JAX,JAX,1.092727,7,-2.832918,17,5.370742,7,1.170245,1
1999_01_SF_JAX,SF,-2.832918,17,1.092727,7,1.170245,1,5.370742,7
1999_02_ARI_MIA,ARI,2.166992,11,-1.508853,9,-0.149476,5,4.714178,6
1999_02_ARI_MIA,MIA,-1.508853,9,2.166992,11,4.714178,6,-0.149476,5
1999_02_ATL_DAL,ATL,3.391869,12,2.617769,8,-2.901092,2,-2.413220,5
1999_02_ATL_DAL,DAL,2.617769,8,3.391869,12,-2.413220,5,-2.901092,2
1999_02_CLE_TEN,CLE,3.498160,10,4.639370,8,1.180623,1,-1.918525,5
1999_02_CLE_TEN,TEN,4.639370,8,3.498160,10,-1.918525,5,1.180623,1
1999_02_DEN_KC,DEN,5.051444,10,3.255919,7,1.990355,2,3.125741,6
1999_02_DEN_KC,KC,3.255919,7,5.051444,10,3.125741,6,1.990355,2
1999_02_GB_DET,DET,4.337944,9,-0.939795,12,1.673146,3,1.348415,3
1999_02_GB_DET,GB,-0.939795,12,4.337944,9,1.348415,3,1.673146,3
1999_02_IND_NE,IND,2.274577,11,3.751067,11,0.091918,3,0.350021,5
1999_02_IND_NE,NE,3.751067,11,2.274577,11,0.350021,5,0.091918,3
1999_02_JAX_CAR,CAR,5.512941,11,0.905922,7,0.061279,2,-0.192254,5
1999_02_JAX_CAR,JAX,0.905922,7,5.512941,11,-0.192254,5,0.061279,2
1999_02_NO_SF,NO,2.933216,9,2.952313,8,0.091918,3,0.122558,4
1999_02_NO_SF,SF,2.952313,8,2.933216,9,0.122558,4,0.091918,3
1999_02_NYJ_BUF,BUF,2.537528,5,1.348826,10,-3.889396,5,0.384197,1
1999_02_NYJ_BUF,NYJ,1.348826,10,2.537528,5,0.384197,1,-3.889396,5
1999_02_OAK_MIN,LV,-1.368644,10,3.795314,9,1.944807,4,-4.558731,5
1999_02_OAK_MIN,MIN,3.795314,9,-1.368644,10,-4.558731,5,1.944807,4
1999_02_PIT_BAL,BAL,4.718037,12,3.614055,14,1.693498,4,1.348140,5
1999_02_PIT_BAL,PIT,3.614055,14,4.718037,12,1.348140,5,1.693498,4
1999_02_SD_CIN,CIN,-1.911700,16,5.443020,9,0.030639,1,1.544070,6
1999_02_SD_CIN,LAC,5.443020,9,-1.911700,16,1.544070,6,0.030639,1
1999_02_SEA_CHI,CHI,2.273435,8,-3.531213,10,-1.828242,5,0.061279,2
1999_02_SEA_CHI,SEA,-3.531213,10,2.273435,8,0.061279,2,-1.828242,5
1999_02_TB_PHI,PHI,4.247373,15,0.712121,7,-3.953684,3,2.315530,3
1999_02_TB_PHI,TB,0.712121,7,4.247373,15,2.315530,3,-3.953684,3
1999_02_WAS_NYG,NYG,6.020319,14,4.091298,7,0.091918,3,1.043823,7
1999_02_WAS_NYG,WAS,4.091298,7,6.020319,14,1.043823,7,0.091918,3
1999_03_ATL_STL,ATL,2.968365,10,-1.939783,5,0.027178,1,0.135891,5
1999_03_ATL_STL,LA,-1.939783,5,2.968365,10,0.135891,5,0.027178,1
1999_03_CHI_OAK,CHI,11.090598,9,-3.061472,7,-4.042723,5,1.968187,4
1999_03_CHI_OAK,LV,-3.061472,7,11.090598,9,1.968187,4,-4.042723,5
1999_03_CIN_CAR,CAR,3.721982,5,2.924430,9,2.255626,5,-8.044997,4
1999_03_CIN_CAR,CIN,2.924430,9,3.721982,5,-8.044997,4,2.255626,5
1999_03_CLE_BAL,BAL,3.156053,11,-0.397813,14,1.585365,3,1.755567,2
1999_03_CLE_BAL,CLE,-0.397813,14,3.156053,11,1.755567,2,1.585365,3
1999_03_DEN_TB,DEN,6.451497,10,2.266355,9,1.398504,2,1.472251,3
1999_03_DEN_TB,TB,2.266355,9,6.451497,10,1.472251,3,1.398504,2
1999_03_DET_KC,DET,3.837211,14,5.484246,12,0.030639,1,1.693695,5
1999_03_DET_KC,KC,5.484246,12,3.837211,14,1.693695,5,0.030639,1
1999_03_IND_SD,IND,-3.479699,7,4.203043,15,-2.757033,7,2.374814,3
1999_03_IND_SD,LAC,4.203043,15,-3.479699,7,2.374814,3,-2.757033,7
1999_03_MIN_GB,GB,1.957607,8,2.799564,9,1.766724,5,0.764782,4
1999_03_MIN_GB,MIN,2.799564,9,1.957607,8,0.764782,4,1.766724,5
1999_03_NYG_NE,NE,3.207712,7,4.046150,10,2.274424,4,-3.078532,3
1999_03_NYG_NE,NYG,4.046150,10,3.207712,7,-3.078532,3,2.274424,4
1999_03_PHI_BUF,BUF,0.549549,5,1.357036,15,-0.986331,7,-1.938435,1
1999_03_PHI_BUF,PHI,1.357036,15,0.549549,5,-1.938435,1,-0.986331,7
1999_03_SEA_PIT,PIT,-0.969180,13,4.125685,7,0.608619,2,2.098791,8
1999_03_SEA_PIT,SEA,4.125685,7,-0.969180,13,2.098791,8,0.608619,2
1999_03_SF_ARI,ARI,2.514418,11,8.465882,10,1.494114,2,0.584850,4
1999_03_SF_ARI,SF,8.465882,10,2.514418,11,0.584850,4,1.494114,2
1999_03_TEN_JAX,JAX,2.545591,10,1.102058,10,1.539400,3,3.264581,4
1999_03_TEN_JAX,TEN,1.102058,10,2.545591,10,3.264581,4,1.539400,3
1999_03_WAS_NYJ,NYJ,4.782839,12,2.894552,11,1.538177,4,2.276633,5
1999_03_WAS_NYJ,WAS,2.894552,11,4.782839,12,2.276633,5,1.538177,4
1999_04_ARI_DAL,ARI,0.638732,14,1.210147,8,0.030639,1,-3.142215,6
1999_04_ARI_DAL,DAL,1.210147,8,0.638732,14,-3.142215,6,0.030639,1
1999_04_BAL_ATL,ATL,1.706834,11,-3.959867,10,-1.620753,4,-2.851035,4
1999_04_BAL_ATL,BAL,-3.959867,10,1.706834,11,-2.851035,4,-1.620753,4
1999_04_BUF_MIA,BUF,0.414706,12,5.675390,11,2.932350,5,2.398473,4
1999_04_BUF_MIA,MIA,5.675390,11,0.414706,12,2.398473,4,2.932350,5
1999_04_CAR_WAS,CAR,0.907380,12,-4.000913,14,0.941746,7,0.493677,6
1999_04_CAR_WAS,WAS,-4.000913,14,0.907380,12,0.493677,6,0.941746,7
1999_04_JAX_PIT,JAX,5.451259,11,3.163048,10,1.413313,3,1.289991,1
1999_04_JAX_PIT,PIT,3.163048,10,5.451259,11,1.289991,1,1.413313,3
1999_04_KC_SD,KC,1.555001,9,-2.141469,12,-2.858536,3,0.091918,3
1999_04_KC_SD,LAC,-2.141469,12,1.555001,9,0.091918,3,-2.858536,3
1999_04_NE_CLE,CLE,-2.098365,14,2.609924,8,-2.488165,2,-3.147261,4
1999_04_NE_CLE,NE,2.609924,8,-2.098365,14,-3.147261,4,-2.488165,2
1999_04_NO_CHI,CHI,2.347165,8,-3.089093,10,-2.291665,3,0.359595,2
1999_04_NO_CHI,NO,-3.089093,10,2.347165,8,0.359595,2,-2.291665,3
1999_04_NYJ_DEN,DEN,2.789257,7,0.891069,9,1.888761,3,-2.911629,4
1999_04_NYJ_DEN,NYJ,0.891069,9,2.789257,7,-2.911629,4,1.888761,3
1999_04_OAK_SEA,LV,-4.343331,11,1.506589,8,-0.822065,4,1.937840,4
1999_04_OAK_SEA,SEA,1.506589,8,-4.343331,11,1.937840,4,-0.822065,4
1999_04_PHI_NYG,NYG,1.875289,7,3.227458,13,1.045630,4,0.657175,3
1999_04_PHI_NYG,PHI,3.227458,13,1.875289,7,0.657175,3,1.045630,4
