nhl_game_id,season,goalie_id,goalie_name,team,xga,ga,gsax
2010020001,2010,8471679,Carey Price,MTL,1.4694,3,-1.5306
2010020001,2010,8462044,Jean-Sebastien Giguere,TOR,3.1347,2,1.1347
2010020002,2010,8475683,Sergei Bobrovsky,PHI,3.1725,2,1.1725
2010020002,2010,8470594,Marc-Andre Fleury,PIT,2.9986,3,-0.0014
2010020002,2010,0,,PIT,0.3914,0,0.3914
2010020003,2010,8470320,Cam Ward,CAR,2.6439,3,-0.3561
2010020003,2010,8473404,Niklas Backstrom,MIN,3.7726,4,-0.2274
2010020004,2010,8460612,Marty Turco,CHI,3.1921,4,-0.8079
2010020004,2010,8467950,Craig Anderson,COL,3.2221,3,0.2221
2010020005,2010,8462147,Miikka Kiprusoff,CGY,4.0246,4,0.0246
2010020005,2010,8459140,Nikolai Khabibulin,EDM,2.8573,0,2.8573
2010020006,2010,8473461,Steve Mason,CBJ,1.7515,3,-1.2485
2010020006,2010,8474550,Antti Niemi,S.J,3.3266,2,1.3266
2010020007,2010,8470140,Kari Lehtonen,DAL,2.3978,3,-0.6022
2010020007,2010,8455710,Martin Brodeur,N.J,2.4255,4,-1.5745
2010020008,2010,8470320,Cam Ward,CAR,5.0216,1,4.0216
2010020008,2010,8473404,Niklas Backstrom,MIN,2.5074,1,1.5074
2010020009,2010,8473972,Jonas Hiller,ANA,3.807,4,-0.193
2010020009,2010,8470657,Jimmy Howard,DET,2.6683,0,2.6683
2010020010,2010,8468011,Ryan Miller,BUF,2.0655,1,1.0655
2010020010,2010,8469461,Pascal Leclaire,OTT,2.8914,2,0.8914
2010020011,2010,8471715,Ondrej Pavelec,ATL,0.0809,0,0.0809
2010020011,2010,8462152,Chris Mason,ATL,2.0372,2,0.0372
2010020011,2010,8473607,Michal Neuvirth,WSH,1.8506,3,-1.1494
2010020012,2010,8468524,Ilya Bryzgalov,ARI,3.9663,2,1.9663
2010020012,2010,8471695,Tuukka Rask,BOS,3.4464,4,-0.5536
2010020012,2010,0,,BOS,0.8294,1,-0.1706
2010020013,2010,8468011,Ryan Miller,BUF,3.1056,5,-1.8944
2010020013,2010,0,,BUF,1.3423,1,0.3423
2010020013,2010,8468685,Henrik Lundqvist,NYR,2.4008,3,-0.5992
2010020014,2010,8469461,Pascal Leclaire,OTT,2.8877,5,-2.1123
2010020014,2010,8462044,Jean-Sebastien Giguere,TOR,1.1967,1,0.1967
2010020015,2010,8470140,Kari Lehtonen,DAL,5.0339,4,1.0339
2010020015,2010,8468481,Rick DiPietro,NYI,2.7496,4,-1.2504
2010020016,2010,8471679,Carey Price,MTL,2.5944,2,0.5944
2010020016,2010,8470594,Marc-Andre Fleury,PIT,1.341,3,-1.659
2010020016,2010,0,,PIT,0.5693,0,0.5693
2010020017,2010,8455710,Martin Brodeur,N.J,1.7596,4,-2.2404
2010020017,2010,8460704,Johan Hedberg,N.J,1.0699,2,-0.9301
2010020017,2010,8473607,Michal Neuvirth,WSH,2.2024,2,0.2024
2010020018,2010,8462152,Chris Mason,ATL,2.9889,5,-2.0111
2010020018,2010,8469608,Mike Smith,T.B,3.0879,3,0.0879
2010020019,2010,8462052,Brian Boucher,PHI,2.7125,2,0.7125
2010020019,2010,8470860,Jaroslav Halak,STL,3.9956,1,2.9956
2010020020,2010,8473972,Jonas Hiller,ANA,4.0185,4,0.0185
2010020020,2010,8471469,Pekka Rinne,NSH,1.5643,1,0.5643
2010020020,2010,8474765,Anders Lindback,NSH,0.3083,0,0.3083
2010020021,2010,8460612,Marty Turco,CHI,2.0237,3,-0.9763
2010020021,2010,8458568,Chris Osgood,DET,1.8929,2,-0.1071
2010020022,2010,8473461,Steve Mason,CBJ,2.5945,2,0.5945
2010020022,2010,8467511,Antero Niittymaki,S.J,1.512,3,-1.488
2010020023,2010,8471734,Jonathan Quick,L.A,1.9453,1,0.9453
2010020023,2010,8466141,Roberto Luongo,VAN,2.2619,1,1.2619
2010020024,2010,8468524,Ilya Bryzgalov,ARI,2.4984,3,-0.5016
2010020024,2010,8460703,Tim Thomas,BOS,2.6977,0,2.6977
2010020025,2010,8462147,Miikka Kiprusoff,CGY,1.0685,1,0.0685
2010020025,2010,8473541,Jonathan Bernier,L.A,2.3958,2,0.3958
2010020025,2010,0,,L.A,0.4147,1,-0.5853
2010020026,2010,8459140,Nikolai Khabibulin,EDM,3.9372,2,1.9372
2010020026,2010,8460712,Tomas Vokoun,FLA,1.9646,3,-1.0354
2010020026,2010,0,,FLA,0.7607,0,0.7607
2010020027,2010,8455710,Martin Brodeur,N.J,1.9405,2,-0.0595
2010020027,2010,0,,N.J,0.9769,1,-0.0231
2010020027,2010,8462161,Brent Johnson,PIT,2.1027,1,1.1027
2010020028,2010,8468481,Rick DiPietro,NYI,3.0223,4,-0.9777
2010020028,2010,8468685,Henrik Lundqvist,NYR,3.136,5,-1.864
2010020028,2010,0,,NYR,0.8168,1,-0.1832
2010020029,2010,8473972,Jonas Hiller,ANA,3.1797,4,-0.8203
2010020029,2010,8470147,Curtis McElhinney,ANA,2.0692,1,1.0692
2010020029,2010,8470860,Jaroslav Halak,STL,0.8192,1,-0.1808
2010020030,2010,8468011,Ryan Miller,BUF,2.614,4,-1.386
2010020030,2010,8470645,Corey Crawford,CHI,3.7773,3,0.7773
2010020031,2010,8467950,Craig Anderson,COL,3.1025,3,0.1025
2010020031,2010,0,,COL,0.6592,1,-0.3408
2010020031,2010,8475683,Sergei Bobrovsky,PHI,1.76,2,-0.24
2010020032,2010,8469461,Pascal Leclaire,OTT,2.5381,3,-0.4619
2010020032,2010,8473607,Michal Neuvirth,WSH,2.657,2,0.657
2010020033,2010,8460712,Tomas Vokoun,FLA,2.2026,2,0.2026
2010020033,2010,0,,FLA,0.4384,0,0.4384
2010020033,2010,8466141,Roberto Luongo,VAN,2.6883,1,1.6883
2010020034,2010,8469514,Peter Budaj,COL,2.0297,4,-1.9703
2010020034,2010,8470657,Jimmy Howard,DET,2.1505,4,-1.8495
2010020035,2010,8462152,Chris Mason,ATL,3.0755,2,1.0755
2010020035,2010,0,,ATL,0.5507,1,-0.4493
2010020035,2010,8471734,Jonathan Quick,L.A,2.1732,1,1.1732
2010020036,2010,8468011,Ryan Miller,BUF,2.1369,1,1.1369
2010020036,2010,8455710,Martin Brodeur,N.J,1.6375,0,1.6375
2010020037,2010,8460806,Dwayne Roloson,NYI,1.8465,2,-0.1535
2010020037,2010,8473607,Michal Neuvirth,WSH,1.3233,1,0.3233
2010020038,2010,8471679,Carey Price,MTL,5.2096,4,1.2096
2010020038,2010,8469608,Mike Smith,T.B,1.4377,3,-1.5623
2010020039,2010,8470594,Marc-Andre Fleury,PIT,1.5089,4,-2.4911
2010020039,2010,0,,PIT,0.4394,0,0.4394
2010020039,2010,8475361,Jonas Gustavsson,TOR,2.5904,3,-0.4096
2010020040,2010,8470645,Corey Crawford,CHI,3.214,3,0.214
2010020040,2010,0,,CHI,0.5862,0,0.5862
2010020040,2010,8474765,Anders Lindback,NSH,1.4031,2,-0.5969
2010020041,2010,8473972,Jonas Hiller,ANA,4.184,3,1.184
2010020041,2010,8466141,Roberto Luongo,VAN,2.2154,4,-1.7846
2010020042,2010,8462052,Brian Boucher,PHI,1.733,3,-1.267
2010020042,2010,0,,PHI,0.2437,0,0.2437
2010020042,2010,8468540,Dan Ellis,T.B,3.0143,2,1.0143
2010020043,2010,8470320,Cam Ward,CAR,3.0397,3,0.0397
2010020043,2010,8469461,Pascal Leclaire,OTT,0.0283,0,0.0283
2010020043,2010,8470880,Brian Elliott,OTT,2.5359,2,0.5359
2010020044,2010,8474765,Anders Lindback,NSH,3.9515,3,0.9515
2010020044,2010,8470860,Jaroslav Halak,STL,3.1564,4,-0.8436
2010020044,2010,0,,STL,0.4219,0,0.4219
2010020045,2010,8459140,Nikolai Khabibulin,EDM,2.2128,4,-1.7872
2010020045,2010,0,,EDM,0.4095,0,0.4095
2010020045,2010,8473404,Niklas Backstrom,MIN,2.3194,2,0.3194
2010020046,2010,8470140,Kari Lehtonen,DAL,2.3151,1,1.3151
2010020046,2010,8458568,Chris Osgood,DET,1.0681,4,-2.9319
2010020047,2010,8462147,Miikka Kiprusoff,CGY,1.3837,3,-1.6163
2010020047,2010,8460712,Tomas Vokoun,FLA,3.1544,0,3.1544
2010020048,2010,8467950,Craig Anderson,COL,2.4302,2,0.4302
2010020048,2010,8455710,Martin Brodeur,N.J,2.3109,3,-0.6891
2010020049,2010,8468685,Henrik Lundqvist,NYR,2.8951,4,-1.1049
2010020049,2010,8462044,Jean-Sebastien Giguere,TOR,2.3063,3,-0.6937
2010020050,2010,8468481,Rick DiPietro,NYI,3.1543,3,0.1543
2010020050,2010,8462161,Brent Johnson,PIT,1.2695,2,-0.7305
2010020051,2010,8473461,Steve Mason,CBJ,2.3168,5,-2.6832
2010020051,2010,8460612,Marty Turco,CHI,1.8397,2,-0.1603
2010020052,2010,8468011,Ryan Miller,BUF,2.2916,2,0.2916
2010020052,2010,8471679,Carey Price,MTL,1.8045,1,0.8045
2010020053,2010,8473972,Jonas Hiller,ANA,4.3664,4,0.3664
2010020053,2010,8462152,Chris Mason,ATL,4.1385,4,0.1385
2010020054,2010,8471734,Jonathan Quick,L.A,1.9829,1,0.9829
2010020054,2010,8466141,Roberto Luongo,VAN,2.0296,4,-1.9704
2010020055,2010,8471679,Carey Price,MTL,1.639,3,-1.361
2010020055,2010,8470880,Brian Elliott,OTT,3.2046,4,-0.7954
2010020055,2010,8475215,Robin Lehner,OTT,0.176,0,0.176
2010020056,2010,8460703,Tim Thomas,BOS,3.3818,1,2.3818
2010020056,2010,8455710,Martin Brodeur,N.J,2.4155,4,-1.5845
2010020057,2010,8467950,Craig Anderson,COL,1.9612,4,-2.0388
2010020057,2010,0,,COL,0.4772,1,-0.5228
2010020057,2010,8460806,Dwayne Roloson,NYI,2.0873,2,0.0873
2010020058,2010,8475683,Sergei Bobrovsky,PHI,2.9855,4,-1.0145
2010020058,2010,0,,PHI,0.5564,1,-0.4436
2010020058,2010,8462161,Brent Johnson,PIT,3.4605,1,2.4605
2010020059,2010,8460712,Tomas Vokoun,FLA,2.2612,0,2.2612
2010020059,2010,8468540,Dan Ellis,T.B,1.2663,3,-1.7337
2010020059,2010,8469608,Mike Smith,T.B,2.0637,3,-0.9363
2010020060,2010,8474765,Anders Lindback,NSH,2.6533,3,-0.3467
2010020060,2010,8473607,Michal Neuvirth,WSH,3.5104,2,1.5104
2010020061,2010,8464999,Mathieu Garon,CBJ,2.3957,2,0.3957
2010020061,2010,8473404,Niklas Backstrom,MIN,1.8807,3,-1.1193
2010020062,2010,8470140,Kari Lehtonen,DAL,4.1293,2,2.1293
2010020062,2010,8469152,Ty Conklin,STL,2.4429,2,0.4429
2010020063,2010,8459579,Patrick Lalime,BUF,2.1459,4,-1.8541
2010020063,2010,8460612,Marty Turco,CHI,3.2688,3,0.2688
2010020064,2010,8468524,Ilya Bryzgalov,ARI,4.1546,2,2.1546
2010020064,2010,8470657,Jimmy Howard,DET,1.7801,1,0.7801
2010020065,2010,8462147,Miikka Kiprusoff,CGY,1.7123,3,-1.2877
2010020065,2010,8459140,Nikolai Khabibulin,EDM,4.7525,4,0.7525
2010020065,2010,0,,EDM,1.3569,1,0.3569
2010020066,2010,8462152,Chris Mason,ATL,4.8013,2,2.8013
2010020066,2010,8474550,Antti Niemi,S.J,2.2071,4,-1.7929
2010020067,2010,8473972,Jonas Hiller,ANA,2.9507,2,0.9507
2010020067,2010,8467391,Jason LaBarbera,ARI,2.5046,3,-0.4954
2010020067,2010,0,,ARI,0.4171,0,0.4171
2010020068,2010,8470320,Cam Ward,CAR,3.0296,5,-1.9704
2010020068,2010,8471239,Cory Schneider,VAN,2.0857,1,1.0857
2010020069,2010,8460806,Dwayne Roloson,NYI,3.2548,1,2.2548
2010020069,2010,8462044,Jean-Sebastien Giguere,TOR,1.6536,2,-0.3464
2010020070,2010,8467950,Craig Anderson,COL,2.7836,1,1.7836
2010020070,2010,8468685,Henrik Lundqvist,NYR,4.7435,3,1.7435
2010020071,2010,8470880,Brian Elliott,OTT,3.3203,5,-1.6797
2010020071,2010,8475215,Robin Lehner,OTT,0.6168,0,0.6168
2010020071,2010,8462161,Brent Johnson,PIT,2.1164,2,0.1164
2010020072,2010,8470140,Kari Lehtonen,DAL,3.515,5,-1.485
2010020072,2010,8469608,Mike Smith,T.B,1.3524,4,-2.6476
2010020073,2010,8460612,Marty Turco,CHI,2.3297,2,0.3297
2010020073,2010,8470860,Jaroslav Halak,STL,2.177,3,-0.823
2010020074,2010,8460703,Tim Thomas,BOS,2.7125,1,1.7125
2010020074,2010,8473607,Michal Neuvirth,WSH,0.6803,2,-1.3197
2010020074,2010,8473575,Semyon Varlamov,WSH,0.539,1,-0.461
2010020074,2010,0,,WSH,0.503,0,0.503
2010020075,2010,8462147,Miikka Kiprusoff,CGY,2.9097,0,2.9097
2010020075,2010,8471469,Pekka Rinne,NSH,2.0784,1,1.0784
2010020076,2010,8473404,Niklas Backstrom,MIN,2.7013,2,0.7013
2010020076,2010,8466141,Roberto Luongo,VAN,1.4581,6,-4.5419
2010020076,2010,8471239,Cory Schneider,VAN,0.62,0,0.62
2010020077,2010,8470320,Cam Ward,CAR,3.9661,2,1.9661
2010020077,2010,8474550,Antti Niemi,S.J,3.6979,5,-1.3021
2010020078,2010,8462152,Chris Mason,ATL,3.5291,4,-0.4709
2010020078,2010,8468011,Ryan Miller,BUF,1.4805,1,0.4805
2010020079,2010,8473972,Jonas Hiller,ANA,1.7362,2,-0.2638
2010020079,2010,0,,ANA,0.7845,1,-0.2155
2010020079,2010,8473461,Steve Mason,CBJ,1.8485,1,0.8485
2010020080,2010,8460612,Marty Turco,CHI,4.2174,1,3.2174
2010020080,2010,8466141,Roberto Luongo,VAN,3.1302,1,2.1302
2010020081,2010,8471251,Justin Peters,CAR,2.6331,4,-1.3669
2010020081,2010,8473541,Jonathan Bernier,L.A,1.9861,3,-1.0139
2010020082,2010,8460703,Tim Thomas,BOS,3.4755,1,2.4755
2010020082,2010,8473575,Semyon Varlamov,WSH,2.6456,4,-1.3544
2010020083,2010,8462047,Martin Biron,NYR,2.3287,1,1.3287
2010020083,2010,8475361,Jonas Gustavsson,TOR,2.3126,2,0.3126
2010020084,2010,8470147,Curtis McElhinney,ANA,4.0041,2,2.0041
2010020084,2010,8475683,Sergei Bobrovsky,PHI,1.6381,3,-1.3619
2010020085,2010,8462147,Miikka Kiprusoff,CGY,2.3307,4,-1.6693
2010020085,2010,8470657,Jimmy Howard,DET,3.2019,2,1.2019
2010020086,2010,8471679,Carey Price,MTL,1.0979,3,-1.9021
2010020086,2010,8455710,Martin Brodeur,N.J,1.8243,0,1.8243
2010020087,2010,8468481,Rick DiPietro,NYI,2.4787,2,0.4787
2010020087,2010,8468540,Dan Ellis,T.B,2.2079,3,-0.7921
2010020088,2010,8470140,Kari Lehtonen,DAL,2.5396,1,1.5396
2010020088,2010,8460712,Tomas Vokoun,FLA,2.0668,4,-1.9332
2010020088,2010,8466339,Scott Clemmensen,FLA,0.2902,0,0.2902
2010020089,2010,8471469,Pekka Rinne,NSH,2.5286,4,-1.4714
2010020089,2010,8470594,Marc-Andre Fleury,PIT,1.8451,3,-1.1549
2010020090,2010,8467950,Craig Anderson,COL,2.9446,3,-0.0554
2010020090,2010,0,,COL,0.5351,1,-0.4649
2010020090,2010,8467511,Antero Niittymaki,S.J,2.8027,2,0.8027
2010020091,2010,8459140,Nikolai Khabibulin,EDM,2.8732,3,-0.1268
2010020091,2010,0,,EDM,0.9293,1,-0.0707
2010020091,2010,8473404,Niklas Backstrom,MIN,2.875,2,0.875
2010020092,2010,8468524,Ilya Bryzgalov,ARI,1.9816,2,-0.0184
2010020092,2010,8471734,Jonathan Quick,L.A,2.5827,3,-0.4173
2010020092,2010,0,,L.A,0.4391,1,-0.5609
2010020093,2010,8473461,Steve Mason,CBJ,1.2052,6,-4.7948
2010020093,2010,8475431,Henrik Karlsson,CGY,2.3303,2,0.3303
2010020094,2010,8468011,Ryan Miller,BUF,2.6203,3,-0.3797
2010020094,2010,0,,BUF,0.435,1,-0.565
2010020094,2010,8470880,Brian Elliott,OTT,1.8338,2,-0.1662
2010020095,2010,8462152,Chris Mason,ATL,2.8493,3,-0.1507
2010020095,2010,8474771,Peter Mannino,ATL,1.5738,1,0.5738
2010020095,2010,0,,ATL,0.5305,1,-0.4695
2010020095,2010,8469608,Mike Smith,T.B,2.1945,2,0.1945
2010020096,2010,8460612,Marty Turco,CHI,2.5057,4,-1.4943
2010020096,2010,8470860,Jaroslav Halak,STL,2.3802,2,0.3802
2010020097,2010,8460535,Jose Theodore,MIN,3.9706,5,-1.0294
2010020097,2010,8471239,Cory Schneider,VAN,1.3283,1,0.3283
2010020098,2010,8471695,Tuukka Rask,BOS,2.9889,3,-0.0111
2010020098,2010,0,,BOS,0.4889,0,0.4889
2010020098,2010,8468685,Henrik Lundqvist,NYR,2.5875,2,0.5875
2010020099,2010,8471679,Carey Price,MTL,2.0935,0,2.0935
2010020099,2010,8470880,Brian Elliott,OTT,2.07,3,-0.93
2010020100,2010,8468011,Ryan Miller,BUF,2.8452,1,1.8452
2010020100,2010,8460704,Johan Hedberg,N.J,1.0728,4,-2.9272
2010020100,2010,8455710,Martin Brodeur,N.J,1.4753,2,-0.5247
2010020101,2010,8462052,Brian Boucher,PHI,1.7881,2,-0.2119
2010020101,2010,8462044,Jean-Sebastien Giguere,TOR,3.8437,5,-1.1563
2010020102,2010,8462152,Chris Mason,ATL,3.4907,4,-0.5093
2010020102,2010,8473607,Michal Neuvirth,WSH,4.3556,3,1.3556
2010020103,2010,8460712,Tomas Vokoun,FLA,3.0179,3,0.0179
2010020103,2010,8468481,Rick DiPietro,NYI,2.5442,4,-1.4558
2010020104,2010,8470147,Curtis McElhinney,ANA,4.6384,5,-0.3616
2010020104,2010,8470657,Jimmy Howard,DET,1.4393,4,-2.5607
2010020105,2010,8462161,Brent Johnson,PIT,2.4283,1,1.4283
2010020105,2010,8470860,Jaroslav Halak,STL,1.8813,0,1.8813
2010020106,2010,8470140,Kari Lehtonen,DAL,1.6546,1,0.6546
