gid,season,status,rows,shift_rows,goal_rows,players_home,players_away,soft_qa,reasons
2024021235,20242025,ok,722,719,3,19,19,,
2024021236,20242025,ok,731,726,5,19,19,,
2024021237,20242025,ok,769,765,4,19,19,,
2024021238,20242025,ok,729,720,9,20,19,,
2024021239,20242025,ok,766,759,7,19,19,,
2024021240,20242025,ok,720,715,5,19,19,,
2024021241,20242025,ok,817,804,13,19,20,,
2024021242,20242025,ok,766,755,11,19,19,,
2024021243,20242025,ok,744,736,8,19,20,,
2024021244,20242025,ok,824,819,5,19,19,,
2024021245,20242025,ok,835,828,7,19,19,,
2024021246,20242025,ok,769,756,13,19,19,,
2024021247,20242025,ok,776,761,15,19,19,,
2024021248,20242025,ok,826,819,7,18,19,,
2024021249,20242025,ok,808,801,7,19,19,,
2024021250,20242025,ok,754,747,7,19,19,,
2024021251,20242025,ok,782,777,5,19,19,,
2024021252,20242025,ok,810,801,9,19,19,,
2024021253,20242025,ok,715,710,5,19,19,,
2024021254,20242025,ok,793,782,11,20,19,,
2024021255,20242025,ok,776,772,4,19,19,,
2024021256,20242025,ok,793,788,5,19,19,,
2024021257,20242025,ok,849,842,7,19,19,,
2024021258,20242025,ok,739,736,3,19,19,,
2024021259,20242025,ok,726,719,7,19,19,,
2024021260,20242025,ok,802,795,7,19,19,,
2024021261,20242025,ok,773,766,7,19,19,,
2024021262,20242025,ok,708,702,6,19,19,,
2024021263,20242025,ok,678,672,6,19,19,,
2024021264,20242025,ok,776,770,6,19,20,,
2024021265,20242025,ok,772,765,7,19,19,,
2024021266,20242025,ok,799,789,10,19,19,,
2024021267,20242025,ok,732,723,9,19,19,,
2024021268,20242025,ok,802,797,5,19,19,,
2024021269,20242025,ok,715,714,1,18,19,,
2024021270,20242025,ok,729,722,7,19,19,,
2024021271,20242025,ok,791,780,11,19,19,,
2024021272,20242025,ok,761,753,8,19,19,,
2024021273,20242025,ok,701,696,5,19,19,,
2024021274,20242025,ok,790,782,8,19,19,,
2024021275,20242025,ok,801,790,11,19,19,,
