nhl_game_id,team,is_home,pp_xgf,pp_shots
2010020001,MTL,0,0.0619,6
2010020001,TOR,1,0.2253,4
2010020002,PHI,0,0.9099,4
2010020002,PIT,1,1.0197,9
2010020003,CAR,0,0.7444,3
2010020003,MIN,1,1.1039,10
2010020004,CHI,0,1.1313,15
2010020004,COL,1,0.8904,6
2010020005,CGY,0,0.1167,12
2010020005,EDM,1,1.1719,14
2010020006,CBJ,1,1.725,19
2010020006,SJS,0,1.0131,27
2010020007,DAL,0,0.011,2
2010020007,NJD,1,0.0233,1
2010020008,CAR,1,0.834,8
2010020008,MIN,0,2.2153,14
2010020009,ANA,0,0.0172,1
2010020009,DET,1,2.0175,17
2010020010,BUF,0,0.9219,15
2010020010,OTT,1,0.6417,10
2010020011,WPG,1,0.2072,4
2010020011,WSH,0,0.0687,7
2010020012,ARI,0,0.7196,6
2010020012,BOS,1,1.1006,8
2010020013,BUF,1,0.232,4
2010020013,NYR,0,0.01,1
2010020014,OTT,0,0.0236,2
2010020014,TOR,1,1.447,18
2010020015,DAL,0,1.9004,15
2010020015,NYI,1,2.3268,23
2010020016,MTL,0,0.0993,10
2010020016,PIT,1,0.7354,9
2010020017,NJD,0,0.0624,9
2010020017,WSH,1,1.0346,7
2010020018,TBL,1,0.8444,7
2010020018,WPG,0,1.568,12
2010020019,PHI,0,1.6649,6
2010020019,STL,1,0.8766,10
2010020020,ANA,0,0.5963,11
2010020020,NSH,1,1.2058,20
2010020021,CHI,1,0.3747,5
2010020021,DET,0,0.7035,6
2010020022,CBJ,0,0.4892,7
2010020022,SJS,1,1.3893,22
2010020023,LAK,0,1.049,20
2010020023,VAN,1,0.6483,8
2010020024,ARI,1,0.1394,2
2010020024,BOS,0,0.123,14
2010020025,CGY,1,0.4247,4
2010020025,LAK,0,0.0079,2
2010020026,EDM,1,0.0715,1
2010020026,FLA,0,1.0356,7
2010020027,NJD,1,0.7072,7
2010020027,PIT,0,0.6992,9
2010020028,NYI,1,1.0691,9
2010020028,NYR,0,1.2687,9
2010020029,ANA,0,0.2922,6
2010020029,STL,1,2.5641,30
2010020030,BUF,1,0.9432,8
2010020030,CHI,0,0.5808,7
2010020031,COL,0,0.0228,2
2010020031,PHI,1,0.8249,9
2010020032,OTT,0,0.0775,10
2010020032,WSH,1,1.1242,13
2010020033,FLA,0,0.0896,9
2010020034,COL,0,0.0844,9
2010020034,DET,1,0.1203,1
2010020035,LAK,1,0.2437,3
2010020035,WPG,0,0.0487,5
2010020036,BUF,1,0.2577,4
2010020036,NJD,0,0.1277,8
2010020037,NYI,0,0.0141,3
2010020037,WSH,1,0.5065,8
2010020038,MTL,1,0.132,1
2010020038,TBL,0,0.5262,7
2010020039,PIT,1,0.3472,3
2010020039,TOR,0,0.6089,2
2010020040,CHI,1,0.1641,3
2010020040,NSH,0,0.8775,3
2010020041,ANA,1,0.8227,6
2010020041,VAN,0,1.1606,4
2010020042,PHI,1,0.8076,5
2010020042,TBL,0,0.1009,11
2010020043,CAR,0,0.6571,4
2010020043,OTT,1,0.3341,5
2010020044,NSH,1,0.8928,6
2010020044,STL,0,1.9015,7
2010020045,EDM,0,0.528,11
2010020045,MIN,1,1.1443,11
2010020046,DAL,1,0.196,6
2010020046,DET,0,0.5564,13
2010020047,CGY,1,0.7827,6
2010020047,FLA,0,0.0361,6
2010020048,COL,0,0.5722,6
2010020048,NJD,1,1.036,14
2010020049,NYR,1,0.8788,11
2010020049,TOR,0,0.7361,10
2010020050,NYI,0,0.2467,9
2010020050,PIT,1,1.3824,15
2010020051,CBJ,1,0.5099,8
2010020051,CHI,0,0.0644,5
2010020052,MTL,0,0.6993,16
2010020053,ANA,1,2.2419,23
2010020053,WPG,0,2.0888,6
2010020054,LAK,1,0.0725,1
2010020054,VAN,0,0.1023,9
2010020055,MTL,1,1.4515,16
2010020055,OTT,0,0.5859,5
2010020056,BOS,0,0.036,5
2010020056,NJD,1,0.5266,9
2010020057,COL,0,0.0523,6
2010020057,NYI,1,0.6972,7
2010020058,PHI,1,1.677,14
2010020058,PIT,0,1.8828,17
2010020059,FLA,1,0.5628,7
2010020059,TBL,0,0.0564,4
2010020060,NSH,1,1.5394,13
2010020060,WSH,0,1.2939,10
2010020061,CBJ,0,0.0414,5
2010020061,MIN,1,0.6031,7
2010020062,DAL,1,0.3567,5
2010020062,STL,0,1.2849,12
2010020063,BUF,0,1.0348,18
2010020063,CHI,1,0.576,6
2010020064,ARI,1,0.3472,6
2010020064,DET,0,2.9046,21
2010020065,CGY,1,1.1247,11
2010020065,EDM,0,0.0178,2
2010020066,SJS,1,1.8992,13
2010020066,WPG,0,0.531,3
2010020067,ANA,1,0.278,3
2010020067,ARI,0,0.01,1
2010020068,CAR,0,0.0882,11
2010020068,VAN,1,0.4906,7
2010020069,NYI,0,0.5217,2
2010020069,TOR,1,0.3625,6
2010020070,COL,0,1.2499,5
2010020070,NYR,1,1.3125,14
2010020071,OTT,0,0.5162,4
2010020071,PIT,1,2.1263,13
2010020072,DAL,0,0.0346,5
2010020072,TBL,1,1.1383,12
2010020073,CHI,1,0.6711,8
2010020073,STL,0,0.0128,3
2010020074,BOS,0,0.0221,3
2010020074,WSH,1,0.1824,3
2010020075,CGY,0,0.017,3
2010020075,NSH,1,0.9457,13
2010020076,MIN,1,0.4934,5
2010020076,VAN,0,1.2658,8
2010020077,CAR,0,0.0387,4
2010020077,SJS,1,0.676,10
2010020078,BUF,0,1.1686,12
2010020078,WPG,1,0.3047,6
2010020079,ANA,0,0.479,8
2010020079,CBJ,1,0.0476,1
2010020080,CHI,1,0.421,3
2010020080,VAN,0,1.3069,7
2010020081,CAR,0,0.0636,8
2010020081,LAK,1,0.5867,7
2010020082,BOS,1,0.805,8
2010020082,WSH,0,0.1178,8
2010020083,NYR,0,0.0193,3
2010020083,TOR,1,0.8451,9
2010020084,ANA,0,0.0342,5
2010020084,PHI,1,0.6309,7
2010020085,CGY,0,1.4544,16
2010020085,DET,1,0.6894,8
2010020086,MTL,1,0.8459,9
2010020086,NJD,0,0.0307,5
2010020087,NYI,0,0.6222,9
2010020087,TBL,1,0.6098,7
2010020088,DAL,0,0.0558,6
2010020088,FLA,1,0.5313,8
2010020089,NSH,1,0.3545,4
2010020089,PIT,0,0.1802,16
2010020090,COL,1,1.1537,6
2010020090,SJS,0,1.5249,10
2010020091,EDM,1,1.0797,12
2010020091,MIN,0,1.0375,2
2010020092,ARI,1,0.3755,6
2010020092,LAK,0,0.0404,4
2010020093,CBJ,1,0.6672,6
2010020093,CGY,0,0.0919,13
2010020094,BUF,1,0.2565,4
2010020094,OTT,0,0.7411,9
2010020095,TBL,0,2.6261,14
2010020095,WPG,1,0.6495,12
2010020096,CHI,0,0.8461,3
2010020096,STL,1,0.7179,6
2010020097,MIN,0,0.0893,6
2010020097,VAN,1,0.7259,10
2010020098,BOS,1,0.6384,9
2010020098,NYR,0,1.1637,13
2010020099,MTL,0,0.0581,8
2010020099,OTT,1,0.4705,7
2010020100,BUF,0,0.5504,8
2010020100,NJD,1,0.0884,2
2010020101,PHI,1,1.8839,21
2010020101,TOR,0,0.0752,7
2010020102,WPG,0,2.1764,15
2010020102,WSH,1,1.1274,11
2010020103,FLA,1,0.3498,7
2010020103,NYI,0,1.5824,10
2010020104,ANA,0,0.0047,1
2010020104,DET,1,0.5689,9
2010020105,PIT,0,0.1223,12
2010020105,STL,1,0.7091,8
2010020106,DAL,1,0.5145,8
2010020106,NSH,0,0.0036,1
2010020107,CBJ,0,0.5172,18
2010020107,CHI,1,0.7206,6
2010020108,COL,1,1.0119,13
2010020108,LAK,0,1.4538,8
2010020109,ARI,1,0.1141,1
2010020109,CAR,0,0.9405,7
2010020110,EDM,1,0.6418,9
2010020110,SJS,0,1.8809,9
2010020111,NSH,0,0.4329,2
2010020111,TBL,1,0.3397,7
2010020112,NJD,0,0.0809,9
2010020112,NYR,1,1.2024,14
2010020113,CGY,1,0.8528,13
2010020113,SJS,0,0.0916,8
