nhl_game_id,season,team,is_home,xgf,xga,shots_for,shots_against,gf,ga
2010020001,2010,MTL,0,3.1347,1.4694,43,33,2,3
2010020001,2010,TOR,1,1.4694,3.1347,33,43,3,2
2010020002,2010,PHI,0,3.39,3.1725,37,49,3,2
2010020002,2010,PIT,1,3.1725,3.39,49,37,2,3
2010020003,2010,CAR,0,3.7726,2.6439,40,37,4,3
2010020003,2010,MIN,1,2.6439,3.7726,37,40,3,4
2010020004,2010,CHI,0,3.2221,3.1921,46,48,3,4
2010020004,2010,COL,1,3.1921,3.2221,48,46,4,3
2010020005,2010,CGY,0,2.8573,4.0246,59,44,0,4
2010020005,2010,EDM,1,4.0246,2.8573,44,59,4,0
2010020006,2010,CBJ,1,3.3266,1.7515,44,41,2,3
2010020006,2010,S.J,0,1.7515,3.3266,41,44,3,2
2010020007,2010,DAL,0,2.4255,2.3978,40,36,4,3
2010020007,2010,N.J,1,2.3978,2.4255,36,40,3,4
2010020008,2010,CAR,1,2.5074,5.0216,43,58,1,1
2010020008,2010,MIN,0,5.0216,2.5074,58,43,1,1
2010020009,2010,ANA,0,2.6683,3.807,35,54,0,4
2010020009,2010,DET,1,3.807,2.6683,54,35,4,0
2010020010,2010,BUF,0,2.8914,2.0655,44,40,2,1
2010020010,2010,OTT,1,2.0655,2.8914,40,44,1,2
2010020011,2010,ATL,1,1.8506,2.1181,33,44,3,2
2010020011,2010,WSH,0,2.1181,1.8506,44,33,2,3
2010020012,2010,ARI,0,4.2758,3.9663,46,60,5,2
2010020012,2010,BOS,1,3.9663,4.2758,60,46,2,5
2010020013,2010,BUF,1,2.4008,4.4479,48,40,3,6
2010020013,2010,NYR,0,4.4479,2.4008,40,48,6,3
2010020014,2010,OTT,0,1.1967,2.8877,27,50,1,5
2010020014,2010,TOR,1,2.8877,1.1967,50,27,5,1
2010020015,2010,DAL,0,2.7496,5.0339,33,69,4,4
2010020015,2010,NYI,1,5.0339,2.7496,69,33,4,4
2010020016,2010,MTL,0,1.9103,2.5944,38,50,3,2
2010020016,2010,PIT,1,2.5944,1.9103,50,38,2,3
2010020017,2010,N.J,0,2.2024,2.8294,43,41,2,6
2010020017,2010,WSH,1,2.8294,2.2024,41,43,6,2
2010020018,2010,ATL,0,3.0879,2.9889,51,44,3,5
2010020018,2010,T.B,1,2.9889,3.0879,44,51,5,3
2010020019,2010,PHI,0,3.9956,2.7125,44,44,1,2
2010020019,2010,STL,1,2.7125,3.9956,44,44,2,1
2010020020,2010,ANA,0,1.8726,4.0185,43,63,1,4
2010020020,2010,NSH,1,4.0185,1.8726,63,43,4,1
2010020021,2010,CHI,1,1.8929,2.0237,40,34,2,3
2010020021,2010,DET,0,2.0237,1.8929,34,40,3,2
2010020022,2010,CBJ,0,1.512,2.5945,34,49,3,2
2010020022,2010,S.J,1,2.5945,1.512,49,34,2,3
2010020023,2010,L.A,0,2.2619,1.9453,42,31,1,1
2010020023,2010,VAN,1,1.9453,2.2619,31,42,1,1
2010020024,2010,ARI,1,2.6977,2.4984,44,54,0,3
2010020024,2010,BOS,0,2.4984,2.6977,54,44,3,0
2010020025,2010,CGY,1,2.8105,1.0685,38,31,3,1
2010020025,2010,L.A,0,1.0685,2.8105,31,38,1,3
2010020026,2010,EDM,1,2.7253,3.9372,23,51,3,2
2010020026,2010,FLA,0,3.9372,2.7253,51,23,2,3
2010020027,2010,N.J,1,2.1027,2.9174,36,42,1,3
2010020027,2010,PIT,0,2.9174,2.1027,42,36,3,1
2010020028,2010,NYI,1,3.9528,3.0223,37,44,6,4
2010020028,2010,NYR,0,3.0223,3.9528,44,37,4,6
2010020029,2010,ANA,0,0.8192,5.2489,19,67,1,5
2010020029,2010,STL,1,5.2489,0.8192,67,19,5,1
2010020030,2010,BUF,1,3.7773,2.614,49,39,3,4
2010020030,2010,CHI,0,2.614,3.7773,39,49,4,3
2010020031,2010,COL,0,1.76,3.7617,34,49,2,4
2010020031,2010,PHI,1,3.7617,1.76,49,34,4,2
2010020032,2010,OTT,0,2.657,2.5381,44,39,2,3
