date,away,home,away_open,home_open,away_close,home_close,home_win
2010-10-07,CHI,COL,1.8333,2.0,1.7407,2.15,1
2010-10-07,CGY,EDM,1.9615,1.8621,1.9091,1.9091,1
2010-10-07,CAR,MIN,1.9524,1.8696,2.0,1.8333,0
2010-10-07,PHI,PIT,2.47,1.5988,2.5,1.5882,0
2010-10-07,MTL,TOR,2.1,1.7692,2.35,1.6452,1
2010-10-08,WSH,ATL,1.6173,2.42,1.5882,2.5,1
2010-10-08,MIN,CAR,1.9524,1.8696,1.8,2.05,1
2010-10-08,ANA,DET,2.73,1.5181,2.7,1.5,1
2010-10-08,DAL,NJD,2.73,1.5181,2.65,1.5405,0
2010-10-08,BUF,OTT,2.15,1.7407,2.05,1.8,0
2010-10-08,CBJ,SJS,2.65,1.5405,2.7,1.5,1
2010-10-09,PHX,BOS,2.07,1.7874,2.05,1.8,0
2010-10-09,NYR,BUF,2.19,1.7194,2.25,1.6897,0
2010-10-09,SJS,CBJ,1.6173,2.42,1.625,2.4,1
2010-10-09,DET,CHI,2.31,1.6623,2.2,1.7143,0
2010-10-09,ANA,NSH,2.21,1.7092,2.35,1.6452,1
2010-10-09,DAL,NYI,1.9346,1.885,1.9091,1.9091,0
2010-10-09,MTL,PIT,2.9,1.4545,2.8,1.4762,0
2010-10-09,PHI,STL,1.9346,1.885,2.1,1.7692,1
2010-10-09,ATL,TBL,2.26,1.6849,2.2,1.7143,1
2010-10-09,OTT,TOR,2.15,1.7407,2.3,1.6667,1
2010-10-09,LAK,VAN,2.36,1.641,2.35,1.6452,0
2010-10-09,NJD,WSH,2.31,1.6623,2.35,1.6452,1
2010-10-10,LAK,CGY,1.9901,1.8403,1.9524,1.8696,1
2010-10-10,FLA,EDM,2.29,1.6711,2.3,1.6667,1
2010-10-10,BOS,PHX,1.9174,1.9009,1.8333,2.0,0
2010-10-11,CHI,BUF,2.05,1.8,2.05,1.8,0
2010-10-11,PIT,NJD,2.25,1.6897,2.05,1.8,0
2010-10-11,NYR,NYI,1.6452,2.35,1.6897,2.25,1
2010-10-11,COL,PHI,2.35,1.6452,2.45,1.6061,1
2010-10-11,ANA,STL,2.4,1.625,2.7,1.5263,1
2010-10-11,FLA,VAN,3.0,1.4167,3.1,1.3846,1
2010-10-11,OTT,WSH,2.8,1.4762,3.0,1.4167,1
2010-10-12,COL,DET,2.79,1.4785,3.0,1.4167,0
2010-10-12,ATL,LAK,2.73,1.5181,2.6,1.5556,1
2010-10-13,VAN,ANA,1.8,2.05,1.625,2.4,1
2010-10-13,NJD,BUF,2.2,1.7143,2.2,1.7143,0
2010-10-13,NSH,CHI,2.73,1.5181,2.55,1.5714,0
2010-10-13,TBL,MTL,2.05,1.8,2.0,1.8333,0
2010-10-13,TOR,PIT,2.55,1.5714,2.45,1.6061,0
2010-10-13,NYI,WSH,3.22,1.3676,3.55,1.3077,1
2010-10-14,FLA,CGY,2.36,1.641,2.25,1.6897,0
2010-10-14,DET,DAL,1.7692,2.1,1.8333,2.0,1
2010-10-14,EDM,MIN,2.1,1.7692,2.4,1.625,1
2010-10-14,STL,NSH,1.9524,1.8696,1.9091,1.9091,1
2010-10-14,CAR,OTT,2.25,1.6897,2.15,1.7407,1
2010-10-14,TBL,PHI,2.46,1.6024,2.7,1.5,0
2010-10-15,ATL,ANA,2.2,1.7143,2.1,1.7692,0
2010-10-15,MTL,BUF,2.28,1.6757,2.3,1.6667,0
2010-10-15,CHI,CBJ,2.0,1.8333,1.9091,1.9091,0
2010-10-15,VAN,LAK,1.9524,1.8696,1.9091,1.9091,1
2010-10-15,COL,NJD,2.36,1.641,2.25,1.6897,0
2010-10-15,TOR,NYR,2.15,1.7407,2.2,1.7143,0
2010-10-15,NYI,PIT,2.9,1.4545,2.95,1.4255,1
2010-10-16,EDM,CGY,2.15,1.7407,2.2,1.7143,1
2010-10-16,BUF,CHI,2.34,1.6494,2.6,1.5556,1
2010-10-16,STL,DAL,2.05,1.8,1.9524,1.8696,1
2010-10-16,TBL,FLA,1.9615,1.8621,2.0,1.8333,1
