date,home,away,home_name,away_name,status,hs,as,ml_h,ml_a,spread_h,spread_h_price,total,over_price,under_price,votes_h,votes_a,over_votes,under_votes,roof,stadium,rec_h,rec_a
2023-03-30,NYY,SF,New York Yankees,San Francisco Giants,Complete,5,0,-170,155,-1.5,130,6.5,-120,100,95,22,99,31,Open,Yankee Stadium,0-0,0-0
2023-03-30,WSH,ATL,Washington Nationals,Atlanta Braves,Complete,2,7,210,-260,1.5,120,7.5,-105,-115,3,114,77,25,Open,Nationals Park,0-0,0-0
2023-03-30,BOS,BAL,Boston Red Sox,Baltimore Orioles,Complete,9,10,-125,105,-1.5,160,8.5,-120,100,55,45,86,15,Open,Fenway Park,0-0,0-0
2023-03-30,CHC,MIL,Chicago Cubs,Milwaukee Brewers,Complete,4,0,120,-130,1.5,-150,6.5,-120,100,39,71,44,57,Open,Wrigley Field,0-0,0-0
2023-03-30,TB,DET,Tampa Bay Rays,Detroit Tigers,Complete,4,0,-240,195,-1.5,-105,6.5,-120,100,117,8,82,18,Indoor,Tropicana Field,0-0,0-0
2023-03-30,TEX,PHI,Texas Rangers,Philadelphia Phillies,Complete,11,7,-140,125,-1.5,170,6.5,-120,100,73,29,82,30,,Globe Life Field,0-0,0-0
2023-03-30,CIN,PIT,Cincinnati Reds,Pittsburgh Pirates,Complete,4,5,-135,125,-1.5,150,8,-120,100,63,41,70,41,Open,Great American Ball Park,0-0,0-0
2023-03-30,KC,MIN,Kansas City Royals,Minnesota Twins,Complete,0,2,139,-154,1.5,-125,9,-110,-110,28,77,90,17,Open,Ewing M. Kauffman Stadium,0-0,0-0
2023-03-30,MIA,NYM,Miami Marlins,New York Mets,Complete,3,5,113,-135,1.5,-165,7,-110,-110,25,81,59,94,Retractable,loanDepot park,0-0,0-0
2023-03-30,STL,TOR,St. Louis Cardinals,Toronto Blue Jays,Complete,9,10,-110,-110,1.5,-175,7.5,-115,-105,9,102,89,22,Open,Busch Stadium,0-0,0-0
2023-03-30,HOU,CHW,Houston Astros,Chicago White Sox,Complete,2,3,-139,129,-1.5,150,7.5,-105,-115,86,16,84,34,Retractable,Daikin Park,0-0,0-0
2023-03-30,SD,COL,San Diego Padres,Colorado Rockies,Complete,2,7,-220,180,-1.5,100,7,-120,100,109,5,103,8,Open,Petco Park,0-0,0-0
2023-03-30,OAK,LAA,Oakland Athletics,Los Angeles Angels,Complete,2,1,175,-205,1.5,100,7,-120,100,5,111,75,28,Open,Oakland-Alameda County Coliseum,0-0,0-0
2023-03-30,LA,ARI,Los Angeles Dodgers,Arizona Diamondbacks,Complete,8,2,-165,145,-1.5,135,7,-125,105,103,13,62,63,Open,Dodger Stadium,0-0,0-0
2023-03-30,SEA,CLE,Seattle Mariners,Cleveland Guardians,Complete,3,0,-120,100,-1.5,185,6.5,-115,-105,63,38,74,35,Retractable,T-Mobile Park,0-0,0-0
2023-03-31,MIA,NYM,Miami Marlins,New York Mets,Complete,2,1,-105,-105,1.5,-165,8,-105,-115,26,77,81,22,Retractable,loanDepot park,0-1,1-0
2023-03-31,HOU,CHW,Houston Astros,Chicago White Sox,Complete,6,3,-158,143,-1.5,135,8,100,-120,80,24,34,68,Retractable,Daikin Park,0-1,1-0
2023-03-31,SD,COL,San Diego Padres,Colorado Rockies,Complete,1,4,-200,170,-1.5,100,8,-105,-115,90,13,88,17,Open,Petco Park,0-1,1-0
2023-03-31,LA,ARI,Los Angeles Dodgers,Arizona Diamondbacks,Complete,1,2,-190,170,-1.5,105,7.5,-115,-105,89,14,83,19,Open,Dodger Stadium,1-0,0-1
2023-03-31,SEA,CLE,Seattle Mariners,Cleveland Guardians,Complete,4,9,-167,140,-1.5,130,7.5,-120,100,91,13,69,34,Retractable,T-Mobile Park,1-0,0-1
2023-04-01,HOU,CHW,Houston Astros,Chicago White Sox,Complete,6,4,-134,124,-1.5,145,8.5,-115,-105,73,27,43,57,Retractable,Daikin Park,1-1,1-1
2023-04-01,STL,TOR,St. Louis Cardinals,Toronto Blue Jays,Complete,4,1,117,-127,1.5,-150,8,-105,-115,15,86,85,16,Open,Busch Stadium,0-1,1-0
