player_name,team_abbr,position,overall,espn_id,rating_source,rating_year
Jayson Tatum,bos,SF,96,,2k,2026
Jaylen Brown,bos,SG,89,,2k,2026
Derrick White,bos,PG,86,,2k,2026
Jrue Holiday,bos,PG,84,,2k,2026
Kristaps Porzingis,bos,C,85,,2k,2026
Al Horford,bos,C,78,,2k,2026
Payton Pritchard,bos,PG,79,,2k,2026
Sam Hauser,bos,SF,75,,2k,2026
Neemias Queta,bos,C,74,,2k,2026
Jordan Walsh,bos,SF,72,,2k,2026
Luke Kornet,bos,C,73,,2k,2026
Xavier Tillman,bos,PF,74,,2k,2026
LeBron James,lal,SF,95,,2k,2026
Anthony Davis,lal,PF,94,,2k,2026
Austin Reaves,lal,SG,83,,2k,2026
D'Angelo Russell,lal,PG,80,,2k,2026
Rui Hachimura,lal,PF,78,,2k,2026
Gabe Vincent,lal,PG,76,,2k,2026
Nikola Jokic,den,C,98,,2k,2026
Jamal Murray,den,PG,86,,2k,2026
Michael Porter Jr.,den,SF,84,,2k,2026
Aaron Gordon,den,PF,82,,2k,2026
Christian Braun,den,SG,79,,2k,2026
