player_name,team_abbr,position,overall,espn_id,rating_source,rating_year
Rhyne Howard,atl,G,88,,2k,2026
Allisha Gray,atl,G,87,,2k,2026
Natasha Howard,atl,F,84,,2k,2026
Brionna Jones,atl,C,82,,2k,2026
Nia Coffey,atl,F,78,,2k,2026
Haley Jones,atl,G,77,,2k,2026
Aerial Powers,atl,G,76,,2k,2026
Chelsea Gray,atl,G,85,,2k,2026
Alyssa Thomas,conn,F,93,,2k,2026
Breanna Stewart,ny,F,96,,2k,2026
Sabrina Ionescu,ny,G,90,,2k,2026
A'ja Wilson,lv,C,97,,2k,2026
Kelsey Plum,lv,G,88,,2k,2026
Jackie Young,lv,G,86,,2k,2026
Caitlin Clark,ind,G,85,,2k,2026
Aliyah Boston,ind,C,87,,2k,2026
