player_name,team_abbr,position,overall,espn_id,rating_source,rating_year
Abde Rebbach,ala,F,68.6,345991,fc,2026
Aitor Mañas,ala,F,67.3,379231,fc,2026
Ander Guevara,ala,M,72.8,260256,fc,2026
Antonio Blanco,ala,M,72.1,265997,fc,2026
Antonio Sivera,ala,G,87.9,200910,fc,2026
Calebe,ala,M,71.5,304469,fc,2026
Carles Aleñá,ala,M,74.7,233802,fc,2026
Carlos Ballestero,ala,D,80.3,376070,fc,2026
Carlos Protesoni,ala,M,74.1,253754,fc,2026
Denis Suárez,ala,M,75.4,163068,fc,2026
Diego Morcillo,ala,F,67.9,354409,fc,2026
Egoitz Muñoz,ala,D,79.6,378408,fc,2026
Facundo Garcés,ala,D,84.2,255931,fc,2026
Grégoire Swiderski,ala,G,87.3,346534,fc,2026
Ibrahim Diabate,ala,F,69.2,308726,fc,2026
Izei Hernandez,ala,F,66.6,415206,fc,2026
Jon Guridi,ala,M,73.4,254320,fc,2026
Jon Pacheco,ala,D,82.9,297359,fc,2026
Jonny,ala,D,84.8,176312,fc,2026
Lander Pinillos,ala,M,70.8,403705,fc,2026
Lucas Boyé,ala,F,69.9,207236,fc,2026
Mariano,ala,F,70.5,198832,fc,2026
Nahuel Tenaglia,ala,D,83.5,262491,fc,2026
Pablo Ibáñez,ala,M,76.0,106326,fc,2026
Paco Sanz,ala,D,81.6,373789,fc,2026
Raúl Fernández,ala,G,88.6,113097,fc,2026
Rúben Montero,ala,G,86.6,373796,fc,2026
Toni Martínez,ala,F,71.2,181757,fc,2026
Victor Parada,ala,D,82.2,354373,fc,2026
Ville Koski,ala,D,85.5,149306,fc,2026
Xanet Oláiz,ala,D,77.7,415276,fc,2026
Youssef Lekhedim,ala,D,79.0,382532,fc,2026
Álvaro García,ala,D,81.6,384145,fc,2026
Ángel Pérez,ala,D,80.9,374621,fc,2026
Carlens Arcus,ang,D,71.0,218703,fc,2026
Emmanuel Biumla,ang,M,70.0,356211,fc,2026
Haris Belkebla,ang,M,74.0,206993,fc,2026
Jacques Ekomie,ang,D,68.0,333218,fc,2026
Jordan Lefort,ang,D,73.0,191712,fc,2026
Lanroy Machine,ang,F,61.0,403320,fc,2026
Lilian Raolisoa,ang,D,70.0,357154,fc,2026
Louis Mouton,ang,M,70.0,333845,fc,2026
Marius Courcoul,ang,D,65.0,364683,fc,2026
Melvin Zinga,ang,G,65.0,297161,fc,2026
Oumar Pona,ang,G,57.0,378976,fc,2026
Ousmane Camara,ang,D,67.0,412232,fc,2026
Prosper Peter,ang,F,58.0,403232,fc,2026
Yassin Belkhdim,ang,M,70.0,338006,fc,2026
Ben White,ars,D,83.0,241077,fc,2026
Bukayo Saka,ars,F,87.0,280555,fc,2026
Christian Nørgaard,ars,M,80.0,178077,fc,2026
David Raya,ars,G,87.0,196176,fc,2026
Declan Rice,ars,M,87.0,238262,fc,2026
Eberechi Eze,ars,M,83.0,251400,fc,2026
Gabriel Jesus,ars,F,80.0,217289,fc,2026
Gabriel Martinelli,ars,F,81.0,269844,fc,2026
Jurriën Timber,ars,D,82.0,282716,fc,2026
Kai Havertz,ars,F,82.0,231182,fc,2026
Leandro Trossard,ars,F,83.0,174980,fc,2026
Martin Odegaard,ars,CM,87,,fc,2026
Martin Ødegaard,ars,M,87.0,203669,fc,2026
Mikel Merino,ars,M,83.0,209581,fc,2026
Myles Lewis-Skelly,ars,D,78.0,352758,fc,2026
Noni Madueke,ars,F,80.0,293236,fc,2026
Piero Hincapié,ars,D,83.0,292062,fc,2026
Riccardo Calafiori,ars,D,78.0,298329,fc,2026
Viktor Gyökeres,ars,F,87.0,258906,fc,2026
William Saliba,ars,D,86.0,277385,fc,2026
Berat Djimsiti,ata,D,79.0,165291,fc,2026
Charles De Ketelaere,ata,F,82.0,296319,fc,2026
Davide Zappacosta,ata,D,79.0,182627,fc,2026
Francesco Rossi,ata,G,62.0,89216,fc,2026
Giacomo Raspadori,ata,F,78.0,271679,fc,2026
