player_name,team_abbr,position,overall,espn_id,rating_source,rating_year
Ahmad Shekib Mehri,afg,D,82.9,423743,fc,2026
Ali Baset Nazari,afg,D,84.8,376833,fc,2026
Ali Reza Panahi,afg,M,78.6,376834,fc,2026
Ali Reza Rahimi,afg,M,78.0,376850,fc,2026
Amid Arezou,afg,D,83.5,382208,fc,2026
Elias Farhan Daftari,afg,G,86.6,423800,fc,2026
Elias Mansor,afg,M,77.3,407321,fc,2026
Habibullah Hotak,afg,F,88.1,405589,fc,2026
Keyvan Mottaghian,afg,G,87.3,384577,fc,2026
Mahboob Hanifi,afg,D,85.5,374442,fc,2026
Maziar Kouhyar,afg,M,79.9,234128,fc,2026
Mohammad Jan Mohammadi,afg,G,84.2,374451,fc,2026
Mosawer Ahadi,afg,F,75.7,374437,fc,2026
Nawid Mahbobi,afg,D,82.2,423777,fc,2026
Omid Musawi,afg,F,76.4,342235,fc,2026
Omid Popalzay,afg,M,80.6,225477,fc,2026
Reza Gholami,afg,D,84.2,376859,fc,2026
Sahil Sarwari,afg,M,76.0,423796,fc,2026
Samir Samandari,afg,M,79.3,319446,fc,2026
Yaser Safi,afg,M,76.7,423728,fc,2026
Aedan Scipio,aia,F,75.1,316885,fc,2026
Alexander Fleming,aia,M,77.3,360981,fc,2026
Antoine Fleming,aia,D,84.8,297668,fc,2026
Antonio Fleming,aia,F,73.8,404855,fc,2026
Calvin Morgan,aia,M,80.6,294989,fc,2026
Delani Francis,aia,D,85.5,370457,fc,2026
Germain Hughes,aia,M,79.9,217702,fc,2026
Jaheim Thompson,aia,M,77.3,377037,fc,2026
Jalen Smeins,aia,M,79.3,297667,fc,2026
Jared Smeins,aia,F,74.4,360979,fc,2026
Jauron Gayle,aia,F,75.7,316883,fc,2026
Javis Jones,aia,M,73.4,370408,fc,2026
Jayvon Lloyd,aia,F,75.1,385150,fc,2026
Jelanie Lawrence,aia,G,88.6,360980,fc,2026
Jordan Deans,aia,M,75.4,377036,fc,2026
Kayne Connor,aia,M,78.0,370410,fc,2026
Keante Brooks,aia,M,76.0,373335,fc,2026
Kemari Gumbs,aia,M,76.7,385152,fc,2026
Kian Duncan,aia,M,79.9,316889,fc,2026
Kieron Lake-Bryan,aia,D,84.2,374335,fc,2026
