player_name,team_abbr,position,overall,espn_id,rating_source,rating_year
Alexander Pup,afa,UN,55.0,28296,mlb_ts,2026
Ben Hauser,afa,UN,60.4,28290,mlb_ts,2026
Biancalana,afa,UN,72.7,8916,mlb_ts,2026
Booker,afa,UN,71.4,16711,mlb_ts,2026
Braydon Altorfer,afa,UN,74.0,28281,mlb_ts,2026
Christian Gambale,afa,UN,66.2,28287,mlb_ts,2026
Colby Brown,afa,UN,70.8,28284,mlb_ts,2026
Cole Blatchford,afa,UN,72.0,28283,mlb_ts,2026
D. Jones,afa,UN,56.5,16718,mlb_ts,2026
Dau,afa,UN,69.5,16712,mlb_ts,2026
Devries,afa,UN,68.8,16713,mlb_ts,2026
Draws,afa,UN,68.2,8917,mlb_ts,2026
Easley,afa,UN,67.5,16714,mlb_ts,2026
Gabriel Garcia,afa,UN,65.5,28288,mlb_ts,2026
Gerlica,afa,UN,64.9,16715,mlb_ts,2026
Gilbert,afa,UN,64.2,16716,mlb_ts,2026
Graham,afa,UN,63.0,8918,mlb_ts,2026
Groesbeck,afa,UN,62.3,8919,mlb_ts,2026
Hanlin,afa,UN,61.6,8920,mlb_ts,2026
Haslam,afa,UN,61.0,8921,mlb_ts,2026
Holloway,afa,UN,59.7,8922,mlb_ts,2026
Jacobs,afa,UN,58.4,16717,mlb_ts,2026
Jax,afa,UN,57.8,9007,mlb_ts,2026
Joe Martinez Iii,afa,UN,55.0,28294,mlb_ts,2026
John Byrnes,afa,UN,70.1,28285,mlb_ts,2026
Jonathan Imperial,afa,UN,59.0,28291,mlb_ts,2026
Jones,afa,UN,57.1,8923,mlb_ts,2026
Kelley,afa,UN,55.0,16721,mlb_ts,2026
Leaser,afa,UN,55.0,28292,mlb_ts,2026
Martinez,afa,UN,55.0,28293,mlb_ts,2026
Mize,afa,UN,55.0,8924,mlb_ts,2026
Monaghan,afa,UN,55.0,9008,mlb_ts,2026
Nichols,afa,UN,55.0,28295,mlb_ts,2026
Pierce,afa,UN,55.0,8925,mlb_ts,2026
Ready,afa,UN,55.0,16722,mlb_ts,2026
Rieker,afa,UN,55.0,8926,mlb_ts,2026
Robb,afa,UN,55.0,16723,mlb_ts,2026
Saleck,afa,UN,55.0,8927,mlb_ts,2026
Stevan Fairburn Jr.,afa,UN,66.8,28286,mlb_ts,2026
T. Jones,afa,UN,55.8,16719,mlb_ts,2026
Thomas,afa,UN,55.0,8928,mlb_ts,2026
Tommy Gillman,afa,UN,63.6,28289,mlb_ts,2026
W. Jones,afa,UN,55.1,16720,mlb_ts,2026
Wilkie,afa,UN,55.0,8929,mlb_ts,2026
Williams,afa,UN,55.0,8930,mlb_ts,2026
Wiss,afa,UN,55.0,16724,mlb_ts,2026
