player_name,team_abbr,position,overall,espn_id,rating_source,rating_year
Aaron Whitefield,aus,OF,55.0,17968,mlb_ts,2026
Adam Bright,aus,P,75.8,162,mlb_ts,2026
Alexander Wells,aus,P,55.0,17966,mlb_ts,2026
Allan De San Miguel,aus,C,73.3,1884,mlb_ts,2026
Andrew Russell,aus,P,58.8,1980,mlb_ts,2026
Brad Harman,aus,SS,70.2,275,mlb_ts,2026
Brad Thomas,aus,P,55.0,505,mlb_ts,2026
Brendan Wise,aus,P,55.0,537,mlb_ts,2026
Chris Oxspring,aus,P,61.5,417,mlb_ts,2026
Chris Snelling,aus,OF,55.2,486,mlb_ts,2026
Clayton Tanner,aus,P,55.0,1998,mlb_ts,2026
Corey Adamson,aus,OF,78.0,1860,mlb_ts,2026
Daniel McGrath,aus,P,64.0,18246,mlb_ts,2026
David Kandilas,aus,OF,67.0,1912,mlb_ts,2026
Dushan Ruzic,aus,P,58.2,1981,mlb_ts,2026
James Beresford,aus,2B,76.0,711,mlb_ts,2026
Jon Kennedy,aus,P,67.3,17959,mlb_ts,2026
Josh Davies,aus,3B,73.5,1882,mlb_ts,2026
Josh Guyer,aus,P,71.8,17957,mlb_ts,2026
Josh Tols,aus,P,55.0,17963,mlb_ts,2026
Joshua Roberts,aus,OF,59.1,1976,mlb_ts,2026
Justin Erasmus,aus,P,72.5,244,mlb_ts,2026
Justin Huber,aus,1B,68.2,287,mlb_ts,2026
Lachlan Wells,aus,P,55.0,17967,mlb_ts,2026
Liam Hendriks,aus,P,70.5,714,mlb_ts,2026
Logan Wade,aus,SS,55.0,17965,mlb_ts,2026
Luke Hughes,aus,2B,67.6,288,mlb_ts,2026
Matt Kennelly,aus,C,66.2,1915,mlb_ts,2026
Matthew Williams,aus,P,55.0,2011,mlb_ts,2026
Mike Walker,aus,3B,55.0,2005,mlb_ts,2026
Mitchell Dening,aus,OF,72.2,713,mlb_ts,2026
Mitchell Nilsson,aus,2B,61.8,17960,mlb_ts,2026
Peter Moylan,aus,P,63.4,18247,mlb_ts,2026
Robbie Perkins,aus,C,60.3,17961,mlb_ts,2026
Ryan Rowland-Smith,aus,P,59.5,1979,mlb_ts,2026
Ryan Searle,aus,P,56.9,718,mlb_ts,2026
Sam Street,aus,P,55.6,17962,mlb_ts,2026
Samuel Holland,aus,P,69.9,17958,mlb_ts,2026
Shane Lindsay,aus,P,64.7,1934,mlb_ts,2026
Stefan Welch,aus,3B,55.0,720,mlb_ts,2026
Steven Kent,aus,P,65.3,1917,mlb_ts,2026
Tim Atherton,aus,P,78.3,17955,mlb_ts,2026
Tim Kennelly,aus,3B,65.0,1916,mlb_ts,2026
