player_name,team_abbr,position,overall,espn_id,rating_source,rating_year
Akseli Pennanen,aic,F,60.8,5207027,nhl,2026
Alex Aslanidis,aic,G,75.5,4996100,nhl,2026
Alexander Malinowski,aic,F,63.4,5207033,nhl,2026
Alfred Lindberg,aic,F,66.0,5207036,nhl,2026
Andrew Amousse,aic,F,77.0,5207025,nhl,2026
Austen Long,aic,F,65.3,4781536,nhl,2026
Blake Wells,aic,F,55.5,4997127,nhl,2026
Brett Callahan,aic,D,73.1,4781522,nhl,2026
Brett Rylance,aic,F,59.5,5207041,nhl,2026
Casey McDonald,aic,F,61.4,5207042,nhl,2026
Casper Soderling,aic,D,58.1,5207024,nhl,2026
Cole Hudson,aic,G,71.0,5207037,nhl,2026
Dario Beljo,aic,F,74.4,5207040,nhl,2026
Darwin Lakoduk,aic,F,67.2,4781532,nhl,2026
Douglas Andersson,aic,F,76.3,5207023,nhl,2026
Dustin Manz,aic,F,62.7,4781602,nhl,2026
Evan Stella,aic,D,56.8,4997159,nhl,2026
Grayson Dietrich,aic,F,72.5,5207022,nhl,2026
Hunter Jones,aic,F,68.5,5207020,nhl,2026
Hunter Longhi,aic,F,64.7,5207021,nhl,2026
Hunter McCurdy,aic,D,62.0,5207029,nhl,2026
Jake Sacratini,aic,F,58.8,5207034,nhl,2026
John Lundy,aic,F,64.0,5207030,nhl,2026
Jordan Biro,aic,F,73.8,5207028,nhl,2026
Julius Janhonen,aic,F,69.8,4781526,nhl,2026
Logan Jenuwine,aic,F,69.2,5207018,nhl,2026
Matt Rickard,aic,D,60.1,4781523,nhl,2026
Nico Somerville,aic,D,57.5,4781520,nhl,2026
Nils Wallstrom,aic,G,56.7,5207039,nhl,2026
Oscar Geschwind,aic,F,71.8,5207026,nhl,2026
Peyton Grainer,aic,G,71.7,5207038,nhl,2026
Theo Angesved,aic,D,75.7,5207032,nhl,2026
Timofei Khokhlachev,aic,F,67.9,5207031,nhl,2026
Tomi Leppanen,aic,D,66.6,5207019,nhl,2026
