"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Abreu, José","547989","White Sox","","1B","-5",-7,-3,0,-2,-2,-2,-5,"67%","70%","-3%"
"Acuña Jr., Ronald","660670","Braves","","CF","0",0,1,-1,0,-1,-2,2,"89%","89%","0%"
"Adames, Cristhian","542436","Giants","","3B","0",1,0,0,0,0,0,0,"75%","70%","5%"
"Adames, Willy","642715","Rays","","SS","6",8,3,5,0,1,5,3,"79%","77%","2%"
"Adams, Matt","571431","Nationals","","1B","0",0,-2,0,1,1,0,0,"75%","74%","1%"
"Adduci, James","451192","Cubs","","RF","0",0,0,0,0,0,0,0,"100%","93%","7%"
"Adrianza, Ehire","501303","Twins","","SS","-2",-3,2,-6,2,0,2,-4,"70%","71%","-1%"
"Aguilar, Jesús","542583","---","","1B","0",0,0,1,0,-1,0,0,"73%","73%","0%"
"Ahmed, Nick","605113","D-backs","","SS","12",17,9,4,1,2,8,9,"78%","75%","3%"
"Alberto, Hanser","593643","Orioles","","2B","3",4,3,-4,4,1,2,2,"76%","75%","1%"
"Albies, Ozzie","645277","Braves","","2B","-2",-3,2,-13,8,0,0,-3,"72%","72%","0%"
"Alford, Anthony","546990","Blue Jays","","RF","1",1,0,0,1,0,0,0,"100%","96%","4%"
"Allen, Austin","664119","Padres","","1B","0",0,0,0,0,0,0,0,"67%","58%","9%"
"Allen, Greg","656185","Guardians","","LF","3",4,1,1,0,2,2,1,"89%","87%","2%"
"Almonte, Abraham","501659","D-backs","","RF","0",0,-1,0,0,1,0,0,"93%","91%","2%"
"Almora Jr., Albert","546991","Cubs","","CF","2",3,2,6,-1,-4,6,-3,"87%","86%","1%"
"Alonso, Pete","624413","Mets","","1B","-4",-6,1,-6,0,-1,-3,-2,"72%","74%","-2%"
"Alonso, Yonder","475174","---","","1B","-1",-1,0,-1,1,0,1,-1,"73%","75%","-2%"
"Altherr, Aaron","571437","---","","CF","1",1,0,0,0,0,0,0,"95%","93%","2%"
"Altuve, Jose","514888","Astros","","2B","4",5,2,5,-1,-1,4,1,"74%","73%","1%"
"Alvarez, Yordan","670541","Astros","","LF","-2",-2,-1,0,-1,-1,-2,-1,"77%","95%","-18%"
"Anderson, Brian","605119","Marlins","","3B","0",1,-1,5,-2,-1,2,-1,"72%","72%","0%"
"Anderson, Tim","641313","White Sox","","SS","2",2,-6,9,-2,1,3,0,"72%","71%","1%"
"Andrus, Elvis","462101","Rangers","","SS","8",10,11,4,-5,0,3,7,"71%","70%","1%"
"Andujar, Miguel","609280","Yankees","","3B","-2",-2,-1,0,-1,0,-1,-1,"47%","63%","-16%"
"Aquino, Aristides","606157","Reds","","RF","3",4,1,3,-1,1,3,1,"90%","86%","4%"
"Arcia, Orlando","606115","Brewers","","SS","-5",-7,-3,2,-6,0,-8,1,"74%","75%","-1%"
"Arenado, Nolan","571448","Rockies","","3B","17",22,4,6,10,2,16,7,"71%","67%","4%"
"Arozarena, Randy","668227","Cardinals","","CF","0",0,0,0,0,0,0,0,"100%","99%","1%"
"Arraez, Luis","650333","Twins","","2B","-10",-13,-1,-9,-3,0,-5,-8,"69%","74%","-5%"
"Arroyo, Christian","624414","Rays","","3B","0",-1,-1,0,0,0,0,-1,"68%","70%","-2%"
"Arteaga, Humberto","600858","Royals","","SS","-3",-3,-2,-1,-1,0,-3,0,"66%","69%","-3%"
"Astudillo, Willians","553902","Twins","","3B","0",0,0,1,-1,0,0,0,"69%","69%","0%"
"Austin, Tyler","592122","---","","LF","-3",-4,0,-1,-3,0,0,-3,"70%","77%","-7%"
"Avelino, Abiatal","623214","Giants","","SS","0",0,0,0,0,0,0,0,"80%","79%","1%"
