"team_name","team_id","year","primary_pos_formatted","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Angels","108","","",-21,0,-10,-6,-4,-12,-8,"78%","79%","-1%"
"Astros","117","","",6,7,5,-8,1,3,3,"80%","79%","1%"
"Athletics","133","","",-9,0,-1,-11,2,-6,-3,"78%","78%","0%"
"Blue Jays","141","","",-13,-1,-7,-5,-1,-8,-4,"77%","78%","-1%"
"Braves","144","","",13,5,5,3,-1,5,8,"79%","78%","1%"
"Brewers","158","","",4,0,2,-1,3,-1,5,"78%","77%","1%"
"Cardinals","138","","",7,0,4,-2,5,5,3,"81%","80%","1%"
"Cubs","112","","",9,7,1,1,-1,-1,10,"79%","78%","1%"
"D-backs","109","","",10,1,2,4,2,9,1,"80%","79%","1%"
"Dodgers","119","","",11,-6,11,0,6,7,4,"80%","79%","1%"
"Giants","137","","",0,2,-2,2,-2,-6,6,"79%","79%","0%"
"Guardians","114","","",4,7,1,1,-5,-4,8,"79%","78%","1%"
"Mariners","136","","",1,7,-1,-7,2,6,-5,"80%","80%","0%"
"Marlins","146","","",-12,3,-11,-4,1,-4,-8,"78%","79%","-1%"
"Mets","121","","",-4,9,-1,-11,0,3,-7,"75%","76%","-1%"
"Nationals","120","","",-12,-4,-2,-6,2,-7,-5,"76%","77%","-1%"
"Orioles","110","","",-8,-3,3,-5,-3,-14,6,"79%","80%","-1%"
"Padres","135","","",20,9,2,7,1,9,11,"79%","77%","2%"
"Phillies","143","","",-19,-2,-4,-10,-3,-13,-6,"75%","77%","-2%"
"Pirates","134","","",1,-2,0,1,2,0,1,"78%","78%","0%"
"Rangers","140","","",-7,-1,-2,-7,3,-3,-4,"78%","79%","-1%"
"Rays","139","","",3,5,-2,-1,1,6,-2,"77%","77%","0%"
"Red Sox","111","","",-5,0,3,-6,-1,-6,1,"74%","75%","-1%"
"Reds","113","","",-12,-4,0,-8,-1,-6,-6,"78%","79%","-1%"
"Rockies","115","","",3,7,-8,2,3,6,-3,"78%","78%","0%"
"Royals","118","","",10,10,1,1,-1,0,10,"78%","77%","1%"
"Tigers","116","","",7,3,1,5,-1,0,8,"79%","78%","1%"
"Twins","142","","",7,4,-3,3,4,-1,9,"78%","78%","0%"
"White Sox","145","","",9,8,2,0,0,4,6,"81%","81%","0%"
"Yankees","147","","",-9,2,-6,-4,-2,-16,7,"78%","79%","-1%"
