season,week,asof_date,team_id,team_abbr,team_name,rank,previous,points
2020,1,2019-10-21,127,msu,Michigan State Spartans,1,0,1619.0
2020,1,2019-10-21,96,uk,Kentucky Wildcats,2,0,1497.0
2020,1,2019-10-21,2305,ku,Kansas Jayhawks,3,0,1457.0
2020,1,2019-10-21,150,duke,Duke Blue Devils,4,0,1399.0
2020,1,2019-10-21,97,lou,Louisville Cardinals,5,0,1386.0
2020,1,2019-10-21,57,fla,Florida Gators,6,0,1313.0
2020,1,2019-10-21,120,md,Maryland Terrapins,7,0,1134.0
2020,1,2019-10-21,2250,gonz,Gonzaga Bulldogs,8,0,1096.0
2020,1,2019-10-21,153,unc,North Carolina Tar Heels,9,0,1060.0
2020,1,2019-10-21,222,vill,Villanova Wildcats,10,0,1048.0
2020,1,2019-10-21,258,uva,Virginia Cavaliers,11,0,1007.0
2020,1,2019-10-21,2550,hall,Seton Hall Pirates,12,0,863.0
2020,1,2019-10-21,2641,ttu,Texas Tech Red Raiders,13,0,837.0
2020,1,2019-10-21,235,mem,Memphis Tigers,14,0,773.0
2020,1,2019-10-21,2483,ore,Oregon Ducks,15,0,742.0
2020,1,2019-10-21,239,bay,Baylor Bears,16,0,523.0
2020,1,2019-10-21,328,usu,Utah State Aggies,17,0,491.0
2020,1,2019-10-21,194,osu,Ohio State Buckeyes,18,0,407.0
2020,1,2019-10-21,2752,xav,Xavier Musketeers,19,0,356.0
2020,1,2019-10-21,2608,smc,Saint Mary's Gaels,20,0,330.0
2020,1,2019-10-21,12,ariz,Arizona Wildcats,21,0,265.0
2020,1,2019-10-21,99,lsu,LSU Tigers,22,0,234.0
2020,1,2019-10-21,2509,pur,Purdue Boilermakers,23,0,230.0
2020,1,2019-10-21,2,aub,Auburn Tigers,24,0,210.0
2020,1,2019-10-21,2670,vcu,VCU Rams,25,0,193.0
2020,2,2019-11-11,96,uk,Kentucky Wildcats,1,2,1622.0
2020,2,2019-11-11,150,duke,Duke Blue Devils,2,4,1538.0
2020,2,2019-11-11,127,msu,Michigan State Spartans,3,1,1451.0
2020,2,2019-11-11,97,lou,Louisville Cardinals,4,5,1425.0
2020,2,2019-11-11,2305,ku,Kansas Jayhawks,5,3,1354.0
2020,2,2019-11-11,153,unc,North Carolina Tar Heels,6,9,1187.0
2020,2,2019-11-11,120,md,Maryland Terrapins,7,7,1166.0
2020,2,2019-11-11,2250,gonz,Gonzaga Bulldogs,8,8,1136.0
2020,2,2019-11-11,258,uva,Virginia Cavaliers,9,11,1134.0
2020,2,2019-11-11,222,vill,Villanova Wildcats,10,10,1064.0
2020,2,2019-11-11,2641,ttu,Texas Tech Red Raiders,11,13,888.0
2020,2,2019-11-11,2550,hall,Seton Hall Pirates,12,12,869.0
2020,2,2019-11-11,235,mem,Memphis Tigers,13,14,828.0
2020,2,2019-11-11,2483,ore,Oregon Ducks,14,15,804.0
2020,2,2019-11-11,57,fla,Florida Gators,15,6,616.0
2020,2,2019-11-11,194,osu,Ohio State Buckeyes,16,18,544.0
2020,2,2019-11-11,328,usu,Utah State Aggies,17,17,507.0
2020,2,2019-11-11,2608,smc,Saint Mary's Gaels,18,20,438.0
2020,2,2019-11-11,12,ariz,Arizona Wildcats,19,21,415.0
2020,2,2019-11-11,264,wash,Washington Huskies,20,0,373.0
2020,2,2019-11-11,2752,xav,Xavier Musketeers,21,19,370.0
2020,2,2019-11-11,2,aub,Auburn Tigers,22,24,247.0
2020,2,2019-11-11,99,lsu,LSU Tigers,23,22,237.0
2020,2,2019-11-11,239,bay,Baylor Bears,24,16,179.0
2020,2,2019-11-11,38,colo,Colorado Buffaloes,25,0,151.0
2020,3,2019-11-18,150,duke,Duke Blue Devils,1,2,1608.0
2020,3,2019-11-18,97,lou,Louisville Cardinals,2,4,1501.0
2020,3,2019-11-18,127,msu,Michigan State Spartans,3,3,1496.0
2020,3,2019-11-18,2305,ku,Kansas Jayhawks,4,5,1389.0
2020,3,2019-11-18,153,unc,North Carolina Tar Heels,5,6,1262.0
2020,3,2019-11-18,120,md,Maryland Terrapins,6,7,1240.0
2020,3,2019-11-18,258,uva,Virginia Cavaliers,7,9,1232.0
2020,3,2019-11-18,2250,gonz,Gonzaga Bulldogs,8,8,1227.0
2020,3,2019-11-18,96,uk,Kentucky Wildcats,9,1,1110.0
2020,3,2019-11-18,194,osu,Ohio State Buckeyes,10,16,1006.0
2020,3,2019-11-18,2483,ore,Oregon Ducks,11,14,998.0
2020,3,2019-11-18,2641,ttu,Texas Tech Red Raiders,12,11,947.0
2020,3,2019-11-18,2550,hall,Seton Hall Pirates,13,12,837.0
2020,3,2019-11-18,12,ariz,Arizona Wildcats,14,19,644.0
2020,3,2019-11-18,328,usu,Utah State Aggies,15,17,619.0
2020,3,2019-11-18,235,mem,Memphis Tigers,16,13,574.0
2020,3,2019-11-18,222,vill,Villanova Wildcats,17,10,560.0
2020,3,2019-11-18,2752,xav,Xavier Musketeers,18,21,463.0
