date,home_key,away_key,home_final,away_final,home_close_ml,away_close_ml,home_close_spread,away_close_spread,home_spread_odds,away_spread_odds,home_open_spread,away_open_spread,close_total,open_total,n_books,source,home_open_ml,away_open_ml,neutral_site,conference_game,home_conf_id,away_conf_id,venue_city,venue_state
2019-08-24,fla,mia,24,20,-325.0,250.0,-7.0,7.0,,,,,46.5,,11,espn-core,,,1,0,8,1,Orlando,FL
2019-08-24,haw,ariz,45,38,306.5,-400.0,10.5,-10.5,,,,,71.0,,11,espn-core,,,0,0,17,9,,
2019-08-29,asu,kent,30,7,-2500.0,1022.0,-24.5,24.5,,,,,61.5,,11,espn-core,,,0,0,9,15,Tempe,AZ
2019-08-29,bgsu,morg,46,3,-2575.0,1040.0,-24.0,24.0,,,,,50.5,,8,espn-core,,,0,0,15,24,Bowling Green,OH
2019-08-29,buff,rmu,38,10,,1300.0,-41.5,41.5,,,,,63.5,,7,espn-core,,,0,0,15,25,Buffalo,NY
2019-08-29,byu,utah,12,30,199.0,-242.5,6.25,-6.25,,,,,48.5,,11,espn-core,,,0,0,18,9,Provo,UT
2019-08-29,cin,ucla,24,14,-140.0,118.0,-2.5,2.5,,,,,55.5,,11,espn-core,,,0,0,151,9,Cincinnati,OH
2019-08-29,clem,gt,52,14,-4509.5,1750.0,-36.5,36.5,,,,,60.5,,10,espn-core,,,0,1,1,1,Clemson,SC
2019-08-29,clt,webb,49,28,-11750.0,1200.0,-31.0,31.0,,,,,54.5,,7,espn-core,,,0,0,12,40,Charlotte,NC
2019-08-29,cmu,alb,38,21,-700.0,460.0,-14.25,14.25,,,,,45.0,,7,espn-core,,,0,0,15,48,Mount Pleasant,MI
2019-08-29,conn,wag,24,21,-2500.0,1025.0,-23.0,23.0,,,,,70.5,,7,espn-core,,,0,0,151,25,East Hartford,CT
2019-08-29,del,dsu,31,13,-5200.0,1050.0,-25.0,25.0,,,,,45.5,,5,espn-core,,,0,0,48,24,Newark,DE
2019-08-29,minn,sdst,28,21,-750.0,480.0,-15.0,15.0,,,,,56.0,,7,espn-core,,,0,0,5,21,Minneapolis,MN
2019-08-29,nau,most,37,23,-135.0,110.0,-1.0,1.0,,,,,58.0,,6,espn-core,,,0,0,20,21,Flagstaff,AZ
2019-08-29,sela,jvst,35,14,300.0,-410.0,9.0,-9.0,,,,,62.5,,6,espn-core,,,0,0,30,26,Hammond,LA
2019-08-29,sjsu,unco,35,18,-1200.0,650.0,-17.5,17.5,,,,,59.5,,7,espn-core,,,0,0,17,20,San Jose,CA
2019-08-29,ta&m,txst,41,7,-7658.5,2000.0,-33.5,33.5,,,,,57.5,,10,espn-core,,,0,0,8,37,College Station,TX
2019-08-29,tuln,fiu,42,14,-152.5,125.0,-3.0,3.0,,,,,58.5,,10,espn-core,,,0,0,151,12,New Orleans,LA
2019-08-29,uab,alst,24,19,,1350.0,-39.0,39.0,,,,,50.5,,7,espn-core,,,0,0,12,31,Birmingham,AL
2019-08-29,ucf,famu,62,0,,1350.0,-44.0,44.0,,,,,65.5,,7,espn-core,,,0,0,151,24,Orlando,FL
2019-08-29,wku,cark,28,35,-400.0,300.0,-10.0,10.0,,,,,54.5,,7,espn-core,,,0,0,12,30,Bowling Green,KY
2019-08-30,army,rice,14,7,-1734.0,954.5,-23.5,23.5,,,,,46.0,,11,espn-core,,,0,0,18,12,West Point,NY
2019-08-30,colo,csu,52,31,-500.0,355.0,-13.0,13.0,,,,,55.5,,11,espn-core,,,1,0,9,17,Denver,CO
