date,home_key,away_key,home_close_ml,away_close_ml,home_close_spread,away_close_spread,home_open_ml,away_open_ml,home_open_spread,away_open_spread,home_spread_odds,away_spread_odds,open_total,close_total,source
1999-09-12,atl,min,,,4.0,-4.0,,,,,,,,49.0,nflverse
1999-09-12,chi,kc,,,3.0,-3.0,,,,,,,,38.0,nflverse
1999-09-12,cle,pit,,,6.0,-6.0,,,,,,,,37.0,nflverse
1999-09-12,gb,oak,,,-9.0,9.0,,,,,,,,43.0,nflverse
1999-09-12,ind,buf,,,3.0,-3.0,,,,,,,,45.5,nflverse
1999-09-12,jax,sf,,,-5.5,5.5,,,,,,,,49.0,nflverse
1999-09-12,no,car,,,-3.5,3.5,,,,,,,,38.0,nflverse
1999-09-12,nyj,ne,,,-7.0,7.0,,,,,,,,44.5,nflverse
1999-09-12,phi,ari,,,3.0,-3.0,,,,,,,,37.0,nflverse
1999-09-12,sea,det,,,-9.5,9.5,,,,,,,,42.0,nflverse
1999-09-12,stl,bal,,,-0.0,0.0,,,,,,,,39.0,nflverse
1999-09-12,tb,nyg,,,-5.5,5.5,,,,,,,,37.5,nflverse
1999-09-12,ten,cin,,,-9.0,9.0,,,,,,,,42.0,nflverse
1999-09-12,was,dal,,,-2.5,2.5,,,,,,,,42.0,nflverse
1999-09-13,den,mia,,,-6.0,6.0,,,,,,,,43.0,nflverse
1999-09-19,bal,pit,,,2.5,-2.5,,,,,,,,38.0,nflverse
1999-09-19,buf,nyj,,,-4.0,4.0,,,,,,,,42.0,nflverse
1999-09-19,car,jax,,,9.5,-9.5,,,,,,,,44.0,nflverse
1999-09-19,chi,sea,,,3.5,-3.5,,,,,,,,39.0,nflverse
1999-09-19,cin,sd,,,-1.0,1.0,,,,,,,,40.5,nflverse
1999-09-19,det,gb,,,6.5,-6.5,,,,,,,,43.0,nflverse
1999-09-19,kc,den,,,3.5,-3.5,,,,,,,,40.5,nflverse
1999-09-19,mia,ari,,,-9.0,9.0,,,,,,,,41.0,nflverse
1999-09-19,min,oak,,,-11.0,11.0,,,,,,,,47.5,nflverse
1999-09-19,ne,ind,,,-4.5,4.5,,,,,,,,45.0,nflverse
1999-09-19,nyg,was,,,-2.5,2.5,,,,,,,,41.0,nflverse
1999-09-19,phi,tb,,,6.5,-6.5,,,,,,,,36.5,nflverse
1999-09-19,sf,no,,,-11.0,11.0,,,,,,,,42.5,nflverse
1999-09-19,ten,cle,,,-16.0,16.0,,,,,,,,40.0,nflverse
1999-09-20,dal,atl,,,-6.5,6.5,,,,,,,,42.0,nflverse
1999-09-26,bal,cle,,,-12.0,12.0,,,,,,,,36.5,nflverse
1999-09-26,buf,phi,,,-11.5,11.5,,,,,,,,38.0,nflverse
1999-09-26,car,cin,,,-7.0,7.0,,,,,,,,39.5,nflverse
1999-09-26,gb,min,,,-0.0,0.0,,,,,,,,47.5,nflverse
1999-09-26,jax,ten,,,-9.5,9.5,,,,,,,,45.0,nflverse
1999-09-26,kc,det,,,-3.5,3.5,,,,,,,,39.5,nflverse
1999-09-26,ne,nyg,,,-6.0,6.0,,,,,,,,43.5,nflverse
1999-09-26,nyj,was,,,1.0,-1.0,,,,,,,,43.5,nflverse
1999-09-26,oak,chi,,,-7.0,7.0,,,,,,,,38.0,nflverse
1999-09-26,pit,sea,,,-4.0,4.0,,,,,,,,38.0,nflverse
1999-09-26,sd,ind,,,1.0,-1.0,,,,,,,,44.0,nflverse
1999-09-26,stl,atl,,,1.5,-1.5,,,,,,,,40.5,nflverse
1999-09-26,tb,den,,,-2.5,2.5,,,,,,,,38.0,nflverse
1999-09-27,ari,sf,,,2.5,-2.5,,,,,,,,45.5,nflverse
1999-10-03,atl,bal,,,-2.5,2.5,,,,,,,,36.5,nflverse
1999-10-03,chi,no,,,1.0,-1.0,,,,,,,,37.0,nflverse
1999-10-03,cin,stl,,,3.5,-3.5,,,,,,,,44.0,nflverse
1999-10-03,cle,ne,,,12.0,-12.0,,,,,,,,38.0,nflverse
1999-10-03,dal,ari,,,-7.0,7.0,,,,,,,,42.5,nflverse
1999-10-03,den,nyj,,,-5.5,5.5,,,,,,,,40.0,nflverse
1999-10-03,min,tb,,,-7.0,7.0,,,,,,,,40.5,nflverse
1999-10-03,nyg,phi,,,-9.5,9.5,,,,,,,,35.5,nflverse
1999-10-03,pit,jax,,,3.0,-3.0,,,,,,,,42.0,nflverse
1999-10-03,sd,kc,,,-1.0,1.0,,,,,,,,38.5,nflverse
1999-10-03,sea,oak,,,-3.5,3.5,,,,,,,,40.5,nflverse
1999-10-03,sf,ten,,,-1.5,1.5,,,,,,,,40.5,nflverse
1999-10-03,was,car,,,-8.5,8.5,,,,,,,,45.5,nflverse
1999-10-04,mia,buf,,,-4.5,4.5,,,,,,,,40.5,nflverse
1999-10-10,ari,nyg,,,-3.0,3.0,,,,,,,,37.5,nflverse
1999-10-10,buf,pit,,,-6.5,6.5,,,,,,,,38.0,nflverse
1999-10-10,cle,cin,,,3.0,-3.0,,,,,,,,36.0,nflverse
1999-10-10,det,sd,,,-3.5,3.5,,,,,,,,40.0,nflverse
1999-10-10,gb,tb,,,-6.0,6.0,,,,,,,,40.5,nflverse
1999-10-10,ind,mia,,,1.5,-1.5,,,,,,,,44.5,nflverse
1999-10-10,kc,ne,,,-2.5,2.5,,,,,,,,41.0,nflverse
1999-10-10,min,chi,,,-13.0,13.0,,,,,,,,43.5,nflverse
1999-10-10,no,atl,,,-3.0,3.0,,,,,,,,35.5,nflverse
1999-10-10,oak,den,,,-7.0,7.0,,,,,,,,38.0,nflverse
1999-10-10,phi,dal,,,9.5,-9.5,,,,,,,,37.0,nflverse
1999-10-10,stl,sf,,,-3.0,3.0,,,,,,,,45.5,nflverse
1999-10-10,ten,bal,,,-7.0,7.0,,,,,,,,38.5,nflverse
1999-10-11,nyj,jax,,,3.0,-3.0,,,,,,,,40.0,nflverse
1999-10-17,ari,was,,,3.5,-3.5,,,,,,,,45.5,nflverse
1999-10-17,atl,stl,,,6.0,-6.0,,,,,,,,45.0,nflverse
1999-10-17,buf,oak,,,-3.5,3.5,,,,,,,,40.5,nflverse
1999-10-17,chi,phi,,,-6.5,6.5,,,,,,,,35.0,nflverse
1999-10-17,cin,pit,,,5.0,-5.0,,,,,,,,37.5,nflverse
1999-10-17,den,gb,,,3.5,-3.5,,,,,,,,40.0,nflverse
1999-10-17,det,min,,,3.5,-3.5,,,,,,,,45.0,nflverse
1999-10-17,jax,cle,,,-17.5,17.5,,,,,,,,37.5,nflverse
1999-10-17,ne,mia,,,-2.5,2.5,,,,,,,,42.5,nflverse
1999-10-17,no,ten,,,3.0,-3.0,,,,,,,,36.5,nflverse
1999-10-17,nyj,ind,,,2.5,-2.5,,,,,,,,42.5,nflverse
1999-10-17,sd,sea,,,1.5,-1.5,,,,,,,,37.5,nflverse
1999-10-17,sf,car,,,-5.0,5.0,,,,,,,,44.0,nflverse
1999-10-18,nyg,dal,,,3.0,-3.0,,,,,,,,37.0,nflverse
1999-10-21,bal,kc,,,1.0,-1.0,,,,,,,,36.0,nflverse
1999-10-24,car,det,,,-4.5,4.5,,,,,,,,43.5,nflverse
1999-10-24,dal,was,,,-2.0,2.0,,,,,,,,44.0,nflverse
1999-10-24,ind,cin,,,-11.0,11.0,,,,,,,,44.0,nflverse
1999-10-24,mia,phi,,,-9.0,9.0,,,,,,,,34.0,nflverse
1999-10-24,min,sf,,,-7.0,7.0,,,,,,,,48.5,nflverse
1999-10-24,ne,den,,,-3.5,3.5,,,,,,,,40.5,nflverse
1999-10-24,nyg,no,,,-3.0,3.0,,,,,,,,34.0,nflverse
1999-10-24,oak,nyj,,,-6.5,6.5,,,,,,,,37.0,nflverse
1999-10-24,sd,gb,,,3.0,-3.0,,,,,,,,37.5,nflverse
1999-10-24,sea,buf,,,-2.5,2.5,,,,,,,,38.0,nflverse
1999-10-24,stl,cle,,,-18.5,18.5,,,,,,,,43.5,nflverse
1999-10-24,tb,chi,,,-8.0,8.0,,,,,,,,36.5,nflverse
1999-10-25,pit,atl,,,-5.5,5.5,,,,,,,,37.0,nflverse
1999-10-31,ari,ne,,,3.0,-3.0,,,,,,,,40.5,nflverse
1999-10-31,atl,car,,,-2.0,2.0,,,,,,,,40.0,nflverse
1999-10-31,bal,buf,,,3.5,-3.5,,,,,,,,36.5,nflverse
1999-10-31,cin,jax,,,12.5,-12.5,,,,,,,,38.0,nflverse
1999-10-31,den,min,,,2.5,-2.5,,,,,,,,45.0,nflverse
1999-10-31,det,tb,,,2.5,-2.5,,,,,,,,35.0,nflverse
1999-10-31,ind,dal,,,-3.0,3.0,,,,,,,,46.0,nflverse
1999-10-31,kc,sd,,,-6.0,6.0,,,,,,,,35.0,nflverse
1999-10-31,no,cle,,,-9.5,9.5,,,,,,,,33.5,nflverse
1999-10-31,oak,mia,,,-3.0,3.0,,,,,,,,37.0,nflverse
1999-10-31,phi,nyg,,,2.5,-2.5,,,,,,,,33.5,nflverse
1999-10-31,ten,stl,,,3.0,-3.0,,,,,,,,44.5,nflverse
1999-10-31,was,chi,,,-8.5,8.5,,,,,,,,44.0,nflverse
1999-11-01,gb,sea,,,-5.5,5.5,,,,,,,,42.5,nflverse
1999-11-07,atl,jax,,,6.0,-6.0,,,,,,,,41.0,nflverse
1999-11-07,car,phi,,,-5.0,5.0,,,,,,,,36.0,nflverse
1999-11-07,cle,bal,,,3.5,-3.5,,,,,,,,32.5,nflverse
1999-11-07,det,stl,,,4.0,-4.0,,,,,,,,45.0,nflverse
1999-11-07,gb,chi,,,-9.0,9.0,,,,,,,,40.5,nflverse
1999-11-07,ind,kc,,,-4.0,4.0,,,,,,,,45.0,nflverse
1999-11-07,mia,ten,,,-3.0,3.0,,,,,,,,37.0,nflverse
1999-11-07,no,tb,,,3.5,-3.5,,,,,,,,33.5,nflverse
1999-11-07,nyj,ari,,,-7.0,7.0,,,,,,,,35.0,nflverse
1999-11-07,sd,den,,,-0.0,0.0,,,,,,,,35.5,nflverse
1999-11-07,sea,cin,,,-14.0,14.0,,,,,,,,40.0,nflverse
1999-11-07,sf,pit,,,-2.5,2.5,,,,,,,,41.5,nflverse
1999-11-07,was,buf,,,-4.0,4.0,,,,,,,,47.0,nflverse
1999-11-08,min,dal,,,-6.5,6.5,,,,,,,,47.5,nflverse
1999-11-14,ari,det,,,5.5,-5.5,,,,,,,,35.5,nflverse
1999-11-14,buf,mia,,,-3.0,3.0,,,,,,,,37.0,nflverse
1999-11-14,chi,min,,,6.5,-6.5,,,,,,,,43.0,nflverse
1999-11-14,cin,ten,,,10.0,-10.0,,,,,,,,41.0,nflverse
1999-11-14,dal,gb,,,3.0,-3.0,,,,,,,,38.0,nflverse
1999-11-14,jax,bal,,,-13.0,13.0,,,,,,,,37.0,nflverse
1999-11-14,no,sf,,,1.0,-1.0,,,,,,,,38.5,nflverse
1999-11-14,nyg,ind,,,3.0,-3.0,,,,,,,,41.5,nflverse
1999-11-14,oak,sd,,,-7.0,7.0,,,,,,,,36.0,nflverse
1999-11-14,phi,was,,,6.0,-6.0,,,,,,,,42.0,nflverse
1999-11-14,pit,cle,,,-14.5,14.5,,,,,,,,34.5,nflverse
1999-11-14,sea,den,,,-5.5,5.5,,,,,,,,41.0,nflverse
1999-11-14,stl,car,,,-10.0,10.0,,,,,,,,48.0,nflverse
1999-11-14,tb,kc,,,-3.0,3.0,,,,,,,,34.5,nflverse
1999-11-15,ne,nyj,,,-6.0,6.0,,,,,,,,37.0,nflverse
1999-11-21,ari,dal,,,1.5,-1.5,,,,,,,,35.0,nflverse
1999-11-21,cin,bal,,,5.0,-5.0,,,,,,,,34.5,nflverse
1999-11-21,cle,car,,,5.5,-5.5,,,,,,,,35.5,nflverse
1999-11-21,gb,det,,,-4.0,4.0,,,,,,,,39.0,nflverse
1999-11-21,jax,no,,,-12.5,12.5,,,,,,,,35.0,nflverse
1999-11-21,kc,sea,,,-3.0,3.0,,,,,,,,37.5,nflverse
1999-11-21,mia,ne,,,-3.5,3.5,,,,,,,,37.5,nflverse
1999-11-21,nyj,buf,,,2.5,-2.5,,,,,,,,36.0,nflverse
1999-11-21,phi,ind,,,7.0,-7.0,,,,,,,,41.0,nflverse
1999-11-21,sd,chi,,,-0.0,0.0,,,,,,,,36.0,nflverse
1999-11-21,sf,stl,,,7.5,-7.5,,,,,,,,47.5,nflverse
1999-11-21,tb,atl,,,-7.0,7.0,,,,,,,,34.5,nflverse
1999-11-21,ten,pit,,,-5.5,5.5,,,,,,,,36.5,nflverse
1999-11-21,was,nyg,,,-5.5,5.5,,,,,,,,44.5,nflverse
1999-11-22,den,oak,,,-1.5,1.5,,,,,,,,37.0,nflverse
1999-11-25,dal,mia,,,-1.5,1.5,,,,,,,,38.0,nflverse
1999-11-25,det,chi,,,-6.0,6.0,,,,,,,,44.0,nflverse
1999-11-28,bal,jax,,,7.0,-7.0,,,,,,,,36.5,nflverse
1999-11-28,buf,ne,,,-4.0,4.0,,,,,,,,38.0,nflverse
1999-11-28,car,atl,,,-4.5,4.5,,,,,,,,40.0,nflverse
1999-11-28,cle,ten,,,10.5,-10.5,,,,,,,,35.5,nflverse
1999-11-28,ind,nyj,,,-7.0,7.0,,,,,,,,44.0,nflverse
1999-11-28,min,sd,,,-13.5,13.5,,,,,,,,43.5,nflverse
