date,home_key,away_key,home_close_ml,away_close_ml,home_close_spread,away_close_spread,home_spread_odds,away_spread_odds,source
2011-10-06,bos,phi,-130,110,,,-110,-110,sbr-archive
2011-10-06,tor,mtl,-105,-115,,,-110,-110,sbr-archive
2011-10-06,van,pit,-150,130,,,-110,-110,sbr-archive
2011-10-07,buf,ana,-135,115,,,-110,-110,sbr-archive
2011-10-07,la,nyr,-120,100,,,-110,-110,sbr-archive
2011-10-07,det,ott,-230,190,,,-110,-110,sbr-archive
2011-10-07,car,tb,-105,-115,,,-110,-110,sbr-archive
2011-10-07,cbj,nsh,-120,100,,,-110,-110,sbr-archive
2011-10-07,dal,chi,110,-130,,,-110,-110,sbr-archive
2011-10-08,ana,nyr,120,-140,,,-110,-110,sbr-archive
2011-10-08,la,buf,-110,-110,,,-110,-110,sbr-archive
2011-10-08,tor,ott,-155,135,,,-110,-110,sbr-archive
2011-10-08,bos,tb,-145,125,,,-110,-110,sbr-archive
2011-10-08,nj,phi,-105,-115,,,-110,-110,sbr-archive
2011-10-08,wsh,car,-200,170,,,-110,-110,sbr-archive
2011-10-08,nyi,fla,-130,110,,,-110,-110,sbr-archive
2011-10-08,st.louis,nsh,-145,125,,,-110,-110,sbr-archive
2011-10-08,min,cbj,-135,115,,,-110,-110,sbr-archive
2011-10-08,chi,dal,-180,160,,,-110,-110,sbr-archive
2011-10-08,col,det,120,-140,,,-110,-110,sbr-archive
2011-10-08,cgy,pit,-115,-105,,,-110,-110,sbr-archive
2011-10-08,sj,phoenix,-200,170,,,-110,-110,sbr-archive
2011-10-09,winnipegjets,mtl,-115,-105,,,-110,-110,sbr-archive
2011-10-09,edm,pit,110,-130,,,-110,-110,sbr-archive
2011-10-10,bos,col,-220,190,,,-110,-110,sbr-archive
2011-10-10,nj,car,-125,105,,,-110,-110,sbr-archive
2011-10-10,nyi,min,-120,100,,,-110,-110,sbr-archive
2011-10-10,st.louis,cgy,-150,130,,,-110,-110,sbr-archive
2011-10-10,dal,phoenix,-130,110,,,-110,-110,sbr-archive
2011-10-10,cbj,van,125,-145,,,-110,-110,sbr-archive
2011-10-10,wsh,tb,-155,135,,,-110,-110,sbr-archive
2011-10-11,pit,fla,-160,140,,,-110,-110,sbr-archive
2011-10-11,ott,min,-135,115,,,-110,-110,sbr-archive
2011-10-12,cbj,col,-135,115,,,-110,-110,sbr-archive
2011-10-12,phi,van,-135,115,,,-110,-110,sbr-archive
2011-10-12,car,bos,115,-135,,,-110,-110,sbr-archive
2011-10-13,nyi,tb,-105,-115,,,-110,-110,sbr-archive
2011-10-13,nj,la,-110,-110,,,-110,-110,sbr-archive
2011-10-13,pit,wsh,100,-120,,,-110,-110,sbr-archive
2011-10-13,mtl,cgy,-135,115,,,-110,-110,sbr-archive
2011-10-13,ott,col,-150,130,,,-110,-110,sbr-archive
2011-10-13,det,van,-145,125,,,-110,-110,sbr-archive
2011-10-13,nsh,phoenix,-135,115,,,-110,-110,sbr-archive
2011-10-13,min,edm,-155,135,,,-110,-110,sbr-archive
2011-10-13,chi,wpg,-210,180,,,-110,-110,sbr-archive
2011-10-13,dal,st.louis,100,-120,,,-110,-110,sbr-archive
2011-10-14,buf,car,-190,170,,,-110,-110,sbr-archive
2011-10-14,ana,sj,115,-135,,,-110,-110,sbr-archive
2011-10-15,tor,cgy,-125,105,,,-110,-110,sbr-archive
2011-10-15,mtl,col,-140,120,,,-110,-110,sbr-archive
2011-10-15,nyi,nyr,-105,-115,,,-110,-110,sbr-archive
2011-10-15,phi,la,-125,105,,,-110,-110,sbr-archive
2011-10-15,pit,buf,-125,105,,,-110,-110,sbr-archive
2011-10-15,phoenix,wpg,-145,125,,,-110,-110,sbr-archive
2011-10-15,wsh,ott,-250,210,,,-110,-110,sbr-archive
2011-10-15,fla,tb,100,-120,,,-110,-110,sbr-archive
2011-10-15,nsh,nj,-125,105,,,-110,-110,sbr-archive
2011-10-15,min,det,130,-150,,,-110,-110,sbr-archive
2011-10-15,dal,cbj,-140,120,,,-110,-110,sbr-archive
2011-10-15,chi,bos,-135,115,,,-110,-110,sbr-archive
2011-10-15,edm,van,135,-155,,,-110,-110,sbr-archive
2011-10-15,sj,st.louis,-160,140,,,-110,-110,sbr-archive
2011-10-16,ana,st.louis,-135,115,,,-110,-110,sbr-archive
2011-10-17,tor,col,-135,115,,,-110,-110,sbr-archive
2011-10-17,tb,fla,-160,140,,,-110,-110,sbr-archive
2011-10-17,wpg,pit,125,-145,,,-110,-110,sbr-archive
2011-10-17,edm,nsh,110,-130,,,-110,-110,sbr-archive
2011-10-17,sj,ana,-190,170,,,-110,-110,sbr-archive
2011-10-18,bos,car,-160,140,,,-110,-110,sbr-archive
2011-10-18,wsh,fla,-250,210,,,-110,-110,sbr-archive
2011-10-18,cbj,dal,100,-120,,,-110,-110,sbr-archive
2011-10-18,mtl,buf,110,-130,,,-110,-110,sbr-archive
2011-10-18,ott,phi,145,-165,,,-110,-110,sbr-archive
2011-10-18,min,pit,-130,110,,,-110,-110,sbr-archive
2011-10-18,cgy,edm,-180,160,,,-110,-110,sbr-archive
2011-10-18,van,nyr,-185,165,,,-110,-110,sbr-archive
2011-10-18,phoenix,chi,115,-135,,,-110,-110,sbr-archive
2011-10-18,la,st.louis,-145,125,,,-110,-110,sbr-archive
2011-10-19,tor,wpg,-175,155,,,-110,-110,sbr-archive
2011-10-20,pit,mtl,-135,115,,,-110,-110,sbr-archive
2011-10-20,phi,wsh,-130,110,,,-110,-110,sbr-archive
2011-10-20,bos,tor,-200,170,,,-110,-110,sbr-archive
2011-10-20,ott,wpg,-135,115,,,-110,-110,sbr-archive
2011-10-20,tb,nyi,-140,120,,,-110,-110,sbr-archive
2011-10-20,fla,buf,130,-150,,,-110,-110,sbr-archive
2011-10-20,col,chi,125,-145,,,-110,-110,sbr-archive
2011-10-20,cgy,nyr,-115,-105,,,-110,-110,sbr-archive
2011-10-20,edm,min,-115,-105,,,-110,-110,sbr-archive
2011-10-20,van,nsh,-180,160,,,-110,-110,sbr-archive
2011-10-20,phoenix,la,110,-130,,,-110,-110,sbr-archive
2011-10-21,nj,sj,115,-135,,,-110,-110,sbr-archive
2011-10-21,det,cbj,-250,210,,,-110,-110,sbr-archive
2011-10-21,st.louis,car,-130,110,,,-110,-110,sbr-archive
2011-10-21,ana,dal,-155,135,,,-110,-110,sbr-archive
2011-10-22,van,min,-220,190,,,-110,-110,sbr-archive
2011-10-22,cgy,nsh,-130,110,,,-110,-110,sbr-archive
2011-10-22,bos,sj,-140,120,,,-110,-110,sbr-archive
2011-10-22,mtl,tor,-140,120,,,-110,-110,sbr-archive
2011-10-22,ott,cbj,-140,120,,,-110,-110,sbr-archive
2011-10-22,phi,st.louis,-180,160,,,-110,-110,sbr-archive
2011-10-22,pit,nj,-160,140,,,-110,-110,sbr-archive
2011-10-22,wsh,det,-145,125,,,-110,-110,sbr-archive
2011-10-22,wpg,car,-110,-110,,,-110,-110,sbr-archive
2011-10-22,tb,buf,-105,-115,,,-110,-110,sbr-archive
2011-10-22,fla,nyi,-120,100,,,-110,-110,sbr-archive
2011-10-22,chi,col,-200,170,,,-110,-110,sbr-archive
2011-10-22,edm,nyr,125,-145,,,-110,-110,sbr-archive
2011-10-22,la,dal,-180,160,,,-110,-110,sbr-archive
2011-10-23,ana,phoenix,-150,130,,,-110,-110,sbr-archive
2011-10-24,phi,tor,-210,180,,,-110,-110,sbr-archive
2011-10-24,mtl,fla,-130,110,,,-110,-110,sbr-archive
2011-10-24,wpg,nyr,-110,-110,,,-110,-110,sbr-archive
2011-10-25,nyi,pit,110,-130,,,-110,-110,sbr-archive
2011-10-25,car,ott,-170,150,,,-110,-110,sbr-archive
2011-10-25,cbj,det,160,-180,,,-110,-110,sbr-archive
2011-10-25,buf,tb,-150,130,,,-110,-110,sbr-archive
2011-10-25,nsh,sj,115,-135,,,-110,-110,sbr-archive
2011-10-25,chi,ana,-165,145,,,-110,-110,sbr-archive
2011-10-25,edm,van,135,-155,,,-110,-110,sbr-archive
2011-10-25,phoenix,dal,-130,110,,,-110,-110,sbr-archive
2011-10-25,la,nj,-175,155,,,-110,-110,sbr-archive
2011-10-26,mtl,phi,120,-140,,,-110,-110,sbr-archive
2011-10-26,cgy,col,-115,-105,,,-110,-110,sbr-archive
2011-10-26,van,st.louis,-155,135,,,-110,-110,sbr-archive
2011-10-27,phi,wpg,-200,170,,,-110,-110,sbr-archive
2011-10-27,buf,cbj,-200,170,,,-110,-110,sbr-archive
2011-10-27,bos,mtl,-200,170,,,-110,-110,sbr-archive
2011-10-27,nyr,tor,-150,130,,,-110,-110,sbr-archive
2011-10-27,pit,nyi,-190,170,,,-110,-110,sbr-archive
2011-10-27,ott,fla,-110,-110,,,-110,-110,sbr-archive
2011-10-27,nsh,tb,-110,-110,,,-110,-110,sbr-archive
2011-10-27,min,ana,-110,-110,,,-110,-110,sbr-archive
2011-10-27,dal,la,100,-120,,,-110,-110,sbr-archive
2011-10-27,edm,wsh,145,-165,,,-110,-110,sbr-archive
2011-10-27,phoenix,nj,-130,110,,,-110,-110,sbr-archive
2011-10-28,car,chi,115,-135,,,-110,-110,sbr-archive
2011-10-28,det,sj,-125,105,,,-110,-110,sbr-archive
2011-10-28,col,edm,-175,155,,,-110,-110,sbr-archive
2011-10-28,cgy,st.louis,-120,100,,,-110,-110,sbr-archive
2011-10-29,nyr,ott,-165,145,,,-110,-110,sbr-archive
2011-10-29,buf,fla,-180,160,,,-110,-110,sbr-archive
2011-10-29,tor,pit,105,-125,,,-110,-110,sbr-archive
2011-10-29,mtl,bos,-110,-110,,,-110,-110,sbr-archive
2011-10-29,nyi,sj,110,-130,,,-110,-110,sbr-archive
2011-10-29,phi,car,-165,145,,,-110,-110,sbr-archive
2011-10-29,tb,wpg,-170,150,,,-110,-110,sbr-archive
2011-10-29,nsh,ana,-120,100,,,-110,-110,sbr-archive
2011-10-29,min,det,125,-145,,,-110,-110,sbr-archive
2011-10-29,dal,nj,-130,110,,,-110,-110,sbr-archive
2011-10-29,chi,cbj,-220,190,,,-110,-110,sbr-archive
2011-10-29,phoenix,la,105,-125,,,-110,-110,sbr-archive
2011-10-29,van,wsh,-120,100,,,-110,-110,sbr-archive
2011-10-30,cbj,ana,105,-125,,,-110,-110,sbr-archive
2011-10-30,ott,tor,-105,-115,,,-110,-110,sbr-archive
2011-10-30,col,la,-105,-115,,,-110,-110,sbr-archive
2011-10-30,edm,st.louis,-105,-115,,,-110,-110,sbr-archive
2011-10-31,nyr,sj,-105,-115,,,-110,-110,sbr-archive
2011-10-31,fla,wpg,-150,130,,,-110,-110,sbr-archive
2011-10-31,chi,nsh,-160,140,,,-110,-110,sbr-archive
2011-11-01,car,tb,-115,-105,,,-110,-110,sbr-archive
2011-11-01,bos,ott,-200,170,,,-110,-110,sbr-archive
