game_date,home_key,away_key,legacy_home_prob,power_home_prob,sport_home_prob,meta_stacked_home_prob,legacy_margin,power_margin,sport_margin,sport_minus_market,expected_home_goals,expected_away_goals,sport_xg_diff,overtime_probability,market_devig_home_prob,market_spread,market_home_ml,market_away_ml,home_margin,home_win,home_cover
2024-01-20,ttu,byu,5.400000000000006,5.4,5.4,5.4,7.135999999999999,7.135999999999999,7.135999999999999,,,,,,,,,,7.0,1,
2024-01-21,vill,conn,8.099999999999994,8.1,8.1,8.1,6.704000000000001,6.704000000000001,6.704000000000001,,,,,,,,,,-1.0,0,
2024-01-21,aub,miss,50.0,50.0,50.0,50.0,0.0,0.0,0.0,,,,,,,,,,23.0,1,
2024-01-23,ku,cin,5.530000000000001,5.53,5.53,5.53,7.1152,7.1152,7.1152,,,,,,,,,,5.0,1,
2024-01-24,ou,tex,75.17,75.17,75.17,75.17,-4.027200000000001,-4.027200000000001,-4.027200000000001,,,,,,,,,,-15.0,0,
2024-01-24,lou,duke,48.26,48.26,48.26,48.26,0.2784000000000003,0.2784000000000003,0.2784000000000003,,,,,,,,,,-14.0,0,
2024-01-24,pur,mich,91.34,91.34,91.34,91.34,-6.614400000000001,-6.614400000000001,-6.614400000000001,,,,,,,,,,32.0,1,
2024-01-24,byu,hou,0.4000000000000057,0.4,0.4,0.4,7.935999999999999,7.935999999999999,7.935999999999999,,,,,,,,,,-7.0,0,
2024-01-25,ala,aub,25.010000000000005,25.01,25.01,25.01,3.9983999999999993,3.9983999999999993,3.9983999999999993,,,,,,,,,,4.0,1,
2024-01-25,isu,ksu,0.21999999999999886,0.22,0.22,0.22,7.9648,7.9648,7.9648,,,,,,,,,,11.0,1,
2024-01-27,hou,ksu,99.77,99.77,99.77,99.77,-7.9632,-7.9632,-7.9632,,,,,,,,,,22.0,1,
2024-01-27,marq,hall,99.49,99.49,99.49,99.49,-7.918399999999999,-7.918399999999999,-7.918399999999999,,,,,,,,,,18.0,1,
2024-01-27,isu,ku,69.15,69.15,69.15,69.15,-3.064000000000001,-3.064000000000001,-3.064000000000001,,,,,,,,,,4.0,1,
2024-01-27,ou,ttu,17.349999999999994,17.35,17.35,17.35,5.224000000000001,5.224000000000001,5.224000000000001,,,,,,,,,,-1.0,0,
2024-01-27,byu,tex,39.67,39.67,39.67,39.67,1.6527999999999998,1.6527999999999998,1.6527999999999998,,,,,,,,,,12.0,1,
2024-01-27,ill,iu,29.799999999999997,29.8,29.8,29.8,3.2320000000000007,3.2320000000000007,3.2320000000000007,,,,,,,,,,8.0,1,
2024-01-27,msst,aub,15.950000000000003,15.95,15.95,15.95,5.4479999999999995,5.4479999999999995,5.4479999999999995,,,,,,,,,,6.0,1,
2024-01-27,bay,tcu,63.94,63.94,63.94,63.94,-2.2303999999999995,-2.2303999999999995,-2.2303999999999995,,,,,,,,,,-3.0,0,
2024-01-27,van,tenn,0.09000000000000341,0.09,0.09,0.09,7.9856,7.9856,7.9856,,,,,,,,,,-13.0,0,
2024-01-28,crei,dep,9.900000000000006,9.9,9.9,9.9,6.4159999999999995,6.4159999999999995,6.4159999999999995,,,,,,,,,,23.0,1,
2024-01-28,conn,xav,98.2,98.2,98.2,98.2,-7.712000000000001,-7.712000000000001,-7.712000000000001,,,,,,,,,,43.0,1,
2024-01-28,rutg,pur,0.060000000000002274,0.06,0.06,0.06,7.9904,7.9904,7.9904,,,,,,,,,,-8.0,0,
2024-01-28,uab,mem,0.8900000000000006,0.89,0.89,0.89,7.8576,7.8576,7.8576,,,,,,,,,,9.0,1,
2024-01-29,unm,nev,91.23,91.23,91.23,91.23,-6.596800000000001,-6.596800000000001,-6.596800000000001,,,,,,,,,,34.0,1,
2024-01-30,tex,hou,0.6200000000000045,0.62,0.62,0.62,7.900799999999999,7.900799999999999,7.900799999999999,,,,,,,,,,-4.0,0,
2024-01-30,tenn,sc,0.09999999999999432,0.1,0.1,0.1,7.984000000000001,7.984000000000001,7.984000000000001,,,,,,,,,,-4.0,0,
2024-01-31,vill,marq,46.39,46.39,46.39,46.39,0.5775999999999999,0.5775999999999999,0.5775999999999999,,,,,,,,,,-5.0,0,
2024-01-31,tcu,ttu,6.409999999999997,6.41,6.41,6.41,6.974400000000001,6.974400000000001,6.974400000000001,,,,,,,,,,7.0,1,
2024-01-31,ksu,ou,22.870000000000005,22.87,22.87,22.87,4.3408,4.3408,4.3408,,,,,,,,,,-20.0,0,
2024-01-31,ku,okst,99.75,99.75,99.75,99.75,-7.96,-7.96,-7.96,,,,,,,,,,29.0,1,
2024-01-31,usu,sjsu,80.52,80.52,80.52,80.52,-4.8831999999999995,-4.8831999999999995,-4.8831999999999995,,,,,,,,,,21.0,1,
2024-01-31,pur,nu,4.840000000000003,4.84,4.84,4.84,7.2256,7.2256,7.2256,,,,,,,,,,9.0,1,
2024-01-31,uga,ala,46.67,46.67,46.67,46.67,0.5327999999999997,0.5327999999999997,0.5327999999999997,,,,,,,,,,-9.0,0,
2024-02-01,ucf,bay,79.36,79.36,79.36,79.36,-4.6976,-4.6976,-4.6976,,,,,,,,,,-8.0,0,
