game_date,home_key,away_key,legacy_home_prob,power_home_prob,sport_home_prob,meta_stacked_home_prob,legacy_margin,power_margin,sport_margin,sport_minus_market,expected_home_goals,expected_away_goals,sport_xg_diff,overtime_probability,market_devig_home_prob,market_spread,market_home_ml,market_away_ml,home_margin,home_win,home_cover
2020-07-26,chc,mil,50.0,50.0,44.16,48.248,0.0,0.0,0.79,,,,,,,,,,8.0,1,
2020-07-26,tex,col,50.0,50.0,52.07,50.621,0.0,0.0,-0.28,,,,,,,,,,-3.0,0,
2020-07-26,sd,ari,50.0,50.0,42.19,47.657,0.0,0.0,1.07,,,,,,,,,,-1.0,0,
2020-07-26,oak,laa,50.0,50.0,61.84,53.552,0.0,0.0,-1.64,,,,,,,,,,2.0,1,
2020-07-26,nym,atl,50.0,50.0,56.53,51.959,0.0,0.0,-0.89,,,,,,,,,,-13.0,0,
2020-07-27,lad,sf,50.0,50.0,65.21,54.563,0.0,0.0,-2.14,,,,,,,,,,-2.0,0,
2020-07-27,oak,laa,50.0,50.0,61.84,53.552,0.0,0.0,-1.64,,,,,,,,,,3.0,1,
2020-07-27,sd,ari,50.0,50.0,42.19,47.657,0.0,0.0,1.07,,,,,,,,,,4.0,1,
2020-07-27,wsh,tor,50.0,50.0,62.25,53.675,0.0,0.0,-1.7,6.0,,,,,56.25,-1.5,110.0,170.0,-3.0,0,0.0
2020-07-27,tb,atl,65.91,65.91,54.81,62.58,-2.2274,-2.2274,-0.65,,,,,,,,,,9.0,1,
2020-07-27,cin,chc,50.0,50.0,55.16,51.548,0.0,0.0,-0.7,,,,,,,,,,-1.0,0,
2020-07-27,pit,mil,53.64,53.64,43.87,50.709,-0.5096000000000002,-0.5096000000000002,0.83,,,,,,,,,,-1.0,0,
2020-07-27,det,kc,45.4,45.4,46.4,45.7,0.6440000000000002,0.6440000000000002,0.49,,,,,,,,,,-8.0,0,
2020-07-27,hou,sea,50.0,50.0,62.97,53.891,0.0,0.0,-1.81,9.398571428571415,,,,,53.571428571428584,-1.5,134.0,170.0,3.0,1,1.0
2020-07-27,bos,nym,91.75,91.75,47.22,78.391,-5.845000000000001,-5.845000000000001,0.38,,,,,,,,,,-3.0,0,
2020-07-28,cle,chw,87.85,87.85,54.07,77.716,-5.299,-5.299,-0.55,,,,,,,,,,1.0,1,
2020-07-28,wsh,tor,17.62,17.62,62.25,31.009,4.5332,4.5332,-1.7,,,,,,,,,,-4.0,0,
2020-07-28,tb,atl,89.94,89.94,54.81,79.401,-5.591600000000001,-5.591600000000001,-0.65,,,,,,,,,,3.0,1,
2020-07-28,cin,chc,29.38,29.38,55.16,37.114,2.886800000000001,2.886800000000001,-0.7,,,,,,,,,,-3.0,0,
2020-07-28,pit,mil,48.49,48.49,43.87,47.104,0.2113999999999997,0.2113999999999997,0.83,,,,,,,,,,2.0,1,
2020-07-28,det,kc,9.76,9.76,46.4,20.752,5.6336,5.6336,0.49,,,,,,,,,,1.0,1,
2020-07-28,bos,nym,37.21,37.21,47.22,40.213,1.7906,1.7906,0.38,,,,,,,,,,-5.0,0,
2020-07-28,cle,chw,54.04,54.04,54.07,54.049,-0.5655999999999999,-0.5655999999999999,-0.55,,,,,,,,,,2.0,1,
