game_date,home_key,away_key,legacy_home_prob,power_home_prob,sport_home_prob,meta_stacked_home_prob,legacy_margin,power_margin,sport_margin,sport_minus_market,expected_home_goals,expected_away_goals,sport_xg_diff,overtime_probability,market_devig_home_prob,market_spread,market_home_ml,market_away_ml,home_margin,home_win,home_cover
2020-09-27,nyg,sf,2.77,2.77,35.63,15.914000000000003,10.390600000000001,10.390600000000001,4.1,-6.032483686376871,,,,,41.66248368637687,-3.0,134.0,-149.0,-27.0,0,0.0
2020-09-27,lac,car,98.84,98.84,60.96,83.688,-10.744800000000001,-10.744800000000001,-3.1,-9.592642194433246,,,,,70.55264219443325,6.0,-265.0,230.0,-5.0,0,1.0
2020-09-27,ind,nyj,43.2,43.2,59.78,49.83200000000001,1.4959999999999993,1.4959999999999993,-2.8,-23.827661733995,,,,,83.607661733995,12.5,-630.0,491.0,29.0,1,1.0
2020-09-27,ari,det,99.17,99.17,59.44,83.278,-10.817400000000001,-10.817400000000001,-2.7,-7.322129732215643,,,,,66.76212973221564,4.5,-218.0,193.0,-3.0,0,1.0
2020-09-27,sea,dal,98.29,98.29,54.01,80.578,-10.623800000000001,-10.623800000000001,-1.1,-14.404935892629531,,,,,68.41493589262953,5.5,-237.0,208.0,7.0,1,1.0
2020-09-27,den,tb,51.49,51.49,56.44,53.470000000000006,-0.3278000000000004,-0.3278000000000004,-1.8,26.971088082901552,,,,,29.468911917098445,-6.0,230.0,-264.0,-18.0,0,0.0
2020-09-28,no,gb,30.18,30.18,60.13,42.160000000000004,4.3603999999999985,4.3603999999999985,-2.9,-1.4996129105067126,,,,,61.629612910506715,3.5,-172.0,154.0,-7.0,0,0.0
2020-09-29,bal,kc,98.29,98.29,62.55,83.994,-10.623800000000001,-10.623800000000001,-3.6,0.6351773601690169,,,,,61.91482263983098,3.5,-174.0,156.0,-14.0,0,0.0
2020-10-02,nyj,den,15.11,15.11,55.33,31.198,7.6758,7.6758,-1.5,3.251891795055535,,,,,52.07810820494446,1.0,-114.0,104.0,-9.0,0,0.0
2020-10-04,car,ari,39.63,39.63,54.07,45.406000000000006,2.2813999999999997,2.2813999999999997,-1.1,13.62112768937785,,,,,40.44887231062215,-3.0,141.0,-157.0,10.0,1,1.0
2020-10-04,wsh,bal,0.04,0.04,53.15,21.284000000000002,10.9912,10.9912,-0.9,40.9122215847576,,,,,12.237778415242397,-14.5,692.0,-958.0,-14.0,0,0.0
2020-10-04,cin,jax,2.49,2.49,56.69,24.17,10.452200000000001,10.452200000000001,-1.9,5.189267935578336,,,,,51.50073206442166,1.0,-112.0,101.0,8.0,1,1.0
2020-10-04,dal,cle,90.68,90.68,54.71,76.292,-8.949600000000002,-8.949600000000002,-1.3,-7.345881338392552,,,,,62.05588133839255,3.5,-175.0,157.0,-11.0,0,0.0
2020-10-04,det,no,3.14,3.14,56.4,24.444000000000003,10.3092,10.3092,-1.8,15.629354864497564,,,,,40.770645135502434,-3.0,139.0,-155.0,-6.0,0,0.0
2020-10-04,hou,min,48.42,48.42,56.4,51.61200000000001,0.34759999999999963,0.34759999999999963,-1.8,-5.229612910506717,,,,,61.629612910506715,3.5,-172.0,154.0,-8.0,0,0.0
2020-10-04,tb,lac,83.91,83.91,59.82,74.274,-7.4601999999999995,-7.4601999999999995,-2.8,-14.758570501704604,,,,,74.5785705017046,7.5,-331.0,282.0,7.0,1,1.0
2020-10-04,mia,sea,21.47,21.47,53.14,34.138,6.2766,6.2766,-0.9,20.284077796313625,,,,,32.855922203686376,-4.5,196.0,-223.0,-8.0,0,0.0
2020-10-04,lar,nyg,99.1,99.1,62.2,84.34,-10.802,-10.802,-3.5,,,,,,,,,,8.0,1,
2020-10-04,lv,buf,85.09,85.09,55.06,73.078,-7.719800000000001,-7.719800000000001,-1.4,16.68961291050671,,,,,38.37038708949329,-3.0,154.0,-172.0,-7.0,0,0.0
2020-10-04,chi,ind,5.57,5.57,57.03,26.154,9.774600000000001,9.774600000000001,-2.0,18.94482263983098,,,,,38.08517736016902,-3.5,156.0,-174.0,-8.0,0,0.0
2020-10-05,sf,phi,99.81,99.81,62.65,84.94600000000001,-10.9582,-10.9582,-3.6,-11.321244422409528,,,,,73.97124442240953,8.5,-320.0,273.0,-5.0,0,1.0
2020-10-05,kc,ne,40.09,40.09,58.83,47.586,2.1801999999999992,2.1801999999999992,-2.5,-13.961064012602023,,,,,72.79106401260202,7.0,-299.0,257.0,16.0,1,1.0
2020-10-06,gb,atl,99.65,99.65,63.05,85.01,-10.923000000000002,-10.923000000000002,-3.7,-3.957554345033145,,,,,67.00755434503314,5.0,-221.0,195.0,14.0,1,1.0
2020-10-09,chi,tb,2.78,2.78,57.58,24.7,10.388399999999999,10.388399999999999,-2.1,20.68538349615465,,,,,36.89461650384535,-3.5,164.0,-184.0,1.0,1,0.0
2020-10-11,nyj,ari,0.86,0.86,50.57,20.744000000000003,10.8108,10.8108,-0.2,23.12610366150212,,,,,27.44389633849788,-7.0,254.0,-295.0,-20.0,0,0.0
2020-10-11,atl,car,15.44,15.44,56.04,31.68,7.6032,7.6032,-1.7,-0.6432804712279179,,,,,56.68328047122792,2.5,-139.0,125.0,-7.0,0,0.0
2020-10-11,bal,cin,99.46,99.46,60.04,83.69200000000001,-10.881199999999998,-10.881199999999998,-2.8,-24.98780289413667,,,,,85.02780289413667,12.5,-718.0,547.0,24.0,1,1.0
2020-10-11,hou,jax,55.89,55.89,54.02,55.14200000000001,-1.2958,-1.2958,-1.1,-17.649281619238103,,,,,71.6692816192381,6.5,-281.0,243.0,16.0,1,1.0
2020-10-11,kc,lv,98.99,98.99,60.02,83.40200000000002,-10.7778,-10.7778,-2.8,-20.07757715644133,,,,,80.09757715644133,11.0,-476.0,387.0,-8.0,0,1.0
2020-10-11,wsh,lar,9.12,9.12,53.44,26.848,8.993599999999999,8.993599999999999,-1.0,,,,,,,,,,-20.0,0,
2020-10-11,pit,phi,90.62,90.62,63.09,79.608,-8.9364,-8.9364,-3.7,-13.364625269375054,,,,,76.45462526937506,7.5,-372.0,312.0,9.0,1,1.0
2020-10-11,sf,mia,29.94,29.94,59.74,41.86,4.413200000000001,4.413200000000001,-2.8,-16.061797126926713,,,,,75.80179712692672,8.5,-357.0,301.0,-26.0,0,0.0
2020-10-11,cle,ind,13.27,13.27,54.8,29.882,8.0806,8.0806,-1.3,3.761218836565085,,,,,51.03878116343491,1.0,-110.0,-101.0,9.0,1,1.0
2020-10-11,dal,nyg,97.3,97.3,58.83,81.912,-10.405999999999999,-10.405999999999999,-2.5,-16.483551037990622,,,,,75.31355103799062,7.5,-347.0,293.0,3.0,1,1.0
2020-10-12,sea,min,98.94,98.94,63.38,84.71600000000001,-10.7668,-10.7668,-3.8,-8.463378794544646,,,,,71.84337879454465,6.5,-284.0,245.0,1.0,1,1.0
2020-10-13,no,lac,77.13,77.13,56.85,69.018,-5.9685999999999995,-5.9685999999999995,-1.9,-18.12605909982215,,,,,74.97605909982215,7.0,-339.0,288.0,3.0,1,1.0
2020-10-13,ten,buf,5.41,5.41,56.14,25.702,9.809800000000001,9.809800000000001,-1.7,17.186511627906974,,,,,38.95348837209303,-3.0,150.0,-168.0,26.0,1,1.0
2020-10-18,min,atl,83.33,83.33,55.46,72.182,-7.332599999999999,-7.332599999999999,-1.5,-8.082457845966893,,,,,63.542457845966894,3.5,-188.0,167.0,-17.0,0,0.0
2020-10-18,phi,bal,0.18,0.18,51.37,20.656000000000002,10.960399999999998,10.960399999999998,-0.4,29.733232417017607,,,,,21.63676758298239,-10.5,348.0,-422.0,-2.0,0,0.0
2020-10-18,car,chi,71.63,71.63,52.92,64.146,-4.758599999999999,-4.758599999999999,-0.8,-1.0727702924745302,,,,,53.99277029247453,2.0,-124.0,112.0,-7.0,0,0.0
