date,team,injuries,out,ol_out,skill_out
2026-07-13,ari,25,0,0,0
2026-07-13,atl,25,1,0,0
2026-07-13,bal,25,0,0,0
2026-07-13,buf,25,1,0,0
2026-07-13,car,25,0,0,0
2026-07-13,chi,25,0,0,0
2026-07-13,cin,25,0,0,0
2026-07-13,cle,25,1,0,0
2026-07-13,dal,25,1,0,0
2026-07-13,den,25,0,0,0
2026-07-13,det,25,1,0,0
2026-07-13,gb,25,0,0,0
2026-07-13,hou,25,0,0,0
2026-07-13,ind,25,0,0,0
2026-07-13,jax,25,0,0,0
2026-07-13,kc,25,0,0,0
2026-07-13,lv,25,2,0,0
2026-07-13,lac,25,0,0,0
2026-07-13,lar,25,1,0,0
2026-07-13,mia,25,0,0,0
2026-07-13,min,25,0,0,0
2026-07-13,ne,25,1,0,0
2026-07-13,no,25,1,0,0
2026-07-13,nyg,25,4,0,0
2026-07-13,nyj,25,2,0,0
2026-07-13,phi,25,1,0,0
2026-07-13,pit,25,1,0,0
2026-07-13,sf,25,2,0,0
2026-07-13,sea,25,0,0,0
2026-07-13,tb,25,0,0,0
2026-07-13,ten,25,0,0,0
2026-07-13,wsh,25,0,0,0
