season,week,team,injuries,out,ol_out,skill_out
2009,1,ari,6,1.5,0.0,1.5
2009,1,atl,7,1.0,0.0,0.0
2009,1,bal,4,1.5,0.0,1.0
2009,1,buf,3,2.0,0.0,1.0
2009,1,car,2,1.0,0.0,0.0
2009,1,chi,3,1.0,0.0,0.5
2009,1,cin,6,2.5,1.5,0.0
2009,1,cle,8,4.0,1.0,1.5
2009,1,dal,4,3.5,0.0,0.5
2009,1,den,8,4.5,0.5,2.0
2009,1,det,10,2.5,0.5,1.5
2009,1,gb,5,2.0,0.0,1.0
2009,1,hou,5,3.0,0.0,0.5
2009,1,ind,6,3.5,0.0,1.0
2009,1,jax,3,1.0,0.0,1.0
2009,1,kc,4,1.5,0.0,1.0
2009,1,mia,2,0.0,0.0,0.0
2009,1,min,3,1.5,0.0,0.5
2009,1,ne,11,3.5,0.5,2.0
2009,1,no,5,3.0,1.0,2.0
2009,1,nyg,4,3.5,1.0,0.0
2009,1,nyj,6,0.5,0.0,0.0
2009,1,oak,7,3.5,1.0,2.5
2009,1,phi,14,3.0,2.0,0.0
2009,1,pit,2,1.0,0.0,0.0
2009,1,sd,2,0.5,0.0,0.0
2009,1,sea,6,5.0,2.0,0.5
2009,1,sf,2,2.0,0.0,1.0
2009,1,stl,7,2.5,1.0,0.0
2009,1,tb,7,3.5,0.0,1.0
2009,1,ten,4,1.5,0.0,1.0
2009,1,was,2,0.0,0.0,0.0
2009,2,ari,9,4.0,0.0,1.5
2009,2,atl,3,0.5,0.0,0.0
2009,2,bal,6,1.5,0.0,0.5
2009,2,buf,6,1.5,0.0,0.0
2009,2,car,7,1.5,0.0,0.0
2009,2,chi,8,2.0,0.0,1.0
2009,2,cin,7,3.0,2.0,0.0
2009,2,cle,10,3.0,1.0,1.5
2009,2,dal,6,2.0,0.0,0.0
2009,2,den,10,3.0,0.5,0.0
2009,2,det,9,3.0,0.0,1.0
2009,2,gb,8,3.0,0.5,1.0
2009,2,hou,8,4.0,0.0,2.0
2009,2,ind,11,5.5,1.0,2.5
2009,2,jax,4,2.0,0.0,1.0
2009,2,kc,2,1.0,0.0,0.5
