game_id,team,wr1_snap_share,skill_snap_share,ol_starter_share,ol_starters,season
2013_01_ARI_STL,ari,1.0,0.45,1.0,5,2013
2013_01_ARI_STL,stl,0.82,0.4141666666666666,0.9879999999999999,5,2013
2013_01_ATL_NO,atl,0.98,0.3776923076923077,1.0,5,2013
2013_01_ATL_NO,no,0.75,0.41,1.0,5,2013
2013_01_BAL_DEN,bal,0.98,0.4518181818181818,0.93,5,2013
2013_01_BAL_DEN,den,0.96,0.45454545454545453,1.0,5,2013
2013_01_CIN_CHI,chi,0.98,0.4166666666666667,1.0,5,2013
2013_01_CIN_CHI,cin,0.93,0.45454545454545453,1.0,5,2013
2013_01_GB_SF,gb,1.0,0.41583333333333333,1.0,5,2013
2013_01_GB_SF,sf,0.78,0.43454545454545457,1.0,5,2013
2013_01_HOU_SD,hou,0.93,0.41583333333333333,1.0,5,2013
2013_01_HOU_SD,sd,0.98,0.45545454545454545,1.0,5,2013
2013_01_KC_JAX,jax,1.0,0.41583333333333333,0.93,5,2013
2013_01_KC_JAX,kc,0.9,0.4518181818181818,0.9879999999999999,5,2013
2013_01_MIA_CLE,cle,1.0,0.45363636363636367,1.0,5,2013
2013_01_MIA_CLE,mia,0.87,0.45454545454545453,1.0,5,2013
2013_01_MIN_DET,det,1.0,0.4518181818181818,0.9640000000000001,5,2013
2013_01_MIN_DET,min,0.85,0.41583333333333333,1.0,5,2013
2013_01_NE_BUF,buf,0.98,0.41583333333333333,1.0,5,2013
2013_01_NE_BUF,ne,0.96,0.4445454545454545,0.986,5,2013
2013_01_NYG_DAL,dal,0.94,0.501,1.0,5,2013
2013_01_NYG_DAL,nyg,0.9,0.4141666666666666,1.0,5,2013
2013_01_OAK_IND,ind,1.0,0.45,1.0,5,2013
2013_01_OAK_IND,oak,0.78,0.41,1.0,5,2013
2013_01_PHI_WAS,phi,1.0,0.4527272727272727,0.9960000000000001,5,2013
2013_01_PHI_WAS,was,0.73,0.38384615384615384,1.0,5,2013
2013_01_SEA_CAR,car,0.94,0.4527272727272727,0.98,4,2013
2013_01_SEA_CAR,sea,0.72,0.4518181818181818,0.932,5,2013
2013_01_TB_NYJ,nyj,0.95,0.4175,0.994,5,2013
2013_01_TB_NYJ,tb,1.0,0.5,0.9960000000000001,5,2013
2013_01_TEN_PIT,pit,0.89,0.45,0.982,5,2013
2013_01_TEN_PIT,ten,0.64,0.41500000000000004,1.0,5,2013
2013_02_CAR_BUF,buf,1.0,0.45545454545454545,1.0,5,2013
2013_02_CAR_BUF,car,0.94,0.45454545454545453,0.9359999999999999,5,2013
2013_02_CLE_BAL,bal,1.0,0.45454545454545453,1.0,5,2013
2013_02_CLE_BAL,cle,0.98,0.499,1.0,5,2013
2013_02_DAL_KC,dal,0.92,0.499,0.944,5,2013
2013_02_DAL_KC,kc,0.91,0.4166666666666667,0.9879999999999999,5,2013
2013_02_DEN_NYG,den,0.95,0.45454545454545453,0.99,5,2013
2013_02_DEN_NYG,nyg,0.96,0.41500000000000004,1.0,5,2013
2013_02_DET_ARI,ari,0.94,0.4058333333333333,1.0,5,2013
2013_02_DET_ARI,det,0.98,0.45545454545454545,1.0,5,2013
2013_02_JAX_OAK,jax,1.0,0.41583333333333333,1.0,5,2013
2013_02_JAX_OAK,oak,0.71,0.3823076923076923,0.9359999999999999,5,2013
2013_02_MIA_IND,ind,0.95,0.4445454545454545,0.968,5,2013
2013_02_MIA_IND,mia,0.91,0.45363636363636367,1.0,5,2013
2013_02_MIN_CHI,chi,0.93,0.4166666666666667,1.0,5,2013
2013_02_MIN_CHI,min,0.84,0.415,1.0,5,2013
2013_02_NO_TB,no,0.95,0.4116666666666667,1.0,5,2013
2013_02_NO_TB,tb,0.97,0.4091666666666667,1.0,5,2013
2013_02_NYJ_NE,ne,0.97,0.4436363636363636,0.968,5,2013
2013_02_NYJ_NE,nyj,0.94,0.4166666666666667,1.0,5,2013
2013_02_PIT_CIN,cin,0.95,0.4509090909090909,0.932,5,2013
2013_02_PIT_CIN,pit,0.96,0.41333333333333333,1.0,5,2013
2013_02_SD_PHI,phi,0.95,0.45454545454545453,1.0,5,2013
2013_02_SD_PHI,sd,0.95,0.41583333333333333,1.0,5,2013
2013_02_SF_SEA,sea,0.72,0.4175,0.96,5,2013
2013_02_SF_SEA,sf,0.96,0.38153846153846155,1.0,5,2013
2013_02_STL_ATL,atl,0.81,0.3823076923076923,0.99,5,2013
2013_02_STL_ATL,stl,0.9,0.3853846153846154,0.932,5,2013
2013_02_TEN_HOU,hou,0.91,0.45363636363636367,0.99,5,2013
2013_02_TEN_HOU,ten,0.86,0.4175,1.0,5,2013
2013_02_WAS_GB,gb,0.96,0.38461538461538464,0.992,5,2013
2013_02_WAS_GB,was,0.87,0.3853846153846154,1.0,5,2013
2013_03_ARI_NO,ari,0.98,0.4075,1.0,5,2013
2013_03_ARI_NO,no,0.77,0.4108333333333334,1.0,5,2013
2013_03_ATL_MIA,atl,0.73,0.3723076923076923,1.0,5,2013
2013_03_ATL_MIA,mia,0.98,0.4518181818181818,1.0,5,2013
2013_03_BUF_NYJ,buf,1.0,0.45545454545454545,0.99,5,2013
2013_03_BUF_NYJ,nyj,0.91,0.4175,0.998,5,2013
2013_03_CHI_PIT,chi,0.87,0.4175,1.0,5,2013
2013_03_CHI_PIT,pit,0.98,0.41583333333333333,0.95,5,2013
2013_03_CLE_MIN,cle,0.96,0.5,1.0,5,2013
2013_03_CLE_MIN,min,0.82,0.4518181818181818,1.0,5,2013
2013_03_DET_WAS,det,0.99,0.499,1.0,5,2013
2013_03_DET_WAS,was,0.88,0.41583333333333333,1.0,5,2013
2013_03_GB_CIN,cin,0.98,0.4166666666666667,1.0,5,2013
2013_03_GB_CIN,gb,1.0,0.45545454545454545,1.0,5,2013
2013_03_HOU_BAL,bal,0.97,0.44909090909090915,1.0,5,2013
2013_03_HOU_BAL,hou,1.0,0.45363636363636367,1.0,5,2013
2013_03_IND_SF,ind,0.97,0.43818181818181823,1.0,5,2013
2013_03_IND_SF,sf,0.92,0.41583333333333333,1.0,5,2013
2013_03_JAX_SEA,jax,0.94,0.41583333333333333,1.0,5,2013
