league,season,date,home,away,home_xg,away_xg
Bundesliga,2020,2020-09-18,Bayern Munich,Schalke 04,4.62088,0.14975
Bundesliga,2020,2020-09-19,Eintracht Frankfurt,Arminia Bielefeld,2.46928,0.618787
Bundesliga,2020,2020-09-19,Union Berlin,Augsburg,1.04515,1.42046
Bundesliga,2020,2020-09-19,FC Cologne,Hoffenheim,2.40801,2.9032
Bundesliga,2020,2020-09-19,Werder Bremen,Hertha Berlin,0.495892,2.05406
Bundesliga,2020,2020-09-19,VfB Stuttgart,Freiburg,2.15741,2.07011
Bundesliga,2020,2020-09-19,Borussia Dortmund,Borussia M.Gladbach,1.70398,0.510293
Bundesliga,2020,2020-09-20,RasenBallsport Leipzig,Mainz 05,3.22891,1.07201
Bundesliga,2020,2020-09-20,Wolfsburg,Bayer Leverkusen,1.27652,0.441229
Bundesliga,2020,2020-09-25,Hertha Berlin,Eintracht Frankfurt,1.55994,1.62111
Bundesliga,2020,2020-09-26,Mainz 05,VfB Stuttgart,1.04484,2.9689
Bundesliga,2020,2020-09-26,Augsburg,Borussia Dortmund,1.44779,1.5267
Bundesliga,2020,2020-09-26,Arminia Bielefeld,FC Cologne,0.163242,1.3741
Bundesliga,2020,2020-09-26,Borussia M.Gladbach,Union Berlin,1.47627,0.771461
Bundesliga,2020,2020-09-26,Bayer Leverkusen,RasenBallsport Leipzig,0.91247,1.20453
Bundesliga,2020,2020-09-26,Schalke 04,Werder Bremen,1.67597,3.10437
Bundesliga,2020,2020-09-27,Hoffenheim,Bayern Munich,2.52339,1.17311
Bundesliga,2020,2020-09-27,Freiburg,Wolfsburg,0.92465,0.413442
Bundesliga,2020,2020-10-02,Union Berlin,Mainz 05,2.07145,0.189144
Bundesliga,2020,2020-10-03,FC Cologne,Borussia M.Gladbach,0.244959,2.0629
Bundesliga,2020,2020-10-03,Werder Bremen,Arminia Bielefeld,0.346071,1.02247
Bundesliga,2020,2020-10-03,VfB Stuttgart,Bayer Leverkusen,0.799979,1.69772
Bundesliga,2020,2020-10-03,Borussia Dortmund,Freiburg,2.82762,0.445096
Bundesliga,2020,2020-10-03,Eintracht Frankfurt,Hoffenheim,3.57344,0.769689
Bundesliga,2020,2020-10-03,RasenBallsport Leipzig,Schalke 04,3.25836,0.215209
Bundesliga,2020,2020-10-04,Wolfsburg,Augsburg,1.31989,1.80757
Bundesliga,2020,2020-10-04,Bayern Munich,Hertha Berlin,3.99311,1.24509
Bundesliga,2020,2020-10-17,Hoffenheim,Borussia Dortmund,0.877373,1.84829
Bundesliga,2020,2020-10-17,Freiburg,Werder Bremen,1.05894,1.6646
Bundesliga,2020,2020-10-17,Hertha Berlin,VfB Stuttgart,1.42805,1.40822
Bundesliga,2020,2020-10-17,Augsburg,RasenBallsport Leipzig,0.550472,2.39694
Bundesliga,2020,2020-10-17,Mainz 05,Bayer Leverkusen,0.214962,0.454109
Bundesliga,2020,2020-10-17,Arminia Bielefeld,Bayern Munich,1.21235,3.29447
Bundesliga,2020,2020-10-17,Borussia M.Gladbach,Wolfsburg,2.11077,1.34469
Bundesliga,2020,2020-10-18,FC Cologne,Eintracht Frankfurt,1.41695,1.54892
Bundesliga,2020,2020-10-18,Schalke 04,Union Berlin,0.250814,0.831403
Bundesliga,2020,2020-10-23,VfB Stuttgart,FC Cologne,0.722179,2.37516
Bundesliga,2020,2020-10-24,Union Berlin,Freiburg,1.28488,0.271576
Bundesliga,2020,2020-10-24,Mainz 05,Borussia M.Gladbach,1.90042,3.07629
Bundesliga,2020,2020-10-24,RasenBallsport Leipzig,Hertha Berlin,2.68523,0.802136
Bundesliga,2020,2020-10-24,Bayern Munich,Eintracht Frankfurt,3.80823,0.429229
Bundesliga,2020,2020-10-24,Borussia Dortmund,Schalke 04,1.48384,0.236172
Bundesliga,2020,2020-10-25,Wolfsburg,Arminia Bielefeld,2.77748,0.664903
Bundesliga,2020,2020-10-25,Werder Bremen,Hoffenheim,0.229596,0.870978
Bundesliga,2020,2020-10-26,Bayer Leverkusen,Augsburg,2.6291,0.342366
Bundesliga,2020,2020-10-30,Schalke 04,VfB Stuttgart,0.726659,1.56968
Bundesliga,2020,2020-10-31,FC Cologne,Bayern Munich,0.681548,0.992927
Bundesliga,2020,2020-10-31,Augsburg,Mainz 05,1.78716,1.01141
Bundesliga,2020,2020-10-31,Arminia Bielefeld,Borussia Dortmund,0.255813,2.75909
Bundesliga,2020,2020-10-31,Eintracht Frankfurt,Werder Bremen,2.49235,0.733652
Bundesliga,2020,2020-10-31,Borussia M.Gladbach,RasenBallsport Leipzig,0.615287,0.695278
Bundesliga,2020,2020-11-01,Freiburg,Bayer Leverkusen,1.18284,1.34088
Bundesliga,2020,2020-11-01,Hertha Berlin,Wolfsburg,1.25246,0.397923
Bundesliga,2020,2020-11-02,Hoffenheim,Union Berlin,1.49329,3.66229
