league,season,date,home,away,home_xg,away_xg
Ligue_1,2020,2020-08-21,Bordeaux,Nantes,0.600075,0.187821
Ligue_1,2020,2020-08-22,Dijon,Angers,0.739709,2.02214
Ligue_1,2020,2020-08-22,Lille,Rennes,0.400974,1.29518
Ligue_1,2020,2020-08-23,Monaco,Reims,2.67622,1.83257
Ligue_1,2020,2020-08-23,Lorient,Strasbourg,3.07214,0.326826
Ligue_1,2020,2020-08-23,Nimes,Brest,2.14597,0.468011
Ligue_1,2020,2020-08-23,Nice,Lens,0.180464,3.03614
Ligue_1,2020,2020-08-28,Lyon,Dijon,3.97148,0.215658
Ligue_1,2020,2020-08-29,Rennes,Montpellier,1.78715,0.491784
Ligue_1,2020,2020-08-29,Strasbourg,Nice,0.227899,1.20894
Ligue_1,2020,2020-08-30,Reims,Lille,0.206627,0.906784
Ligue_1,2020,2020-08-30,Angers,Bordeaux,0.511549,2.28529
Ligue_1,2020,2020-08-30,Metz,Monaco,0.626118,0.189291
Ligue_1,2020,2020-08-30,Nantes,Nimes,2.15547,0.874864
Ligue_1,2020,2020-08-30,Saint-Etienne,Lorient,1.39361,0.2149
Ligue_1,2020,2020-08-30,Brest,Marseille,2.12594,1.32391
Ligue_1,2020,2020-09-10,Lens,Paris Saint Germain,1.71747,0.344198
Ligue_1,2020,2020-09-11,Bordeaux,Lyon,0.231132,1.79726
Ligue_1,2020,2020-09-12,Montpellier,Nice,1.69934,0.376694
Ligue_1,2020,2020-09-12,Saint-Etienne,Strasbourg,1.76107,1.30205
Ligue_1,2020,2020-09-13,Lille,Metz,0.814528,0.736721
Ligue_1,2020,2020-09-13,Lorient,Lens,0.919743,1.98746
Ligue_1,2020,2020-09-13,Dijon,Brest,0.296281,2.19687
Ligue_1,2020,2020-09-13,Angers,Reims,2.14867,0.324767
Ligue_1,2020,2020-09-13,Nimes,Rennes,1.00844,2.0941
Ligue_1,2020,2020-09-13,Monaco,Nantes,2.27042,1.10894
Ligue_1,2020,2020-09-13,Paris Saint Germain,Marseille,2.22184,0.502817
Ligue_1,2020,2020-09-15,Montpellier,Lyon,1.75168,2.17049
Ligue_1,2020,2020-09-16,Paris Saint Germain,Metz,2.42357,0.980849
Ligue_1,2020,2020-09-17,Marseille,Saint-Etienne,2.65376,1.02937
