league,season,date,home,away,home_xg,away_xg
Serie_A,2020,2020-09-19,Fiorentina,Torino,2.35462,0.617878
Serie_A,2020,2020-09-19,Verona,Roma,0.910773,1.77959
Serie_A,2020,2020-09-20,Parma Calcio 1913,Napoli,0.160985,1.54079
Serie_A,2020,2020-09-20,Genoa,Crotone,2.23283,1.32278
Serie_A,2020,2020-09-20,Sassuolo,Cagliari,2.0285,0.95973
Serie_A,2020,2020-09-20,Juventus,Sampdoria,2.14288,0.606523
Serie_A,2020,2020-09-21,AC Milan,Bologna,2.94224,0.825483
Serie_A,2020,2020-09-26,Torino,Atalanta,0.773914,2.47087
Serie_A,2020,2020-09-26,Cagliari,Lazio,0.91566,1.99417
Serie_A,2020,2020-09-26,Sampdoria,Benevento,1.36058,1.27481
Serie_A,2020,2020-09-26,Inter,Fiorentina,1.69563,2.25332
Serie_A,2020,2020-09-27,Spezia,Sassuolo,1.29116,2.6497
Serie_A,2020,2020-09-27,Verona,Udinese,1.35384,2.14756
Serie_A,2020,2020-09-27,Napoli,Genoa,2.34102,0.265594
Serie_A,2020,2020-09-27,Crotone,AC Milan,0.107055,2.43073
Serie_A,2020,2020-09-27,Roma,Juventus,2.81817,1.90728
Serie_A,2020,2020-09-28,Bologna,Parma Calcio 1913,2.04715,1.2448
Serie_A,2020,2020-09-30,Benevento,Inter,1.2507,4.53244
Serie_A,2020,2020-09-30,Udinese,Spezia,1.86648,0.812849
Serie_A,2020,2020-09-30,Lazio,Atalanta,1.80375,1.89667
Serie_A,2020,2020-10-02,Fiorentina,Sampdoria,2.02799,2.18148
Serie_A,2020,2020-10-03,Sassuolo,Crotone,1.85563,1.5945
Serie_A,2020,2020-10-03,Udinese,Roma,1.66689,0.762958
Serie_A,2020,2020-10-04,Atalanta,Cagliari,3.60777,0.655559
Serie_A,2020,2020-10-04,Benevento,Bologna,0.8907,1.82239
Serie_A,2020,2020-10-04,Lazio,Inter,1.20722,0.719092
Serie_A,2020,2020-10-04,Parma Calcio 1913,Verona,1.23442,0.633776
Serie_A,2020,2020-10-04,AC Milan,Spezia,2.64977,0.152433
Serie_A,2020,2020-10-17,Napoli,Atalanta,1.17201,0.640405
Serie_A,2020,2020-10-17,Inter,AC Milan,2.54683,2.06232
Serie_A,2020,2020-10-17,Sampdoria,Lazio,1.83414,0.454609
Serie_A,2020,2020-10-17,Crotone,Juventus,1.39522,1.58494
Serie_A,2020,2020-10-18,Bologna,Sassuolo,1.45422,3.23668
Serie_A,2020,2020-10-18,Spezia,Fiorentina,0.925627,1.08362
Serie_A,2020,2020-10-18,Torino,Cagliari,1.24172,1.79136
Serie_A,2020,2020-10-18,Udinese,Parma Calcio 1913,1.71631,0.96514
Serie_A,2020,2020-10-18,Roma,Benevento,4.18819,1.55972
Serie_A,2020,2020-10-19,Verona,Genoa,0.88144,0.38231
Serie_A,2020,2020-10-23,Sassuolo,Torino,1.69093,2.08517
Serie_A,2020,2020-10-24,Atalanta,Sampdoria,2.09742,2.49916
Serie_A,2020,2020-10-24,Genoa,Inter,0.0128508,1.63844
Serie_A,2020,2020-10-24,Lazio,Bologna,1.42977,1.75593
Serie_A,2020,2020-10-25,Cagliari,Crotone,2.08322,1.40714
Serie_A,2020,2020-10-25,Benevento,Napoli,0.650046,2.26936
Serie_A,2020,2020-10-25,Parma Calcio 1913,Spezia,3.67014,0.965076
Serie_A,2020,2020-10-25,Fiorentina,Udinese,1.20434,2.6861
Serie_A,2020,2020-10-25,Juventus,Verona,2.17723,0.599908
Serie_A,2020,2020-10-26,AC Milan,Roma,2.81817,2.35903
Serie_A,2020,2020-10-31,Crotone,Atalanta,0.524608,3.49595
Serie_A,2020,2020-10-31,Inter,Parma Calcio 1913,3.0518,0.760875
