"","rank","team","conf","rec","adj_o","adj_o_rk","adj_d","adj_d_rk","barthag","proj_rec","proj_conf_rec","wab","wab_rk","cur_rk","change","date","record","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record"
"1",1,"Gonzaga","WCC","1-0",115.5,1,87.2,7,0.9618,"26-3","15-1",0.1,50,1,0,"2022-11-07",NA,NA,NA,NA,NA
"2",2,"Baylor","B12","1-0",112,3,88.1,9,0.9405,"22-8","12-6",0,121,2,0,"2022-11-07",NA,NA,NA,NA,NA
"3",3,"Duke","ACC","1-0",112.9,2,89.5,26,0.9357,"23-6","15-5",0.1,22,3,0,"2022-11-07",NA,NA,NA,NA,NA
"4",4,"Tennessee","SEC","1-0",108.3,18,86,2,0.9341,"22-7","13-5",0,104,4,0,"2022-11-07",NA,NA,NA,NA,NA
"5",5,"Houston","Amer","1-0",108.1,22,86.3,5,0.9299,"26-5","15-3",0,73,5,0,"2022-11-07",NA,NA,NA,NA,NA
"6",6,"North Carolina","ACC","1-0",111,5,89.3,22,0.9246,"22-7","14-6",0.1,47,6,0,"2022-11-07",NA,NA,NA,NA,NA
"7",7,"Texas","B12","1-0",109.4,11,88.8,14,0.9168,"21-10","11-7",0.1,23,7,0,"2022-11-07",NA,NA,NA,NA,NA
"8",8,"UCLA","P12","1-0",109.9,8,89.5,24,0.9143,"23-7","14-6",0.1,60,8,0,"2022-11-07",NA,NA,NA,NA,NA
"9",9,"Kentucky","SEC","1-0",111.9,4,91.1,44,0.914,"22-9","12-6",0,83,9,0,"2022-11-07",NA,NA,NA,NA,NA
"10",10,"Arizona","P12","1-0",110.3,7,90,32,0.912,"22-7","15-5",0.1,28,10,0,"2022-11-07",NA,NA,NA,NA,NA
"11",11,"Indiana","B10","1-0",108.2,19,88.3,11,0.9119,"22-9","13-7",0.1,52,11,0,"2022-11-07",NA,NA,NA,NA,NA
"12",12,"Kansas","B12","1-0",107.8,26,88.4,12,0.9076,"18-11","10-8",0,109,12,0,"2022-11-07",NA,NA,NA,NA,NA
"13",13,"San Diego St.","MWC","1-0",104.1,64,85.7,1,0.9031,"22-6","14-4",0,66,13,0,"2022-11-07",NA,NA,NA,NA,NA
"14",14,"Auburn","SEC","1-0",104.8,53,86.9,6,0.8963,"20-10","11-7",0.2,16,15,-1,"2022-11-07",NA,NA,NA,NA,NA
"15",15,"Illinois","B10","1-0",108.7,16,90.1,33,0.8963,"22-8","13-7",0,113,14,1,"2022-11-07",NA,NA,NA,NA,NA
"16",16,"Texas A&M","SEC","1-0",107.4,29,89,20,0.8958,"20-9","11-7",0,78,16,0,"2022-11-07",NA,NA,NA,NA,NA
"17",17,"Villanova","BE","1-0",108.9,14,90.3,34,0.8958,"21-8","14-6",0.1,31,17,0,"2022-11-07",NA,NA,NA,NA,NA
"18",18,"Arkansas","SEC","1-0",103.3,79,86,3,0.892,"20-9","11-7",0.1,56,18,0,"2022-11-07",NA,NA,NA,NA,NA
"19",19,"Xavier","BE","1-0",108.7,15,91,42,0.8855,"20-9","13-7",0,82,19,0,"2022-11-07",NA,NA,NA,NA,NA
"20",20,"Florida","SEC","1-0",106.8,34,89.4,23,0.8853,"19-10","11-7",0,91,20,0,"2022-11-07",NA,NA,NA,NA,NA
"21",21,"Memphis","Amer","1-0",106,41,88.8,15,0.8837,"21-8","13-5",0.5,4,21,0,"2022-11-07",NA,NA,NA,NA,NA
"22",22,"Virginia","ACC","1-0",106.1,40,89,18,0.8836,"20-9","13-7",0,79,22,0,"2022-11-07",NA,NA,NA,NA,NA
